# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,4.999592370155310495e-02,5.962517159336723493e-02,4.664710827677630289e-02,5.031329341317365006e-02,-3.805694319861908623e-06,-2.976062950976195138e-06
1.745329251994329547e-02,9.954337899543378398e+01,4.968198694458948045e-02,1.189700745898326362e-01,9.316009466213083512e-02,5.030424979726789980e-02,1.690048365677571975e-03,1.321626482506570730e-03
3.490658503988659095e-02,9.908675799086756797e+01,4.937162040622667530e-02,1.780110405234422433e-01,1.395514494837998831e-01,5.027098456719000102e-02,7.923351387956700104e-03,6.196205514027945845e-03
5.235987755982988295e-02,9.863013698630136616e+01,4.906496261219692179e-02,2.367581821144910670e-01,1.858337982727846505e-01,5.021526277489678225e-02,1.837425304074282589e-02,1.436965323914617121e-02
6.981317007977318190e-02,9.817351598173515015e+01,4.876215352270305003e-02,2.951504327901322555e-01,2.320199017633512162e-01,5.013884947234513445e-02,3.272512526126992310e-02,2.559524269143326550e-02
8.726646259971647390e-02,9.771689497716894834e+01,4.846333455161663112e-02,3.531849970352385903e-01,2.781226558930305903e-01,5.004350971149195554e-02,5.066077842450252694e-02,3.962986562539404928e-02
1.047197551196597659e-01,9.726027397260273233e+01,4.816864605303704944e-02,4.108483353975029284e-01,3.241550918026187555e-01,4.993100854429406016e-02,7.186720195222040530e-02,5.623336449689764899e-02
1.221730476396030718e-01,9.680365296803653052e+01,4.787822664976069953e-02,4.681161480472332825e-01,3.701303758361763618e-01,4.980311102270836704e-02,9.603103157997491812e-02,7.516787088382595461e-02
1.396263401595463638e-01,9.634703196347031451e+01,4.759221323328098607e-02,5.249316519176733253e-01,4.160618095410291151e-01,4.966158219869172552e-02,1.228398107122464916e-01,9.619708834946623377e-02
1.570796326794896558e-01,9.589041095890409849e+01,4.731074096378831695e-02,5.813225341638396104e-01,4.619628296677676937e-01,4.950818712420099882e-02,1.519829711640996173e-01,1.190854807275890798e-01
1.745329251994329478e-01,9.543378995433789669e+01,4.703394327017011017e-02,6.373053786974888224e-01,5.078470081702475269e-01,4.934469085119310566e-02,1.831533123303649424e-01,1.435973476693113149e-01
1.919862177193762398e-01,9.497716894977168067e+01,4.676195198228885047e-02,6.942349874669573317e-01,5.537280522055889609e-01,4.917285843162488151e-02,2.160421227533953492e-01,1.694960058577346385e-01
2.094395102393195318e-01,9.452054794520547887e+01,4.649490050857505580e-02,7.528615425646209003e-01,5.996198041341772589e-01,4.899445491745319653e-02,2.503206054484204968e-01,1.965430720877539283e-01
2.268928027592628516e-01,9.406392694063926285e+01,4.623292709059601685e-02,8.119817637796196141e-01,6.455361394307540523e-01,4.881124536063491393e-02,2.856568786258598669e-01,2.244972229761701132e-01
2.443460952792061436e-01,9.360730593607306105e+01,4.597616811325793557e-02,8.714578474569820710e-01,6.914896697270347392e-01,4.862499481312694549e-02,3.217351237691690180e-01,2.531130370879217661e-01
2.617993877991494078e-01,9.315068493150684503e+01,4.572468800584358201e-02,9.313020260322575350e-01,7.374908505934821834e-01,4.843746832688614751e-02,3.582288509235321827e-01,2.821397571610146371e-01
2.792526803190927276e-01,9.269406392694062902e+01,4.547844100965194036e-02,9.915528160441425820e-01,7.835479639657287887e-01,4.825043095386937625e-02,3.948001334955553165e-01,3.113198719550572258e-01
2.967059728390360474e-01,9.223744292237442721e+01,4.523733198517238679e-02,1.052159693131523355e+00,8.296671181445770538e-01,4.806564774603350881e-02,4.311098553486429896e-01,3.403879338616994099e-01
3.141592653589793116e-01,9.178082191780821120e+01,4.500127461614440716e-02,1.113192550014214133e+00,8.758522477959985730e-01,4.788475030534902754e-02,4.668252670380207969e-01,3.690905418854998343e-01
3.316125578789225758e-01,9.132420091324200939e+01,4.477018674855250818e-02,1.174717160938452576e+00,9.221051139511349248e-01,4.770797476300282780e-02,5.018788376342399049e-01,3.973891072170139815e-01
3.490658503988658956e-01,9.086757990867579338e+01,4.454398307517279387e-02,1.236690372954451833e+00,9.684253040093984133e-01,4.753472583284749919e-02,5.364138846777861680e-01,4.253779680904899441e-01
3.665191429188092154e-01,9.041095890410957736e+01,4.432257740424241921e-02,1.299135017760625344e+00,1.014810741697081964e+00,4.736439716206318484e-02,5.705461596734420215e-01,4.531561367072610702e-01
3.839724354387524796e-01,8.995433789954337556e+01,4.410588499465924184e-02,1.362187414941190111e+00,1.061259616289612406e+00,4.719638239783003480e-02,6.043306313399253726e-01,4.808260113662479740e-01
4.014257279586957439e-01,8.949771689497715954e+01,4.389381896416832268e-02,1.425820795432046317e+00,1.107770838748128206e+00,4.703007518732817138e-02,6.380977172373816231e-01,5.084938010782844575e-01
4.188790204786390636e-01,8.904109589041095774e+01,4.368628878656118791e-02,1.489963229077791995e+00,1.154344041719480574e+00,4.686486917773775157e-02,6.723741064206316675e-01,5.362698858026244686e-01
4.363323129985823834e-01,8.858447488584474172e+01,4.348321387799299748e-02,1.554764423294044740e+00,1.200979579536233244e+00,4.670015801623894625e-02,7.075797293061965032e-01,5.642696866622110008e-01
4.537856055185257032e-01,8.812785388127853992e+01,4.328452266240746110e-02,1.620209742925146745e+00,1.247678425785951450e+00,4.653533535001187771e-02,7.438522121546752297e-01,5.926141574722406657e-01
4.712388980384689674e-01,8.767123287671232390e+01,4.309010056941341149e-02,1.686183112329241451e+00,1.294441547125114056e+00,4.636980908165701937e-02,7.809183508800743301e-01,6.214282380835963737e-01
4.886921905584122872e-01,8.721461187214610788e+01,4.289977699080971957e-02,1.752899287456249899e+00,1.341269666722571641e+00,4.620367390920396972e-02,8.186766407675837298e-01,6.507225597997757793e-01
5.061454830783556069e-01,8.675799086757990608e+01,4.271334839513944021e-02,1.820386346035607561e+00,1.388163263819703452e+00,4.603800204354138031e-02,8.569872391082637986e-01,6.803321948682534703e-01
5.235987755982988157e-01,8.630136986301369006e+01,4.253059569508775561e-02,1.888421120105142181e+00,1.435122595551408420e+00,4.587394037491530907e-02,8.955877826610834092e-01,7.100669733929041438e-01
5.410520681182421354e-01,8.584474885844748826e+01,4.235131791223849945e-02,1.957267233490286529e+00,1.482147901899555142e+00,4.571263579357191104e-02,9.342122299543266228e-01,7.397212670572244075e-01
5.585053606381854552e-01,8.538812785388127224e+01,4.217533503770076048e-02,2.026941457507609456e+00,1.529239517951061611e+00,4.555523518975727881e-02,9.725860009193615374e-01,7.690738487044987970e-01
5.759586531581287749e-01,8.493150684931507044e+01,4.200247801080762844e-02,2.097260574135319633e+00,1.576397874872221827e+00,4.540288368951509584e-02,1.010369236543260385e+00,7.978891391418085899e-01
5.934119456780720947e-01,8.447488584474885442e+01,4.183258666285563643e-02,2.168420282658972909e+00,1.623623442511112902e+00,4.525587110131407825e-02,1.047439955023768743e+00,8.260838420165972362e-01
6.108652381980153034e-01,8.401826484018263841e+01,4.166551024396134006e-02,2.240572129332428108e+00,1.670916589431534538e+00,4.511225922639045677e-02,1.084276558774869725e+00,8.540073152889382513e-01
6.283185307179586232e-01,8.356164383561643660e+01,4.150110763099600086e-02,2.313435022698687948e+00,1.718277561980719348e+00,4.496975168504232373e-02,1.121479751159862426e+00,8.820999122993065100e-01
6.457718232379019430e-01,8.310502283105022059e+01,4.133924633740142934e-02,2.387311580498507890e+00,1.765706501999239952e+00,4.482605209756788944e-02,1.159679500936332763e+00,9.108265021929901062e-01
6.632251157578451517e-01,8.264840182648401878e+01,4.117980113590619801e-02,2.462249929708229867e+00,1.813203519890876914e+00,4.467886408426530870e-02,1.199525293868592524e+00,9.406783125415197899e-01
6.806784082777884715e-01,8.219178082191780277e+01,4.102265387071417357e-02,2.537973506315680972e+00,1.860768713507794603e+00,4.452589126543275017e-02,1.241723879858119162e+00,9.721760805531612926e-01
6.981317007977317912e-01,8.173515981735158675e+01,4.086769266242185755e-02,2.614636241183854626e+00,1.908402247705667021e+00,4.436483726136833394e-02,1.287068178084037839e+00,1.005874833092123222e+00
7.155849933176750000e-01,8.127853881278538495e+01,4.071481147861340938e-02,2.692445634772103080e+00,1.956104598915456183e+00,4.419340569237025645e-02,1.336481716727870639e+00,1.042370933266758559e+00
7.330382858376184307e-01,8.082191780821916893e+01,4.056390999176296558e-02,2.771229061488849066e+00,2.003876591913144267e+00,4.400930017873671413e-02,1.390933999006787269e+00,1.082310809010999630e+00
7.504915783575616395e-01,8.036529680365296713e+01,4.041489275992753843e-02,2.851196583664145745e+00,2.051719002672148129e+00,4.381022434076578542e-02,1.451423736759008154e+00,1.126402323315829124e+00
7.679448708775049592e-01,7.990867579908675111e+01,4.026766892536569331e-02,2.932436416174291960e+00,2.099632039253791937e+00,4.359400578563256412e-02,1.519149660048655814e+00,1.175402985074469386e+00
7.853981633974482790e-01,7.945205479452054931e+01,4.012215213826601096e-02,3.014667000681023890e+00,2.147615439298613538e+00,4.336157164469899017e-02,1.594596377341688909e+00,1.229440668953514670e+00
8.028514559173914877e-01,7.899543378995433329e+01,3.997825994369691438e-02,3.098021624595236556e+00,2.195669255183168911e+00,4.311709284568653738e-02,1.676899371814261297e+00,1.287884935788709662e+00
8.203047484373349185e-01,7.853881278538811728e+01,3.983591348471912652e-02,3.182750606044218777e+00,2.243794126521184928e+00,4.286489317635176072e-02,1.765371965145473787e+00,1.349966869490830002e+00
8.377580409572781273e-01,7.808219178082191547e+01,3.969503748955185291e-02,3.268638542875137887e+00,2.291990888378657054e+00,4.260929642445125676e-02,1.858880052658199000e+00,1.414779421016966854e+00
8.552113334772214470e-01,7.762557077625569946e+01,3.955555991749053202e-02,3.355929458194520265e+00,2.340260159512455029e+00,4.235462637774163597e-02,1.955976829324615140e+00,1.481271432934875509e+00
8.726646259971647668e-01,7.716894977168949765e+01,3.941741153539644882e-02,3.444753618041310972e+00,2.388602311037150372e+00,4.210520682397948106e-02,2.055239281434296572e+00,1.548263521907858209e+00
8.901179185171079755e-01,7.671232876712328164e+01,3.928052589278297618e-02,3.534724949924770598e+00,2.437017440319548367e+00,4.186536155092141637e-02,2.154518024652736230e+00,1.614445060798300968e+00
9.075712110370514063e-01,7.625570776255707983e+01,3.914483925625253380e-02,3.626071533960240512e+00,2.485505475215000093e+00,4.163941434632401073e-02,2.252012125899266692e+00,1.678379621492482210e+00
9.250245035569946150e-01,7.579908675799086382e+01,3.901029018623987377e-02,3.719093332495603033e+00,2.534066576852248787e+00,4.143127213689007382e-02,2.345032234560100459e+00,1.738643528992614318e+00
9.424777960769379348e-01,7.534246575342464780e+01,3.887681936889107737e-02,3.813482753552324134e+00,2.582701184076833023e+00,4.123827909610967152e-02,2.434533978425267531e+00,1.795694166384728341e+00
9.599310885968812546e-01,7.488584474885844600e+01,3.874436961563699350e-02,3.909560566815871940e+00,2.631409764683640962e+00,4.105255566900679193e-02,2.523418479722072227e+00,1.851660571727987037e+00
9.773843811168245743e-01,7.442922374429222998e+01,3.861288577184110449e-02,4.007503103705444936e+00,2.680192745222164774e+00,4.086607762380452258e-02,2.615446934011966373e+00,1.908902503821226615e+00
9.948376736367677831e-01,7.397260273972602818e+01,3.848231436064809829e-02,4.106692715424974160e+00,2.729050551593213747e+00,4.067082072872611059e-02,2.715205493337609965e+00,1.969960682074799463e+00
1.012290966156711214e+00,7.351598173515981216e+01,3.835260349620198128e-02,4.207789968881893827e+00,2.777983575697941188e+00,4.045876075199461575e-02,2.827416455769169001e+00,2.037566468384024443e+00
1.029744258676654312e+00,7.305936073059359614e+01,3.822370288364607127e-02,4.310899031276908211e+00,2.826991948648508668e+00,4.022187346183318801e-02,2.958110116275239232e+00,2.114666027701642026e+00
1.047197551196597631e+00,7.260273972602739434e+01,3.809556375850507715e-02,4.415414765366406868e+00,2.876075603359262711e+00,3.995213462646503289e-02,3.113405571222402468e+00,2.204458184445096336e+00
1.064650843716540951e+00,7.214611872146117832e+01,3.796813859697922150e-02,4.522039091607869210e+00,2.925234750556946040e+00,3.964152960322401414e-02,3.301841449983393240e+00,2.310444051620233807e+00
1.082104136236484271e+00,7.168949771689497652e+01,3.784138102949557991e-02,4.630842956709940061e+00,2.974469868943774298e+00,3.928726495546971953e-02,3.530248161945813035e+00,2.434622038836505187e+00
1.099557428756427591e+00,7.123287671232876050e+01,3.771524584069298192e-02,4.741024044147531313e+00,3.023781425227316078e+00,3.890039406060440130e-02,3.796648836619620049e+00,2.574077859507070354e+00
1.117010721276370910e+00,7.077625570776255870e+01,3.758968895186327874e-02,4.853696587191464573e+00,3.073169945536370129e+00,3.849423989924227046e-02,4.097538046452976701e+00,2.724571385774567922e+00
1.134464013796314230e+00,7.031963470319634268e+01,3.746466721328817889e-02,4.972210738539096120e+00,3.122636153778139523e+00,3.808212545199763516e-02,4.426520757542240503e+00,2.881243735349459989e+00
1.151917306316257550e+00,6.986301369863012667e+01,3.734013826856131396e-02,5.098959588229043050e+00,3.172180641453320682e+00,3.767737369948475495e-02,4.774563505475097003e+00,3.038647362116356110e+00
1.169370598836200648e+00,6.940639269406392486e+01,3.721606055224922077e-02,5.233481856708456448e+00,3.221803553057195124e+00,3.729330762231790330e-02,5.148830768414298653e+00,3.190880318565262996e+00
1.186823891356144189e+00,6.894977168949770885e+01,3.709239328943672587e-02,5.374752254737876100e+00,3.271504298514660292e+00,3.694008162773673026e-02,5.558662545074318118e+00,3.333029661083212414e+00
1.204277183876087287e+00,6.849315068493150704e+01,3.696909640654368751e-02,5.522762888787996260e+00,3.321283387835823664e+00,3.661071322131779354e-02,5.992818286308005504e+00,3.467209224773531773e+00
1.221730476396030607e+00,6.803652968036529103e+01,3.684613033576815411e-02,5.677540862866044868e+00,3.371147258683564019e+00,3.629245294785624076e-02,6.460761791603158777e+00,3.598309480505433644e+00
1.239183768915973927e+00,6.757990867579908922e+01,3.672345598914869558e-02,5.838496364842262309e+00,3.421106882611528288e+00,3.597254700903820129e-02,6.981427008792072897e+00,3.731489343203297171e+00
1.256637061435917246e+00,6.712328767123287321e+01,3.660103475856441718e-02,6.006363636000378925e+00,3.471175239721401518e+00,3.563824160654974205e-02,7.583245304350285210e+00,3.872121228037652685e+00
1.274090353955860566e+00,6.666666666666665719e+01,3.647882850471093757e-02,6.181142440383649905e+00,3.521365401659932282e+00,3.527678294207696463e-02,8.304807048330379970e+00,4.025784640355780652e+00
1.291543646475803886e+00,6.621004566210045539e+01,3.635679940398694326e-02,6.362107082497429289e+00,3.571690126900665785e+00,3.487545045029333268e-02,9.199045442487085111e+00,4.198245058055763756e+00
1.308996938995747206e+00,6.575342465753423937e+01,3.623490983640288710e-02,6.550854814383879621e+00,3.622162615120246176e+00,3.442709178239707069e-02,1.032348599846996962e+01,4.393013882626873645e+00
1.326450231515690303e+00,6.529680365296803757e+01,3.611312238301234850e-02,6.746619573233131106e+00,3.672795901959972742e+00,3.393632080220873593e-02,1.172297150647382580e+01,4.608417147898838273e+00
1.343903524035633845e+00,6.484018264840182155e+01,3.599139982591204739e-02,6.949248385021231655e+00,3.723602483552104658e+00,3.340924630285365543e-02,1.343836460298955870e+01,4.841811521785153616e+00
1.361356816555576943e+00,6.438356164383561975e+01,3.586970510972330856e-02,7.160511687144862414e+00,3.774595339688271878e+00,3.285198636960384028e-02,1.551265649910415334e+01,5.090146260192144112e+00
1.378810109075520263e+00,6.392694063926940373e+01,3.574800116539489370e-02,7.378873616596682616e+00,3.825787698147499416e+00,3.227256267793097988e-02,1.798095726792014659e+01,5.349084249177295192e+00
1.396263401595463582e+00,6.347031963470319482e+01,3.562625085985120232e-02,7.606008284539472974e+00,3.877192359046873094e+00,3.168321193641669697e-02,2.080694701099512756e+01,5.612045653577044213e+00
1.413716694115406902e+00,6.301369863013698591e+01,3.550441699598831657e-02,7.841777331708933652e+00,3.928822172691000425e+00,3.109673622898557338e-02,2.385873825921161639e+01,5.872039048081729717e+00
1.431169986635350000e+00,6.255707762557076990e+01,3.538246231173391987e-02,8.085795142003354030e+00,3.980690147522457867e+00,3.052593763956216663e-02,2.704406255313819685e+01,6.122231437780764729e+00
1.448623279155293542e+00,6.210045662100456099e+01,3.526034939059424778e-02,8.339458504609638112e+00,4.032809223267673104e+00,2.998361825207108977e-02,3.026229011520198142e+01,6.356264407225381774e+00
1.466076571675236861e+00,6.164383561643835208e+01,3.513804049966381265e-02,8.602169215935180802e+00,4.085192357508063310e+00,2.948258015043694544e-02,3.338979021958988369e+01,6.568474074909611993e+00
1.483529864195180181e+00,6.118721461187214317e+01,3.501549757255398299e-02,8.874961734719356343e+00,4.137852471328760551e+00,2.903496033165550369e-02,3.629164886293716563e+01,6.754226857960262898e+00
1.500983156715123279e+00,6.073059360730593426e+01,3.489268220939296949e-02,9.158596658166814564e+00,4.190802309052128471e+00,2.863781256009871254e-02,3.895519978247360626e+01,6.915634571223064242e+00
1.518436449235066599e+00,6.027397260273972535e+01,3.476955566395986685e-02,9.451507709221237619e+00,4.244055087381355840e+00,2.827322517956006726e-02,4.145446934010686846e+01,7.060920387247539232e+00
1.535889741755009918e+00,5.981735159817350933e+01,3.464607867972485655e-02,9.756602069977878600e+00,4.297623961015213823e+00,2.792264500976750566e-02,4.393590336928423312e+01,7.198320985937310290e+00
1.553343034274953460e+00,5.936073059360730042e+01,3.452221137680729773e-02,1.007332263247796256e+01,4.351521081289210890e+00,2.756751887044897598e-02,4.650843245614657917e+01,7.335614187758777938e+00
1.570796326794896558e+00,5.890410958904109151e+01,3.439791324973686532e-02,1.040166530771797682e+01,4.405759787831851071e+00,2.718931293145205458e-02,4.932044211444769388e+01,7.480078644359769768e+00
1.588249619314839878e+00,5.844748858447488260e+01,3.427314316737532784e-02,1.074353933301734720e+01,4.460353514096167871e+00,2.677725520960545433e-02,5.251114095002449744e+01,7.635790493726275940e+00
1.605702911834782975e+00,5.799086757990867369e+01,3.414785929671500936e-02,1.109675006436665079e+01,4.515314511638291783e+00,2.634017322637659253e-02,5.601565585309981543e+01,7.799411001318847347e+00
1.623156204354726295e+00,5.753424657534246478e+01,3.402201888426238663e-02,1.146533361385002969e+01,4.570655514890344939e+00,2.588994044650423307e-02,5.968232870679090496e+01,7.966563117754758672e+00
1.640609496874669837e+00,5.707762557077625587e+01,3.389557821707780971e-02,1.184727505964555405e+01,4.626389991622699149e+00,2.543843033472716064e-02,5.957580129963986337e+01,8.132517127399943035e+00
