# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,1.41,1.48,0.74,0.65,1.49,1.50,0.71,0.06,0.01,1.51,1.95,2.96,3.52,4.32,5.01,5.50,1.35
1.00,1.28,1.41,0.75,0.66,1.49,1.48,0.15,0.06,0.01,1.57,1.94,3.03,3.66,4.67,5.06,5.57,0.41
2.00,1.41,1.49,0.74,0.65,1.48,1.50,0.68,0.06,0.01,1.56,1.95,3.03,3.50,4.35,4.94,5.51,0.45
3.00,1.34,1.46,0.76,0.61,1.49,1.47,0.20,0.06,0.07,1.57,1.95,3.03,3.67,4.55,4.93,5.51,0.45
4.00,1.28,1.48,0.75,0.66,1.49,1.49,0.63,0.05,0.00,1.57,2.03,3.01,3.50,4.62,5.06,5.52,0.61
5.00,1.50,1.46,0.75,0.60,1.48,1.50,0.13,0.07,0.00,1.57,1.90,3.03,3.55,4.46,5.00,5.53,0.63
6.00,1.29,1.48,0.74,0.67,1.48,1.49,0.67,0.06,0.00,1.56,1.94,3.03,3.48,4.52,5.03,5.53,0.43
7.00,1.41,1.46,0.70,0.65,1.48,1.48,0.11,0.06,0.01,1.57,2.01,3.03,3.49,4.35,5.00,5.63,0.44
8.00,1.42,1.44,0.80,0.63,1.49,1.50,0.14,0.06,0.00,1.56,1.95,2.96,3.51,4.47,5.01,5.53,0.34
9.00,1.31,1.35,0.74,0.63,1.48,1.47,0.68,0.06,0.00,1.56,1.94,3.03,3.70,4.54,5.02,5.53,0.35
10.00,1.33,1.48,0.75,0.65,1.48,1.48,0.15,0.06,0.00,1.56,1.91,3.06,3.51,4.62,5.00,5.61,0.47
11.00,1.30,1.47,0.75,0.58,1.39,1.46,0.20,0.06,0.02,1.47,2.04,3.02,3.61,4.52,5.00,5.57,1.44
12.00,1.50,1.46,0.75,0.60,1.48,1.50,0.13,0.07,0.00,1.54,1.90,2.99,3.50,4.46,5.00,5.53,0.63
13.00,1.33,1.48,0.74,0.65,1.49,1.43,0.68,0.06,0.01,1.56,1.95,3.03,3.51,4.35,5.00,5.53,0.60
