# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,4.78,37.27,177.72,21.67,48.77
1.00,5.05,34.55,200.00,24.27,26.37
2.00,4.90,33.64,175.02,20.56,46.73
3.00,4.97,34.55,199.78,24.99,27.31
4.00,5.66,32.73,194.75,20.92,26.46
5.00,4.43,35.91,180.18,22.38,45.65
6.00,5.17,33.18,175.27,19.56,45.03
7.00,4.80,35.91,199.70,24.28,28.05
8.00,4.73,35.45,180.89,22.07,44.17
9.00,5.46,32.73,199.31,23.05,24.02
10.00,4.85,35.00,193.96,22.65,31.23
11.00,5.18,33.64,199.41,24.99,26.76
12.00,4.44,36.36,178.45,22.34,47.80
13.00,4.81,36.82,181.22,21.49,44.63
14.00,5.09,34.09,193.73,23.40,31.32
15.00,4.52,37.27,191.23,24.16,37.75
16.00,5.28,33.18,188.28,21.57,34.02
17.00,4.91,35.91,180.74,20.41,43.14
18.00,4.92,33.64,176.00,20.66,45.84
19.00,4.74,36.82,175.87,20.83,49.32
20.00,4.61,36.36,194.29,24.25,33.87
21.00,5.05,35.45,186.17,21.35,38.18
22.00,4.65,35.00,176.75,21.63,47.43
23.00,4.77,34.55,194.08,24.50,32.52
24.00,5.21,34.09,198.89,24.75,27.50
25.00,5.07,32.73,186.85,22.22,35.65
26.00,5.02,35.91,187.60,21.79,37.64
27.00,5.62,32.73,199.89,22.48,22.87
28.00,4.46,36.82,185.53,23.34,42.18
29.00,5.65,32.73,200.15,21.69,22.13
30.00,5.55,32.73,192.45,21.23,29.06
31.00,4.71,36.36,189.58,22.59,36.92
32.00,5.26,33.18,181.06,20.16,39.84
33.00,5.55,33.18,193.44,21.05,28.35
34.00,4.86,34.55,190.88,23.72,34.94
35.00,4.94,36.36,183.30,20.59,41.21
36.00,4.48,36.36,181.54,22.80,45.17
37.00,5.49,33.64,198.34,22.09,24.94
38.00,5.16,32.73,176.19,19.85,43.94
39.00,4.88,35.00,188.01,22.16,36.69
40.00,5.08,35.91,185.71,20.49,38.24
41.00,4.75,35.91,195.50,23.87,31.83
42.00,4.81,35.00,198.53,24.41,28.43
43.00,5.11,33.64,177.01,20.36,44.54
44.00,5.14,32.73,175.69,19.77,44.36
45.00,4.74,35.45,182.95,22.78,42.83
46.00,5.59,32.73,193.09,21.16,28.35
47.00,5.21,33.18,180.62,20.08,40.19
48.00,4.82,36.36,175.17,20.05,48.79
49.00,5.25,33.18,180.52,20.01,40.22
50.00,5.10,34.09,180.35,21.08,42.37
51.00,5.34,33.18,186.06,20.63,35.30
52.00,5.40,33.64,192.77,21.87,30.29
53.00,5.17,33.18,188.31,21.63,34.05
54.00,5.52,32.73,197.65,22.29,24.92
55.00,4.96,36.36,183.90,20.99,41.00
56.00,4.44,36.36,178.01,22.24,48.13
57.00,4.97,36.82,192.18,22.42,34.61
58.00,4.52,35.91,182.28,23.17,44.34
59.00,4.55,36.82,194.47,24.49,34.38
60.00,4.83,34.55,179.70,21.42,43.81
61.00,4.59,35.91,185.37,22.74,40.83
62.00,4.51,35.91,187.35,24.87,40.98
63.00,4.65,36.36,195.11,23.54,32.34
64.00,4.74,34.09,188.59,24.82,37.87
65.00,5.35,32.73,181.36,20.30,39.21
66.00,5.37,34.55,197.90,22.83,27.03
67.00,4.60,35.45,186.17,24.67,41.50
68.00,5.38,32.73,190.54,21.54,31.28
69.00,5.46,32.73,192.00,21.29,29.57
70.00,5.19,33.18,176.92,19.67,43.48
71.00,4.91,33.18,184.26,24.75,41.22
72.00,5.15,33.18,176.32,20.24,44.65
73.00,4.63,35.00,184.96,23.29,40.87
74.00,4.98,33.64,181.76,21.56,40.99
75.00,5.10,33.64,177.81,20.88,44.26
76.00,4.83,36.36,176.50,20.31,47.72
77.00,4.85,35.00,186.44,22.25,38.37
78.00,5.15,33.64,196.07,23.49,28.61
79.00,5.53,32.73,200.63,22.53,23.44
80.00,4.46,36.36,181.47,22.87,45.31
81.00,5.22,33.18,178.73,19.94,41.95
82.00,5.20,33.18,177.41,19.71,43.03
83.00,5.49,33.18,190.43,20.78,31.09
84.00,5.07,32.73,178.68,21.71,43.31
85.00,4.93,36.36,182.76,20.74,41.89
86.00,5.32,32.73,183.57,20.86,37.56
87.00,5.57,32.73,201.11,21.79,23.18
88.00,4.52,36.36,178.29,22.21,47.83
89.00,4.58,36.36,191.71,23.64,35.84
90.00,5.44,33.64,198.14,21.72,24.77
91.00,5.00,33.64,188.07,24.07,37.18
92.00,4.53,35.45,184.15,24.59,43.44
93.00,5.14,33.64,196.19,23.51,28.50
94.00,4.76,34.55,188.77,24.43,37.75
95.00,5.30,32.73,184.70,21.20,36.78
96.00,4.74,36.36,197.36,24.10,30.65
97.00,5.29,32.73,181.98,20.57,38.86
98.00,4.81,35.45,192.68,23.00,33.32
99.00,5.45,32.73,198.92,22.92,24.29
