# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,5.41,37.27,192.07,19.38,32.14
1.00,3.83,33.64,176.46,24.88,49.60
2.00,6.10,33.64,199.88,24.37,25.69
3.00,5.64,35.45,177.20,17.62,43.43
4.00,3.93,32.73,179.65,24.99,45.61
5.00,5.13,35.45,200.00,21.94,24.95
6.00,5.16,37.27,175.01,17.92,47.74
7.00,4.32,32.73,185.05,23.41,38.63
8.00,5.72,34.09,190.28,19.12,30.49
9.00,3.91,33.18,176.69,24.45,48.48
10.00,5.43,35.00,189.85,19.67,32.38
11.00,5.93,34.55,199.94,21.03,23.19
12.00,4.71,35.91,175.80,20.68,48.34
13.00,5.35,36.82,186.40,19.04,37.01
14.00,5.32,35.00,177.91,18.42,43.06
15.00,4.37,31.82,194.56,24.17,30.33
16.00,5.05,34.55,177.52,20.09,44.66
17.00,4.89,36.36,199.24,22.62,27.29
18.00,4.88,35.91,192.18,22.88,34.17
19.00,5.42,33.64,177.32,19.72,43.60
20.00,5.78,34.09,198.21,20.22,23.66
21.00,4.90,36.36,178.40,19.78,45.29
22.00,4.47,32.27,185.95,23.23,37.55
23.00,5.18,36.82,195.42,20.31,29.26
24.00,5.60,35.45,188.36,18.74,33.39
25.00,6.01,33.64,199.05,20.94,23.09
26.00,4.36,33.18,191.74,24.13,33.12
27.00,6.03,33.64,199.48,20.91,22.63
28.00,5.94,32.73,202.22,22.59,25.10
29.00,3.99,33.18,182.92,24.32,42.12
30.00,5.53,35.45,181.11,18.08,39.98
31.00,4.33,32.73,180.05,23.00,43.22
32.00,5.28,34.09,192.93,22.37,31.09
33.00,4.01,33.18,185.59,24.60,39.73
34.00,4.68,32.27,196.50,23.42,27.20
35.00,4.20,32.73,190.08,24.76,34.95
36.00,4.12,33.64,191.92,24.67,33.93
37.00,5.14,35.45,194.77,21.11,29.34
38.00,3.88,33.64,181.17,24.83,44.84
39.00,5.18,37.27,177.20,17.98,45.61
40.00,4.43,32.73,187.76,23.46,35.97
41.00,4.05,33.18,186.63,24.70,38.79
42.00,6.09,33.64,199.74,24.27,25.72
43.00,5.10,34.55,195.14,22.90,29.86
44.00,4.91,36.36,185.25,21.14,39.80
45.00,5.86,33.18,201.25,22.56,24.54
46.00,3.97,33.18,181.46,24.40,43.66
47.00,4.61,32.27,196.21,23.35,27.41
48.00,5.21,35.91,193.75,19.99,29.70
49.00,4.07,33.18,187.45,24.72,37.98
50.00,5.26,34.55,176.88,19.00,44.21
51.00,4.78,35.91,179.81,21.60,45.25
52.00,4.88,36.82,194.18,22.03,32.21
53.00,5.49,35.45,183.79,18.44,37.66
54.00,5.71,36.82,200.51,20.43,25.31
55.00,4.31,32.73,192.75,24.35,31.87
56.00,5.19,37.27,177.68,18.21,45.36
57.00,4.98,34.55,190.85,22.13,33.37
58.00,4.87,35.91,191.54,22.55,34.47
59.00,5.03,35.45,188.72,20.71,34.99
60.00,5.12,35.00,181.73,20.52,41.35
61.00,5.00,36.82,193.47,21.49,32.39
62.00,3.88,34.09,175.93,24.05,49.75
63.00,4.75,36.82,187.29,21.37,38.45
64.00,5.64,35.45,177.44,17.67,43.24
65.00,5.54,36.82,193.70,19.85,30.53
66.00,4.65,36.36,178.89,21.20,46.23
67.00,3.93,32.73,175.41,24.20,49.07
68.00,5.88,34.09,197.91,19.45,23.18
69.00,5.26,37.27,180.36,18.38,42.84
70.00,4.53,32.73,199.59,24.39,25.07
71.00,4.82,35.91,184.20,22.43,41.69
72.00,5.47,34.55,186.10,18.82,34.82
73.00,4.49,32.27,193.13,23.83,30.97
74.00,4.80,36.36,195.58,22.34,30.67
75.00,4.60,32.27,195.97,23.48,27.78
76.00,4.97,36.36,182.50,20.30,41.71
77.00,5.51,35.91,179.53,17.83,41.77
78.00,4.15,31.82,180.68,23.60,43.64
79.00,5.43,34.55,188.16,19.65,33.59
80.00,5.18,37.27,183.70,18.49,39.62
81.00,4.40,32.27,184.07,23.16,39.36
82.00,4.96,35.45,187.95,21.32,36.37
83.00,5.69,35.45,194.13,18.70,27.58
84.00,3.83,33.64,178.17,24.77,47.77
85.00,4.09,33.18,189.31,24.95,36.36
86.00,5.34,35.91,181.91,18.55,40.11
87.00,4.84,36.82,177.67,18.91,45.60
88.00,4.50,32.27,199.31,24.25,25.22
89.00,5.23,34.55,202.79,22.70,27.59
90.00,4.19,32.73,183.35,23.78,40.70
91.00,5.46,35.00,185.73,18.62,35.45
92.00,5.03,35.91,197.72,21.99,27.74
93.00,3.94,33.64,176.33,23.68,48.52
94.00,4.63,32.27,193.74,23.19,29.73
95.00,5.79,34.09,199.83,20.27,22.09
96.00,4.59,33.18,196.30,23.65,28.08
97.00,4.69,35.91,176.36,21.34,48.44
98.00,4.30,32.73,179.03,22.84,44.08
99.00,5.71,35.00,202.17,20.60,25.33
100.00,4.82,35.91,188.42,22.50,37.54
101.00,5.75,34.09,193.85,19.48,27.29
102.00,5.23,35.00,195.07,21.26,28.74
103.00,3.86,33.64,181.65,24.85,44.38
104.00,5.90,34.09,198.93,19.45,22.17
105.00,4.45,32.73,190.63,23.64,33.28
106.00,5.16,37.27,176.46,17.82,46.18
107.00,4.24,32.73,175.25,22.79,47.81
108.00,4.54,32.73,194.36,23.38,29.29
109.00,4.58,32.27,189.61,23.25,33.91
110.00,5.67,35.45,181.78,18.13,39.36
111.00,4.92,37.27,188.82,19.81,35.82
112.00,4.84,35.45,184.88,22.30,40.42
113.00,5.20,35.45,191.09,20.88,32.80
114.00,3.84,33.64,178.77,24.91,47.32
115.00,4.94,35.45,191.15,21.42,33.27
116.00,3.97,33.64,178.32,23.96,46.82
117.00,5.09,35.91,179.75,19.41,43.12
118.00,5.02,35.45,195.74,22.23,29.49
119.00,4.56,32.73,195.30,23.51,28.48
120.00,4.25,32.73,190.89,24.52,33.90
121.00,5.21,37.27,186.66,18.80,36.97
122.00,4.93,37.27,189.19,19.91,35.54
123.00,5.04,35.45,189.33,21.07,34.75
124.00,4.81,35.91,182.39,22.18,43.24
