# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,4.55,36.36,98.62,12.50,17.78
1.00,4.16,35.45,88.15,11.81,26.65
2.00,5.99,35.91,100.01,8.93,12.41
3.00,5.23,32.73,97.55,11.12,13.85
4.00,4.43,35.00,87.51,11.14,26.18
5.00,5.44,35.91,87.67,8.31,24.11
6.00,5.37,37.27,87.96,8.57,25.43
7.00,5.45,37.27,100.00,11.16,15.99
8.00,4.36,34.09,89.94,11.62,23.32
9.00,4.32,35.91,93.22,12.11,22.34
10.00,5.23,36.82,97.95,9.34,15.76
11.00,5.58,33.64,97.11,10.74,14.83
12.00,5.56,34.55,97.48,10.04,14.66
13.00,5.45,34.09,98.09,11.02,14.57
14.00,5.30,35.45,95.84,9.46,16.63
15.00,5.21,33.18,88.53,10.77,22.97
16.00,5.68,33.18,99.98,11.12,11.88
17.00,4.92,35.00,93.28,10.96,20.23
18.00,4.38,36.36,94.72,12.26,21.45
19.00,5.31,37.27,92.47,8.92,21.28
20.00,5.44,33.64,100.29,12.17,13.65
21.00,5.30,32.73,98.43,11.83,13.68
22.00,5.17,36.82,94.05,9.11,19.43
23.00,5.24,34.55,100.42,10.90,13.42
24.00,5.92,35.91,99.88,9.30,12.89
25.00,5.19,36.36,93.04,9.52,20.39
26.00,4.53,35.45,90.33,11.28,23.95
27.00,5.78,36.82,99.35,9.03,14.05
28.00,5.74,35.00,98.66,9.62,13.51
29.00,5.13,35.91,93.69,10.51,20.27
30.00,4.47,35.45,88.64,11.02,25.39
31.00,4.51,35.00,92.16,11.97,22.36
32.00,4.43,35.00,87.98,11.23,25.80
33.00,4.75,36.36,91.94,10.06,22.03
34.00,5.98,35.91,99.60,8.94,12.82
35.00,5.37,37.27,90.81,8.66,22.68
36.00,5.55,34.55,97.22,10.02,14.90
37.00,4.18,36.36,89.76,11.20,25.35
38.00,4.96,34.09,95.42,11.37,17.59
39.00,4.59,36.82,98.54,12.03,17.85
40.00,4.46,36.36,92.77,10.56,21.70
41.00,5.23,36.36,90.50,9.23,22.65
42.00,5.03,35.91,90.08,9.99,23.37
43.00,4.71,34.55,95.13,11.93,18.89
44.00,5.62,36.82,95.26,8.86,17.98
45.00,4.97,35.91,96.53,10.57,17.50
46.00,5.16,36.82,92.89,9.13,20.61
47.00,5.87,35.91,98.79,8.83,13.50
48.00,5.81,35.00,99.29,10.12,13.38
49.00,5.10,36.82,96.06,9.87,18.18
50.00,5.39,35.45,95.71,9.35,16.65
51.00,5.05,32.73,91.84,11.69,20.13
52.00,4.68,36.36,88.39,9.70,25.22
53.00,5.65,35.00,99.88,10.13,12.81
54.00,4.81,35.45,88.37,10.09,24.72
55.00,5.17,36.82,96.83,9.17,16.71
56.00,5.54,33.18,96.67,10.86,14.94
57.00,5.71,34.55,99.85,10.45,12.70
58.00,4.49,35.45,89.26,11.10,24.84
59.00,5.32,35.45,92.35,9.27,19.92
60.00,5.35,35.91,96.98,9.56,16.05
61.00,4.56,35.00,89.55,11.35,24.35
62.00,4.67,36.82,88.73,9.84,25.47
63.00,4.59,35.45,91.28,10.68,22.40
64.00,5.17,32.73,96.32,10.90,14.86
65.00,4.82,36.82,100.97,10.81,16.14
66.00,4.40,34.09,90.55,11.97,23.05
67.00,5.08,36.36,95.49,9.90,18.32
68.00,5.19,37.27,97.61,9.74,16.95
69.00,5.49,36.36,90.05,8.45,22.32
70.00,5.69,32.73,99.62,11.65,12.31
71.00,4.87,35.00,91.08,10.90,22.37
72.00,4.79,35.00,95.61,11.52,18.46
73.00,5.47,36.82,89.42,8.41,23.36
74.00,5.00,36.82,93.75,10.32,20.93
75.00,5.10,37.27,97.00,9.19,17.01
76.00,4.91,35.45,97.55,11.85,17.31
77.00,5.76,35.91,94.30,8.60,17.76
78.00,4.65,35.45,93.93,11.55,20.62
79.00,5.57,36.36,90.95,8.54,21.51
80.00,4.68,37.27,89.31,9.80,25.30
81.00,4.26,34.55,87.78,12.06,26.37
82.00,4.76,35.91,92.44,11.19,22.20
83.00,4.62,36.36,90.75,10.46,23.62
84.00,4.78,35.91,94.21,10.74,19.99
85.00,5.36,34.09,93.51,10.60,18.74
86.00,4.56,35.00,93.81,11.31,20.05
87.00,4.38,36.36,94.83,12.26,21.34
88.00,5.48,35.91,100.71,9.41,13.58
89.00,4.20,35.45,89.86,11.84,24.97
90.00,4.98,35.00,103.35,11.46,17.37
91.00,5.43,36.36,91.46,8.72,21.17
92.00,4.69,36.82,92.26,10.07,22.17
93.00,4.44,35.00,92.58,12.24,22.20
94.00,5.88,35.91,99.06,8.95,13.35
95.00,4.35,35.45,94.93,12.29,20.35
96.00,5.34,36.82,91.44,8.86,21.79
97.00,4.47,35.45,91.37,11.78,23.41
98.00,4.70,35.00,95.80,12.15,18.90
99.00,4.47,36.36,97.76,12.38,18.52
100.00,4.99,35.45,93.37,10.43,20.06
101.00,5.59,35.45,88.38,8.35,22.99
102.00,5.26,35.00,89.66,9.09,21.99
103.00,4.29,35.45,92.69,12.03,22.34
104.00,4.94,36.36,95.67,10.44,18.69
105.00,5.90,35.91,99.52,8.97,12.91
106.00,5.44,35.91,88.90,8.39,22.96
107.00,5.08,36.82,97.36,10.76,17.77
108.00,4.33,35.45,87.73,11.59,26.86
109.00,5.37,34.09,96.22,9.95,15.38
110.00,5.76,35.91,94.05,8.70,18.11
111.00,5.40,33.18,94.53,10.74,16.94
112.00,5.50,36.82,90.67,8.51,22.22
113.00,5.01,36.82,94.78,10.28,19.87
114.00,4.95,35.00,97.42,11.88,17.01
115.00,4.25,36.82,93.99,12.33,22.70
116.00,5.78,35.91,94.42,8.73,17.78
117.00,5.51,36.82,90.86,8.54,22.05
118.00,4.22,35.91,93.90,12.40,21.96
119.00,4.74,35.00,95.99,11.66,18.22
120.00,4.86,33.18,94.66,12.10,18.17
121.00,4.87,35.00,91.14,10.71,22.12
122.00,4.38,35.91,90.60,10.96,23.81
123.00,5.86,35.45,97.86,8.91,14.07
124.00,4.76,36.36,89.02,9.46,24.35
125.00,5.08,33.18,98.45,12.39,14.67
126.00,4.88,34.09,96.75,12.05,16.94
127.00,4.92,36.36,96.94,10.63,17.60
128.00,5.27,35.91,101.75,10.15,15.36
129.00,5.24,32.73,98.19,12.31,14.40
130.00,5.41,33.18,98.90,12.42,14.25
131.00,5.33,35.45,92.60,9.08,19.48
132.00,4.99,35.91,88.11,9.43,24.78
133.00,4.61,35.45,95.80,12.47,19.67
134.00,5.84,36.36,98.89,9.09,14.12
135.00,5.52,35.91,89.31,8.51,22.66
136.00,5.63,35.91,94.61,8.90,17.75
137.00,4.87,35.45,96.69,11.41,17.73
138.00,4.85,35.45,91.24,10.18,21.94
139.00,5.63,35.91,90.26,8.61,21.82
140.00,4.83,35.45,91.65,10.90,22.25
141.00,5.83,35.91,96.97,8.87,15.37
142.00,5.21,36.36,97.44,10.95,17.43
143.00,4.66,35.45,96.26,11.74,18.49
144.00,4.80,35.45,90.70,10.21,22.51
145.00,5.04,34.09,102.31,12.05,16.00
146.00,4.43,35.45,90.24,11.73,24.49
147.00,5.29,35.45,101.94,10.79,15.74
148.00,5.02,36.82,91.83,9.24,21.78
149.00,5.57,33.64,90.02,9.02,20.19
150.00,4.48,35.00,91.54,11.95,22.95
151.00,5.20,36.82,99.60,10.24,15.01
152.00,4.21,36.82,91.13,11.90,25.14
153.00,4.78,35.00,89.18,10.16,23.53
154.00,5.98,35.91,99.64,8.99,12.82
155.00,4.74,36.36,90.53,9.76,23.14
156.00,5.76,34.55,100.78,10.37,13.25
157.00,4.28,35.00,87.58,11.59,26.55
158.00,5.99,34.55,104.40,9.72,16.23
159.00,4.63,35.91,91.54,10.64,22.55
160.00,4.47,36.36,96.07,11.93,19.77
161.00,4.73,36.36,89.27,9.61,24.26
162.00,5.44,35.91,87.85,8.33,23.94
163.00,5.82,36.36,100.30,9.10,13.32
164.00,5.00,35.45,100.80,11.22,15.02
165.00,4.96,36.36,99.94,11.33,15.30
166.00,4.22,36.36,91.59,12.14,24.45
167.00,4.31,35.45,93.45,12.16,21.71
168.00,5.39,33.64,101.53,11.44,14.15
169.00,4.51,35.91,87.89,10.88,26.45
170.00,5.64,35.91,94.77,8.92,17.62
171.00,4.31,35.91,92.21,11.96,23.21
172.00,5.46,37.27,91.58,8.47,21.71
173.00,4.92,34.55,97.49,12.10,16.71
174.00,5.48,33.64,92.94,9.96,18.22
175.00,4.79,35.91,100.55,10.99,14.99
176.00,5.41,34.09,98.02,10.15,13.77
177.00,4.97,35.45,95.90,11.29,18.39
178.00,4.64,34.55,91.68,11.60,22.01
179.00,5.00,33.64,100.90,12.49,14.58
180.00,5.61,35.00,98.33,10.18,14.41
181.00,4.55,37.27,94.17,10.69,21.35
182.00,5.02,35.00,98.99,10.97,14.54
183.00,4.20,36.82,87.77,10.99,27.58
184.00,5.68,35.91,98.45,8.97,13.99
185.00,5.10,35.91,91.71,10.11,21.85
186.00,5.25,32.73,98.41,12.20,14.07
187.00,5.04,35.45,92.65,10.20,20.55
188.00,5.73,36.82,99.59,9.73,14.51
189.00,4.72,35.00,97.07,12.21,17.69
190.00,4.47,36.82,93.58,11.17,21.96
191.00,5.16,33.18,97.87,11.68,14.55
192.00,5.23,37.27,87.90,8.38,25.30
193.00,5.47,36.82,90.26,8.49,22.59
194.00,5.21,36.36,98.91,10.36,15.37
195.00,5.57,36.82,92.75,8.57,20.19
196.00,5.48,32.73,101.29,12.35,13.92
197.00,4.24,35.00,87.65,11.60,26.49
198.00,4.64,36.82,88.48,9.49,25.37
199.00,4.27,35.91,92.68,12.23,23.01
