# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,0.24,1.18,0.27,0.10,1.24,1.46,0.94,0.53,0.11,0.91,1.98,2.39,3.32,4.71,4.94,5.92,0.85
1.00,0.24,1.46,0.21,0.10,1.28,1.49,0.96,0.57,0.11,0.88,2.11,2.53,3.25,4.54,4.75,5.89,0.99
2.00,1.08,1.16,0.25,0.06,1.33,1.47,1.04,0.90,0.42,0.92,2.10,2.36,3.14,4.71,4.94,5.89,0.75
3.00,0.37,1.32,0.25,0.07,1.19,1.46,0.95,0.50,0.21,0.95,2.20,2.55,3.26,4.70,4.95,5.91,0.84
4.00,0.35,1.33,0.22,0.09,1.31,1.50,0.96,0.56,0.11,0.92,2.07,2.53,3.32,4.67,5.01,5.91,0.72
5.00,1.06,1.34,0.25,0.07,1.25,1.49,0.91,0.55,0.24,0.90,2.09,2.36,3.14,4.70,4.94,5.91,0.97
6.00,1.17,1.31,0.24,0.06,1.31,1.46,1.02,0.94,0.07,0.83,1.99,2.36,3.15,4.70,4.98,5.92,0.68
7.00,1.11,1.22,0.24,0.06,1.21,1.49,0.80,0.38,0.02,0.94,1.94,2.36,3.17,4.50,5.25,5.92,0.59
8.00,0.23,1.46,0.21,0.10,1.23,1.49,1.02,0.58,0.44,0.88,2.21,2.46,3.25,4.54,4.75,5.89,0.99
9.00,0.24,1.28,0.20,0.10,1.28,1.49,0.95,0.57,0.09,0.91,2.11,2.46,3.25,4.54,4.75,5.93,0.86
10.00,0.44,1.33,0.25,0.07,1.25,1.49,0.92,0.55,0.38,0.90,2.01,2.36,3.15,4.71,4.94,6.11,0.66
11.00,1.15,1.50,0.25,0.07,1.29,1.50,0.93,0.46,0.12,0.92,2.10,2.43,3.34,4.67,5.03,5.88,0.66
12.00,0.37,1.22,0.24,0.06,1.31,1.47,1.03,0.49,0.19,0.86,2.19,2.46,3.14,4.61,4.86,5.91,0.99
13.00,1.12,1.48,0.25,0.06,1.33,1.46,0.92,0.54,0.12,0.85,2.05,2.47,3.34,4.70,4.95,6.08,0.95
14.00,0.42,1.18,0.24,0.07,1.19,1.50,0.92,0.50,0.07,0.86,2.10,2.46,3.15,4.71,4.94,5.92,0.67
15.00,1.46,1.23,0.23,0.08,1.19,1.47,1.03,0.87,0.23,0.86,2.20,2.45,3.32,4.60,4.97,5.91,0.32
16.00,1.04,1.27,0.20,0.09,1.24,1.50,1.03,0.61,0.08,0.94,2.21,2.36,3.32,4.58,4.94,5.96,0.84
17.00,0.37,1.34,0.25,0.08,1.18,1.50,1.02,0.50,0.40,0.91,2.11,2.46,3.19,4.54,4.74,5.92,1.01
18.00,0.24,1.48,0.22,0.09,1.33,1.50,1.03,0.80,0.39,0.92,1.99,2.44,3.31,4.54,4.90,5.91,0.99
19.00,1.06,1.21,0.22,0.07,1.31,1.50,1.01,0.49,0.08,0.86,1.98,2.36,3.21,4.71,4.94,5.89,0.65
20.00,0.43,1.37,0.32,0.07,1.25,1.47,0.94,0.56,0.19,0.86,2.12,2.46,3.28,4.54,4.73,6.08,0.99
21.00,0.38,1.32,0.23,0.07,1.19,1.46,0.95,0.43,0.20,0.95,2.20,2.53,3.26,4.58,4.91,5.91,0.84
22.00,0.44,1.41,0.25,0.07,1.25,1.49,1.04,0.54,0.23,0.90,2.01,2.36,3.15,4.71,4.94,6.11,1.06
23.00,0.37,1.24,0.22,0.09,1.31,1.50,1.20,0.55,0.13,0.95,2.15,2.36,3.31,4.71,4.96,5.89,0.75
24.00,1.06,1.29,0.25,0.06,1.25,1.50,0.91,0.55,0.24,0.89,2.08,2.36,3.14,4.65,4.95,6.05,0.97
25.00,0.42,1.33,0.24,0.06,1.31,1.50,1.17,0.55,0.20,0.90,2.03,2.44,3.15,4.69,4.96,5.92,1.12
26.00,0.32,1.46,0.21,0.09,1.30,1.49,0.94,0.59,0.06,0.88,2.11,2.45,3.26,4.54,4.75,5.88,1.10
27.00,1.15,1.12,0.25,0.06,1.32,1.48,1.04,0.90,0.02,0.92,2.03,2.36,3.16,4.71,4.94,5.92,0.92
28.00,1.12,1.21,0.25,0.07,1.28,1.47,0.92,0.55,0.12,0.96,2.12,2.36,3.22,4.71,4.94,5.92,0.67
29.00,0.38,1.21,0.25,0.07,1.31,1.50,1.03,0.48,0.19,0.89,2.06,2.46,3.15,4.53,4.72,6.09,0.59
30.00,0.35,1.33,0.22,0.09,1.31,1.50,0.96,0.56,0.06,0.92,2.07,2.47,3.32,4.67,5.01,5.91,0.72
31.00,0.38,1.47,0.23,0.09,1.16,1.47,1.03,0.58,0.40,0.95,2.04,2.45,3.31,4.55,4.74,5.90,0.29
32.00,0.35,1.33,0.22,0.09,1.31,1.50,0.86,0.56,0.11,0.92,2.07,2.53,3.32,4.67,5.01,5.91,0.72
33.00,0.31,1.24,0.25,0.09,1.16,1.46,1.02,0.50,0.10,0.88,2.09,2.37,3.15,4.70,4.94,6.10,0.78
34.00,1.03,1.16,0.25,0.06,1.33,1.47,1.04,0.90,0.42,0.92,2.10,2.36,3.14,4.71,4.94,5.91,0.92
35.00,1.17,1.31,0.24,0.06,1.31,1.50,1.02,0.54,0.08,0.83,1.99,2.36,3.15,4.70,4.99,5.92,0.68
36.00,0.37,1.22,0.24,0.06,1.31,1.47,1.03,0.49,0.19,0.86,2.19,2.46,3.14,4.61,4.86,5.91,0.99
37.00,0.22,1.47,0.27,0.10,1.33,1.46,0.95,0.53,0.11,0.85,1.98,2.46,3.26,4.71,4.94,6.07,0.85
38.00,0.37,1.17,0.21,0.09,1.17,1.45,0.91,0.50,0.40,0.85,2.22,2.45,3.21,4.55,4.73,5.93,0.51
39.00,0.24,1.16,0.27,0.10,1.24,1.46,1.04,0.53,0.11,0.91,1.98,2.36,3.32,4.71,4.94,5.91,0.85
40.00,0.22,1.21,0.24,0.10,1.27,1.50,0.91,0.55,0.19,0.90,2.08,2.36,3.23,4.70,4.95,5.91,0.91
41.00,1.06,1.21,0.22,0.07,1.31,1.50,1.01,0.49,0.40,0.86,1.98,2.47,3.21,4.71,4.94,5.92,0.73
42.00,0.41,1.38,0.26,0.07,1.25,1.46,1.03,0.53,0.24,0.91,2.06,2.39,3.15,4.54,4.74,5.92,0.25
43.00,0.33,1.21,0.23,0.09,1.17,1.49,1.03,0.50,0.27,0.96,2.09,2.53,3.26,4.54,4.71,5.89,0.50
44.00,1.06,1.18,0.25,0.06,1.25,1.49,1.01,0.55,0.24,0.90,2.03,2.36,3.15,4.70,4.94,5.91,0.97
45.00,0.38,1.21,0.22,0.08,1.21,1.47,1.03,0.55,0.40,0.86,2.09,2.45,3.17,4.57,4.72,5.92,1.00
46.00,0.45,1.33,0.27,0.07,1.30,1.47,1.02,0.64,0.39,0.88,2.02,2.36,3.15,4.71,4.95,5.91,1.01
47.00,1.06,1.34,0.25,0.06,1.25,1.49,0.91,0.55,0.24,0.90,2.08,2.36,3.14,4.71,4.95,5.91,0.97
48.00,1.05,1.21,0.20,0.07,1.31,1.50,0.95,0.62,0.12,0.86,2.16,2.36,3.19,4.54,4.89,5.93,0.58
49.00,0.42,1.32,0.24,0.07,1.19,1.50,0.92,0.50,0.07,0.86,1.98,2.46,3.15,4.65,4.91,5.89,0.66
50.00,0.43,1.31,0.26,0.07,1.25,1.50,1.00,0.85,0.08,0.91,2.12,2.36,3.15,4.67,4.95,5.92,0.66
51.00,0.35,1.49,0.25,0.07,1.24,1.47,0.93,0.52,0.12,0.92,2.20,2.55,3.25,4.55,4.95,5.91,0.98
52.00,0.34,1.34,0.26,0.09,1.15,1.47,0.92,0.52,0.23,0.91,2.07,2.36,3.17,4.70,4.91,6.08,0.75
53.00,1.04,1.48,0.25,0.06,1.29,1.50,1.03,0.55,0.12,0.92,2.04,2.37,3.30,4.71,4.95,5.96,0.29
54.00,0.38,1.34,0.23,0.08,1.22,1.46,1.03,0.48,0.08,0.86,2.08,2.47,3.17,4.57,4.73,5.92,0.85
55.00,0.44,1.33,0.25,0.07,1.25,1.50,0.92,0.55,0.38,0.90,2.01,2.36,3.15,4.71,4.94,5.89,0.66
56.00,0.43,1.35,0.23,0.07,1.38,1.45,0.91,0.47,0.11,0.88,2.22,2.44,3.23,4.54,4.73,5.92,0.51
57.00,0.97,1.41,0.25,0.07,1.25,1.47,1.00,0.48,0.41,0.91,2.10,2.37,3.28,4.70,4.94,5.91,0.69
58.00,0.28,1.34,0.22,0.09,1.31,1.49,0.91,0.56,0.11,0.86,2.08,2.52,3.23,4.61,5.02,5.91,0.71
59.00,0.45,1.18,0.27,0.06,1.38,1.47,1.02,0.52,0.39,0.88,2.08,2.45,3.15,4.71,4.95,5.91,1.01
