# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,1.07,0.08,0.15,1.44,1.42,0.89,1.49,1.50,0.14,1.44,1.91,2.80,3.90,4.26,4.71,6.26,1.00
1.00,1.07,0.08,0.14,1.35,1.42,0.77,1.19,1.50,0.22,1.23,2.09,2.86,3.90,4.31,4.71,6.28,0.80
2.00,1.02,0.07,0.18,1.43,1.45,0.75,1.23,1.50,0.23,1.44,1.91,2.87,3.91,4.30,4.71,6.28,0.91
3.00,1.07,0.13,0.17,1.45,0.19,1.49,1.20,1.50,0.09,1.43,1.92,2.80,3.87,4.58,4.71,6.26,0.89
4.00,1.04,0.06,0.17,1.44,0.31,0.74,1.03,1.50,0.23,1.27,1.91,2.80,3.91,4.48,4.71,6.28,0.91
5.00,1.01,0.06,0.16,1.48,1.06,0.89,1.48,1.50,0.15,1.21,1.89,2.72,3.91,4.34,4.72,6.24,0.69
6.00,0.99,0.13,0.15,1.44,0.17,1.49,1.19,1.50,0.08,1.22,1.88,2.85,3.31,4.63,4.77,6.24,0.92
7.00,1.07,0.09,0.15,1.44,1.43,0.89,1.40,1.50,0.14,1.48,2.02,2.86,3.86,4.35,4.72,6.28,0.90
8.00,0.99,0.13,0.15,1.44,0.17,1.50,1.19,1.50,0.08,1.25,1.91,2.80,3.37,4.57,4.77,6.24,0.92
9.00,1.07,0.08,0.15,1.45,1.47,0.89,1.29,1.50,0.14,1.45,1.95,2.80,3.90,4.26,4.74,6.26,1.00
10.00,1.01,0.08,0.18,1.36,0.31,1.46,1.40,1.50,0.24,1.47,2.09,2.83,3.91,4.61,4.71,6.28,0.69
11.00,1.09,0.13,0.18,1.48,0.21,1.39,1.39,1.45,0.09,1.26,1.91,2.80,3.91,4.66,4.71,6.28,0.80
12.00,1.05,0.06,0.17,1.37,0.25,1.48,1.22,1.50,0.23,1.29,1.91,2.73,3.87,4.58,4.72,6.27,0.93
13.00,0.87,0.11,0.16,1.43,0.31,1.50,1.41,1.50,0.24,1.47,2.09,2.85,3.83,4.61,4.73,6.27,0.83
14.00,1.02,0.07,0.18,1.43,1.45,0.75,1.50,1.50,0.23,1.44,1.91,2.87,3.91,4.30,4.71,6.28,0.91
15.00,1.04,0.12,0.16,1.49,0.21,0.87,1.39,1.45,0.09,1.19,1.91,2.66,3.88,4.56,4.71,6.27,0.86
16.00,0.99,0.08,0.19,1.47,0.31,1.50,1.48,1.50,0.17,1.27,1.97,2.73,3.86,4.37,4.72,6.28,0.91
17.00,1.05,0.11,0.18,1.48,0.26,1.47,1.23,1.50,0.15,1.46,2.04,2.80,3.87,4.61,4.71,6.28,0.83
18.00,1.07,0.13,0.15,1.44,1.48,0.81,1.47,1.50,0.09,1.30,2.00,2.86,3.86,4.35,4.72,6.28,0.94
19.00,1.04,0.06,0.15,1.48,1.45,0.72,1.20,1.50,0.23,1.42,1.94,2.87,3.86,4.25,4.72,6.28,0.80
20.00,1.01,0.11,0.18,1.36,0.31,1.46,1.40,1.50,0.16,1.47,2.10,2.83,3.91,4.64,4.71,6.28,0.69
21.00,1.01,0.08,0.20,1.44,0.31,1.50,1.49,1.50,0.24,1.45,2.09,2.80,3.89,4.61,4.73,6.28,1.01
22.00,1.03,0.11,0.16,1.47,0.35,1.48,1.40,1.50,0.16,1.48,2.15,2.86,3.90,4.63,4.72,6.28,0.92
23.00,1.00,0.12,0.16,1.44,0.27,1.48,1.38,1.50,0.09,1.28,1.93,2.80,3.92,4.57,4.71,6.24,0.67
24.00,0.99,0.13,0.16,1.43,0.21,1.48,1.19,1.50,0.08,1.25,1.91,2.85,3.87,4.61,4.72,6.27,0.65
25.00,1.03,0.13,0.15,1.46,0.23,1.49,1.36,1.50,0.08,1.30,1.88,2.87,3.90,4.63,4.78,6.23,1.49
26.00,1.01,0.12,0.16,1.44,0.18,1.48,1.18,1.50,0.09,1.33,1.93,2.80,3.85,4.58,4.71,6.24,0.66
27.00,1.04,0.14,0.15,1.45,0.23,1.48,1.36,1.50,0.09,1.27,1.90,2.87,3.90,4.58,4.71,6.28,0.90
