# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,8.205033776734702577e-01,9.843866280531271551e-02,5.031329341317365006e-02,8.205033776734702577e-01,9.843866280531271551e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.961241004533303856e-02,1.643903684548334354e+00,1.968283843757319129e-01,5.030434701831434235e-02,8.309738365054363252e-01,9.969211513404224734e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.891478735749773404e-02,2.469561520647736153e+00,2.951707168018877780e-01,5.027139069520356052e-02,8.695534397493607237e-01,1.043100525561814068e-01
5.235987755982988295e-02,9.863636363636362603e+01,4.822063859092813598e-02,3.296854326132090840e+00,3.934672873446781183e-01,5.021616554049223441e-02,9.342332483831159440e-01,1.120502307603350317e-01
6.981317007977318190e-02,9.818181818181817277e+01,4.753014198464132478e-02,4.125178491694519778e+00,4.917197984352683626e-01,5.014041265083117593e-02,1.023019507197123978e+00,1.226713431297796475e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.684349567488664545e-02,4.953951326887673368e+00,5.899300276750915062e-01,5.004587312287121781e-02,1.133928547540824949e+00,1.359327702373527846e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.616093080051971581e-02,5.782612877913994254e+00,6.880998278358483322e-01,4.993428805326320663e-02,1.264982089921960595e+00,1.515943519323074695e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.548265439499613733e-02,6.610627588220309825e+00,7.862311268595070235e-01,4.980739853865797512e-02,1.414202991597176773e+00,1.694161756980577527e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.480886071507238916e-02,7.437485797046119451e+00,8.843259278583034400e-01,4.966694567570639068e-02,1.579611470826917108e+00,1.891583767960345885e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.413974797355545848e-02,8.262705072856061150e+00,9.823863091147413407e-01,4.951467056105929299e-02,1.759221827289248585e+00,2.105809473771745877e-01
