# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,0.17,0.12,0.12,0.42,1.50,1.49,1.05,0.12,0.53,1.46,2.26,2.72,3.14,4.70,4.76,5.82,1.22
1.00,0.19,0.12,0.13,0.42,1.49,1.50,1.04,0.12,0.49,1.57,2.32,2.71,3.14,4.70,4.76,5.74,1.18
2.00,0.12,0.12,0.13,0.44,1.50,1.50,1.04,0.12,0.02,1.57,2.32,2.72,3.14,4.71,4.82,5.78,1.18
3.00,0.12,0.12,0.12,0.43,1.49,1.47,0.74,0.23,0.23,1.52,2.19,2.77,3.15,4.57,4.84,5.74,1.13
4.00,0.12,0.14,0.13,0.64,1.50,1.50,0.86,0.12,0.01,1.56,2.31,2.94,3.14,4.70,4.81,5.81,1.18
5.00,0.12,0.14,0.13,0.43,1.50,1.49,0.74,0.15,0.14,1.45,2.12,2.87,3.14,4.66,4.81,5.75,0.91
6.00,0.12,0.12,0.13,0.42,1.50,1.50,1.06,0.11,0.06,1.57,2.32,2.72,3.14,4.71,4.77,5.70,1.02
7.00,0.12,0.13,0.13,0.43,1.50,1.48,0.84,0.15,0.26,1.56,2.19,2.87,3.14,4.70,4.82,5.78,1.15
8.00,0.12,0.13,0.13,0.42,1.50,1.50,1.05,0.12,0.17,1.52,2.32,2.72,3.14,4.70,4.77,5.77,0.68
9.00,0.12,0.12,0.12,0.42,1.49,1.49,0.74,0.17,0.02,1.50,2.18,2.88,3.15,4.65,4.85,5.79,0.84
10.00,0.12,0.12,0.13,0.54,1.49,1.50,0.89,0.14,0.28,1.45,2.13,2.86,3.14,4.71,4.79,5.77,1.23
11.00,0.12,0.12,0.13,0.42,1.49,1.48,0.77,0.14,0.08,1.50,2.23,2.88,3.15,4.67,4.80,5.82,0.84
12.00,0.12,0.12,0.11,0.48,1.50,1.49,0.85,0.14,0.23,1.47,2.22,2.75,3.15,4.70,4.82,5.81,1.22
13.00,0.12,0.14,0.13,0.43,1.49,1.49,0.74,0.15,0.02,1.45,2.14,2.87,3.14,4.66,4.82,5.77,1.16
14.00,0.16,0.13,0.11,0.43,1.50,1.49,0.85,0.12,0.23,1.45,2.18,2.87,3.15,4.67,4.81,5.77,1.22
15.00,0.12,0.12,0.13,0.43,1.50,1.48,0.77,0.14,0.08,1.49,2.23,2.88,3.14,4.67,4.80,5.82,1.19
16.00,0.13,0.12,0.13,0.42,1.50,1.49,1.06,0.12,0.28,1.47,2.17,2.71,3.14,4.69,4.75,5.81,1.10
17.00,0.12,0.13,0.13,0.42,1.50,1.49,0.84,0.12,0.01,1.57,2.31,2.87,3.14,4.71,4.82,5.78,1.34
18.00,0.14,0.12,0.13,0.42,1.50,1.49,1.04,0.12,0.26,1.46,2.25,2.72,3.14,4.70,4.76,5.74,1.21
19.00,0.12,0.13,0.13,0.42,1.49,1.48,0.77,0.14,0.13,1.49,2.23,2.88,3.15,4.67,4.80,5.82,0.85
20.00,0.16,0.12,0.13,0.48,1.50,1.49,1.06,0.12,0.27,1.45,2.19,2.75,3.14,4.70,4.76,5.81,1.36
21.00,0.12,0.12,0.13,0.44,1.50,1.50,1.04,0.12,0.02,1.57,2.16,2.72,3.14,4.71,4.77,5.92,1.19
22.00,0.12,0.13,0.13,0.42,1.50,1.50,0.87,0.14,0.28,1.46,2.19,2.87,3.14,4.69,4.80,5.78,1.17
23.00,0.12,0.12,0.13,0.43,1.49,1.49,0.85,0.12,0.03,1.46,2.31,2.72,3.14,4.71,4.82,5.82,1.34
24.00,0.12,0.12,0.12,0.46,1.50,1.50,1.03,0.12,0.05,1.45,2.19,2.76,3.14,4.70,4.76,5.81,1.19
25.00,0.12,0.12,0.13,0.42,1.49,1.48,0.77,0.14,0.08,1.50,2.23,2.88,3.15,4.67,4.80,5.82,0.84
26.00,0.12,0.12,0.12,0.43,1.49,1.50,0.85,0.12,0.27,1.45,2.26,2.69,3.14,4.69,4.80,5.77,1.14
27.00,0.16,0.12,0.13,0.48,1.50,1.47,1.06,0.12,0.28,1.45,2.19,2.75,3.14,4.70,4.76,5.81,1.36
28.00,0.12,0.12,0.13,0.42,1.50,1.50,1.05,0.12,0.31,1.57,2.31,2.75,3.14,4.71,4.77,5.91,1.19
29.00,0.12,0.12,0.13,0.42,1.50,1.50,1.06,0.11,0.05,1.57,2.32,2.72,3.14,4.71,4.77,5.92,1.22
30.00,0.12,0.12,0.13,0.55,1.49,1.50,0.89,0.12,0.06,1.57,2.13,2.86,3.14,4.71,4.79,5.77,1.23
31.00,0.12,0.12,0.12,0.44,1.50,1.50,1.04,0.15,0.02,1.57,2.32,2.72,3.14,4.71,4.78,5.78,1.18
32.00,0.12,0.14,0.13,0.43,1.50,1.50,0.74,0.15,0.14,1.45,2.14,2.87,3.15,4.66,4.81,5.84,0.74
33.00,0.12,0.13,0.13,0.44,1.49,1.50,1.04,0.12,0.02,1.57,2.25,2.72,3.14,4.71,4.78,5.76,1.23
34.00,0.12,0.13,0.13,0.43,1.50,1.48,0.89,0.14,0.18,1.47,2.22,2.88,3.14,4.70,4.80,5.81,1.02
35.00,0.12,0.13,0.13,0.64,1.50,1.50,0.86,0.12,0.01,1.56,2.31,2.94,3.14,4.70,4.80,5.81,1.18
36.00,0.12,0.13,0.13,0.44,1.50,1.50,1.05,0.15,0.26,1.56,2.21,2.87,3.14,4.70,4.77,5.78,1.17
37.00,0.12,0.13,0.13,0.43,1.50,1.50,0.84,0.15,0.26,1.56,2.19,2.87,3.14,4.70,4.82,5.78,1.15
38.00,0.12,0.12,0.12,0.44,1.50,1.50,1.06,0.12,0.06,1.57,2.32,2.72,3.14,4.71,4.77,5.92,1.22
39.00,0.12,0.13,0.13,0.43,1.49,1.49,0.86,0.14,0.03,1.51,2.27,2.87,3.14,4.70,4.82,5.97,1.05
40.00,0.15,0.13,0.13,0.55,1.50,1.50,1.07,0.15,0.23,1.45,2.18,2.87,3.14,4.71,4.78,5.73,1.21
41.00,0.12,0.12,0.13,0.68,1.50,1.50,1.05,0.14,0.15,1.55,2.25,2.86,3.14,4.70,4.77,5.75,1.37
42.00,0.12,0.13,0.12,0.44,1.50,1.49,0.89,0.14,0.18,1.47,2.22,2.88,3.14,4.70,4.80,5.80,1.03
43.00,0.12,0.13,0.12,0.42,1.50,1.49,1.06,0.14,0.26,1.45,2.18,2.72,3.14,4.71,4.78,5.92,1.26
44.00,0.12,0.12,0.13,0.42,1.50,1.50,1.06,0.11,0.28,1.57,2.32,2.72,3.14,4.69,4.75,5.92,1.22
45.00,0.12,0.13,0.12,0.43,1.50,1.49,1.06,0.14,0.26,1.45,2.18,2.88,3.14,4.71,4.78,5.92,1.26
46.00,0.12,0.12,0.13,0.42,1.49,1.50,0.85,0.12,0.31,1.57,2.31,2.74,3.14,4.71,4.81,5.91,1.19
47.00,0.16,0.12,0.13,0.42,1.50,1.49,1.06,0.12,0.27,1.41,2.26,2.87,3.14,4.70,4.76,5.81,1.43
48.00,0.12,0.12,0.12,0.43,1.50,1.49,0.84,0.14,0.28,1.46,2.30,2.74,3.14,4.71,4.82,5.80,1.34
49.00,0.12,0.13,0.13,0.43,1.49,1.49,0.86,0.14,0.02,1.51,2.17,2.87,3.14,4.70,4.82,5.80,0.88
50.00,0.12,0.13,0.13,0.42,1.50,1.49,0.75,0.14,0.28,1.53,2.18,2.87,3.14,4.67,4.80,5.80,1.19
51.00,0.12,0.13,0.13,0.43,1.49,1.48,0.90,0.15,0.30,1.57,2.22,2.87,3.15,4.70,4.80,5.77,0.84
52.00,0.14,0.13,0.13,0.42,1.50,1.49,1.04,0.12,0.26,1.46,2.25,2.72,3.14,4.70,4.76,5.74,1.26
53.00,0.12,0.13,0.13,0.44,1.49,1.50,1.04,0.12,0.02,1.57,2.32,2.87,3.14,4.71,4.78,5.91,1.23
54.00,0.12,0.13,0.13,0.43,1.49,1.43,0.89,0.14,0.18,1.47,2.22,2.88,3.14,4.70,4.80,5.81,1.02
55.00,0.15,0.12,0.13,0.42,1.48,1.49,0.85,0.12,0.32,1.45,2.31,2.73,3.14,4.71,4.82,5.91,1.37
56.00,0.12,0.13,0.13,0.43,1.49,1.43,0.89,0.14,0.24,1.47,2.22,2.88,3.14,4.70,4.80,5.83,1.02
57.00,0.12,0.12,0.12,0.46,1.50,1.49,1.03,0.12,0.05,1.45,2.18,2.76,3.14,4.70,4.76,5.81,1.19
58.00,0.12,0.13,0.13,0.43,1.49,1.48,0.90,0.15,0.30,1.57,2.22,2.87,3.15,4.70,4.80,5.77,1.16
59.00,0.17,0.12,0.13,0.49,1.49,1.50,0.84,0.12,0.29,1.45,2.31,2.87,3.14,4.70,4.82,5.74,1.18
60.00,0.13,0.12,0.13,0.43,1.50,1.49,1.06,0.12,0.28,1.47,2.17,2.71,3.14,4.69,4.75,5.75,0.95
61.00,0.12,0.12,0.13,0.44,1.49,1.50,1.04,0.12,0.02,1.57,2.32,2.72,3.14,4.71,4.77,5.92,1.18
62.00,0.12,0.11,0.13,0.46,1.50,1.49,1.06,0.12,0.05,1.47,2.17,2.71,3.14,4.71,4.77,5.77,1.10
