# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,1.775406756292437771e-01,6.516105029097735146e-02,5.031329341317365006e-02,1.775406756292437771e-01,6.516105029097735146e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.995585843887941774e-02,3.647020998799151981e-01,1.315048093441559263e-01,5.030434701831434235e-02,1.820519575231527298e-01,6.678722831123411197e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.960758722455022723e-02,5.616507856141728094e-01,1.990466363941385819e-01,5.027139069520356052e-02,1.987449072864911070e-01,7.279242364037166735e-02
5.235987755982988295e-02,9.863636363636362603e+01,4.926875875549278916e-02,7.685434825724319907e-01,2.678019607773427513e-01,5.021616554049223441e-02,2.269825028048099436e-01,8.290790774201885205e-02
6.981317007977318190e-02,9.818181818181817277e+01,4.893978183568003376e-02,9.854504511817098189e-01,3.377818530286405552e-01,5.014041265083117593e-02,2.662647543672666539e-01,9.689219397742954154e-02
8.726646259971647390e-02,9.772727272727271952e+01,4.862078533793846163e-02,1.211992780456203178e+00,4.089744582035628184e-01,5.004587312287121781e-02,3.161978763137588411e-01,1.145250035641822567e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.831134857015769585e-02,1.447597794638714408e+00,4.813523033085537195e-01,4.993428805326320663e-02,3.764671959277451352e-01,1.356019273317356222e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.801082727404894918e-02,1.691909740711971200e+00,5.548907179844545512e-01,4.980739853865797512e-02,4.468122617775614480e-01,1.599294500894535842e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.771863696640267494e-02,1.944527453925213534e+00,6.295658122702431081e-01,4.966694567570639068e-02,5.270029264545760261e-01,1.873200847463359076e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.743424358464030238e-02,2.204946746740970465e+00,7.053517639130817418e-01,4.951467056105929299e-02,6.168164954580044324e-01,2.175877781745543527e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.715715965596053300e-02,2.472691619310833921e+00,7.822232190533233709e-01,4.935231429136749393e-02,7.160304342272096889e-01,2.505482809023469315e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.688693861875101870e-02,2.747330049252685757e+00,8.601569174328723699e-01,4.918161796328189561e-02,8.244006456628288904e-01,2.860148231380791883e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.662317029504845639e-02,3.028353500235120954e+00,9.391296504293895619e-01,4.900432267345327525e-02,9.415853475860053168e-01,3.237858277255686312e-01
2.268928027592628516e-01,9.409090909090909349e+01,4.636547709823003738e-02,3.315128595062395434e+00,1.019115965310689820e+00,4.882216951853253495e-02,1.067077465548459614e+00,3.636358077855083026e-01
2.443460952792061436e-01,9.363636363636364024e+01,4.611351035694414430e-02,3.606980634621851589e+00,1.100088499181099300e+00,4.863689959517046579e-02,1.200155521680868143e+00,4.052960570797208284e-01
2.617993877991494078e-01,9.318181818181817277e+01,4.586694774751026021e-02,3.903310054574358201e+00,1.182020453821462924e+00,4.845025400001798377e-02,1.339868405402233842e+00,4.484494804434835946e-01
2.792526803190927276e-01,9.272727272727271952e+01,4.562549019906599057e-02,4.203552210499105435e+00,1.264886436796863300e+00,4.826397382972585914e-02,1.485083909360176202e+00,4.927297648099724925e-01
2.967059728390360474e-01,9.227272727272726627e+01,4.538886009414967032e-02,4.507143930230972373e+00,1.348662412939804600e+00,4.807980018094494545e-02,1.634460650076961397e+00,5.377240628485695506e-01
