# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,0.14,0.54,0.22,0.15,0.56,1.46,1.28,0.16,0.66,1.56,2.27,3.11,3.53,4.01,5.28,6.25,0.36
1.00,0.13,0.42,0.23,0.12,0.50,1.41,1.00,0.40,0.78,1.00,2.32,2.93,3.62,3.96,5.31,5.89,0.36
2.00,0.14,0.68,0.23,0.13,0.50,1.40,1.28,0.36,0.72,1.37,2.35,3.13,3.63,4.01,5.26,6.20,0.48
3.00,0.14,0.56,0.30,0.13,0.50,1.43,1.09,0.24,0.78,1.56,2.36,3.01,3.58,4.01,5.28,5.76,0.52
4.00,0.13,0.64,0.26,0.13,0.44,1.42,1.36,0.35,0.78,1.56,2.35,3.02,3.59,4.00,5.30,5.96,0.49
5.00,0.14,0.63,0.27,0.11,0.69,1.48,1.22,0.17,0.77,1.56,2.32,2.96,3.53,3.93,5.35,6.27,0.49
6.00,0.14,0.64,0.26,0.14,0.44,1.42,1.27,0.39,0.72,1.57,2.35,2.99,3.63,4.08,5.26,5.95,0.43
7.00,0.14,0.58,0.23,0.12,0.69,1.43,1.10,0.17,0.77,1.35,2.35,2.96,3.79,4.02,5.24,6.27,1.35
8.00,0.14,0.57,0.25,0.13,0.53,1.46,1.17,0.15,0.77,1.55,2.32,2.96,3.60,3.94,5.30,6.21,0.53
9.00,0.14,0.60,0.22,0.12,0.69,1.49,1.09,0.16,0.77,1.34,2.34,3.01,3.77,4.02,5.25,6.20,0.57
10.00,0.14,0.54,0.27,0.15,0.58,1.48,1.28,0.16,0.66,1.56,2.22,2.97,3.53,4.01,5.35,6.25,0.54
11.00,0.14,0.58,0.30,0.12,0.69,1.46,1.11,0.16,0.76,1.39,2.34,2.98,3.77,4.01,5.26,6.25,0.53
12.00,0.14,0.64,0.26,0.14,0.44,1.42,1.27,0.26,0.71,1.56,2.35,3.04,3.63,4.07,5.22,5.96,0.53
13.00,0.14,0.58,0.26,0.13,0.45,1.45,1.30,0.30,0.59,1.56,2.33,3.04,3.61,4.07,5.22,5.87,0.53
14.00,0.14,0.59,0.26,0.13,0.51,1.42,1.25,0.28,0.78,1.56,2.35,3.03,3.61,4.07,5.22,5.91,0.36
15.00,0.14,0.56,0.26,0.13,0.71,1.49,1.28,0.16,0.78,1.31,2.34,3.01,3.77,4.02,5.22,6.21,0.57
16.00,0.13,0.56,0.26,0.10,0.54,1.43,1.29,0.28,0.63,1.55,2.36,3.08,3.59,4.01,5.30,6.22,0.52
17.00,0.14,0.63,0.26,0.14,0.44,1.26,1.28,0.33,0.77,1.57,2.35,3.02,3.63,4.07,5.24,6.22,0.53
18.00,0.14,0.57,0.25,0.13,0.53,1.46,1.17,0.16,0.77,1.55,2.32,2.96,3.61,3.94,5.31,6.21,0.53
19.00,0.14,0.75,0.27,0.10,0.69,1.46,1.26,0.18,0.78,1.39,2.35,3.04,3.77,4.00,5.28,6.20,1.35
20.00,0.14,0.58,0.26,0.14,0.47,1.45,1.07,0.31,0.59,1.55,2.35,2.92,3.61,4.01,5.24,5.87,0.51
21.00,0.14,0.64,0.30,0.13,0.50,1.43,1.09,0.24,0.78,1.56,2.36,3.01,3.58,4.11,5.28,5.94,0.51
22.00,0.14,0.56,0.25,0.14,0.51,1.41,1.19,0.16,0.62,1.57,2.24,2.97,3.61,4.03,5.24,6.25,0.58
23.00,0.14,0.56,0.31,0.12,0.69,1.43,1.17,0.17,0.76,1.31,2.35,3.02,3.79,4.02,5.28,6.27,1.34
24.00,0.14,0.56,0.30,0.13,0.50,1.43,1.09,0.24,0.78,1.56,2.36,3.01,3.60,4.01,5.30,5.76,0.52
25.00,0.14,0.58,0.26,0.13,0.50,1.48,1.28,0.17,0.71,1.57,2.27,3.06,3.53,4.01,5.28,6.26,0.51
26.00,0.13,0.63,0.31,0.12,0.69,1.43,1.09,0.24,0.76,1.26,2.36,3.01,3.79,4.02,5.28,6.27,1.34
27.00,0.14,0.63,0.32,0.12,0.69,1.46,1.10,0.17,0.77,1.35,2.35,3.06,3.77,4.07,5.23,6.27,1.33
28.00,0.14,0.58,0.30,0.12,0.69,1.46,1.11,0.16,0.76,1.39,2.36,2.98,3.77,4.01,5.26,6.25,0.53
29.00,0.14,0.60,0.22,0.14,0.69,1.49,1.09,0.16,0.76,1.35,2.35,3.01,3.79,4.02,5.25,6.20,0.52
30.00,0.14,0.56,0.25,0.14,0.51,1.43,1.06,0.16,0.62,1.56,2.24,2.97,3.61,3.95,5.25,6.25,0.36
31.00,0.14,0.64,0.31,0.13,0.44,1.43,1.09,0.24,0.63,1.57,2.36,3.03,3.63,4.11,5.28,5.96,0.51
32.00,0.14,0.58,0.26,0.13,0.45,1.24,1.08,0.39,0.76,1.57,2.36,3.02,3.62,4.07,5.31,5.95,1.44
33.00,0.14,0.58,0.26,0.13,0.49,1.48,1.28,0.17,0.77,1.57,2.27,3.01,3.54,4.01,5.28,6.26,0.52
34.00,0.14,0.58,0.23,0.13,0.68,1.43,1.28,0.16,0.76,1.36,2.35,3.02,3.77,4.07,5.28,6.28,1.53
35.00,0.14,0.63,0.27,0.11,0.69,1.46,1.22,0.36,0.76,1.31,2.32,2.96,3.54,3.93,5.28,6.27,0.49
36.00,0.13,0.53,0.24,0.14,0.50,1.35,1.23,0.33,0.76,1.57,2.35,3.01,3.61,3.99,5.25,5.98,1.95
37.00,0.14,0.63,0.26,0.14,0.69,1.48,1.36,0.24,0.77,1.56,2.35,2.96,3.80,4.02,5.22,6.27,0.49
38.00,0.14,0.56,0.26,0.13,0.49,1.45,1.24,0.33,0.78,1.54,2.27,3.05,3.54,3.97,5.30,6.25,0.49
39.00,0.13,0.57,0.26,0.10,0.69,1.47,1.29,0.18,0.64,1.31,2.33,2.96,3.52,3.93,5.32,6.20,0.54
40.00,0.14,0.63,0.27,0.11,0.69,1.48,1.22,0.17,0.77,1.56,2.32,3.00,3.53,3.93,5.35,6.27,0.49
41.00,0.14,0.58,0.26,0.13,0.45,1.24,1.10,0.39,0.76,1.57,2.36,3.02,3.61,3.96,5.31,5.90,1.44
42.00,0.14,0.56,0.25,0.14,0.51,1.43,1.06,0.16,0.74,1.56,2.24,2.97,3.61,3.95,5.25,6.25,0.36
43.00,0.14,0.65,0.25,0.14,0.69,1.43,1.06,0.16,0.60,1.57,2.20,2.97,3.61,3.95,5.25,6.25,0.36
44.00,0.13,0.69,0.26,0.13,0.50,1.40,1.29,0.36,0.72,1.34,2.34,3.04,3.58,4.01,5.26,6.11,0.56
45.00,0.14,0.64,0.26,0.14,0.45,1.28,1.24,0.33,0.75,1.39,2.35,3.01,3.61,3.97,5.30,6.01,1.45
46.00,0.14,0.56,0.26,0.13,0.50,1.48,1.29,0.33,0.78,1.57,2.27,3.04,3.53,3.97,5.31,6.25,0.49
47.00,0.14,0.64,0.26,0.14,0.44,1.43,1.29,0.33,0.78,1.56,2.35,3.04,3.60,4.07,5.22,5.90,0.48
48.00,0.14,0.58,0.26,0.14,0.47,1.45,1.36,0.31,0.77,1.55,2.35,2.96,3.61,4.01,5.31,5.95,0.53
49.00,0.13,0.57,0.30,0.10,0.69,1.47,1.29,0.18,0.78,1.56,2.33,2.96,3.52,3.93,5.21,6.20,0.54
50.00,0.14,0.56,0.23,0.12,0.51,1.41,1.21,0.25,0.77,1.39,2.35,3.10,3.63,3.96,5.25,6.25,0.36
51.00,0.13,0.58,0.23,0.12,0.50,1.40,1.28,0.36,0.64,1.37,2.35,3.13,3.63,4.01,5.26,6.23,0.48
52.00,0.14,0.64,0.26,0.12,0.56,1.47,1.30,0.24,0.78,1.57,2.32,2.98,3.61,4.01,5.25,6.24,0.47
53.00,0.13,0.69,0.23,0.12,0.50,1.40,1.29,0.36,0.64,1.38,2.35,3.04,3.62,4.01,5.26,6.16,1.42
54.00,0.13,0.55,0.21,0.12,0.39,1.49,1.06,0.39,0.77,1.34,2.31,3.11,3.58,4.01,5.28,6.21,0.52
55.00,0.14,0.58,0.23,0.12,0.68,1.43,0.96,0.16,0.76,1.36,2.35,3.06,3.77,4.00,5.28,6.27,1.39
56.00,0.14,0.63,0.27,0.11,0.69,1.46,1.22,0.17,0.76,1.35,2.32,2.96,3.53,3.93,5.31,6.27,1.36
57.00,0.14,0.51,0.26,0.11,0.69,1.41,1.22,0.20,0.76,1.57,2.33,2.94,3.53,3.93,5.26,6.25,0.48
58.00,0.14,0.55,0.26,0.14,0.50,1.25,1.08,0.42,0.76,1.57,2.35,3.01,3.63,4.07,5.26,5.95,0.56
59.00,0.13,0.64,0.24,0.10,0.69,1.48,1.36,0.34,0.76,1.57,2.34,3.06,3.61,4.01,5.32,6.19,0.33
60.00,0.13,0.57,0.25,0.10,0.54,1.50,1.09,0.15,0.78,1.54,2.32,2.96,3.60,3.93,5.32,6.21,0.51
61.00,0.14,0.64,0.26,0.13,0.44,1.42,1.36,0.35,0.60,1.57,2.36,3.02,3.61,4.07,5.15,5.87,0.55
62.00,0.15,0.60,0.22,0.14,0.69,1.42,1.17,0.16,0.77,1.34,2.35,3.01,3.77,4.02,5.28,6.20,0.58
63.00,0.14,0.54,0.27,0.15,0.57,1.46,1.28,0.16,0.66,1.56,2.27,3.11,3.53,4.01,5.20,6.25,0.54
64.00,0.14,0.60,0.22,0.14,0.68,1.46,1.09,0.24,0.77,1.35,2.35,3.01,3.61,3.96,5.22,6.27,0.53
65.00,0.13,0.52,0.29,0.10,0.51,1.41,1.38,0.41,0.76,1.57,2.32,2.94,3.53,3.93,5.37,6.26,0.49
66.00,0.13,0.63,0.26,0.14,0.47,1.28,1.39,0.34,0.78,1.57,2.23,3.05,3.65,3.96,5.22,6.14,0.32
67.00,0.12,0.63,0.26,0.12,0.50,1.42,1.29,0.23,0.71,1.57,2.23,3.06,3.65,4.08,5.30,6.28,0.51
68.00,0.14,0.59,0.26,0.14,0.69,1.46,1.25,0.17,0.76,1.43,2.35,3.01,3.78,4.02,5.22,6.21,0.57
69.00,0.14,0.63,0.25,0.10,0.68,1.44,1.29,0.16,0.77,1.28,2.35,3.01,3.53,3.95,5.26,6.25,1.95
70.00,0.14,0.56,0.26,0.13,0.49,1.42,1.28,0.33,0.69,1.54,2.34,2.98,3.61,4.01,5.28,6.22,0.49
71.00,0.14,0.64,0.26,0.13,0.68,1.26,1.28,0.15,0.76,1.57,2.35,3.02,3.77,4.12,5.24,6.26,0.51
72.00,0.14,0.64,0.26,0.13,0.44,1.42,1.36,0.35,0.78,1.56,2.35,3.02,3.62,4.08,5.15,5.95,0.49
73.00,0.13,0.51,0.23,0.13,0.67,1.40,1.06,0.20,0.76,1.33,2.35,3.00,3.58,3.96,5.37,6.17,0.54
74.00,0.13,0.58,0.23,0.12,0.50,1.21,1.16,0.17,0.77,1.35,2.35,3.09,3.63,3.98,5.30,6.16,0.53
75.00,0.13,0.63,0.23,0.12,0.44,1.25,1.09,0.17,0.77,1.35,2.36,2.96,3.63,3.99,5.27,5.96,1.38
76.00,0.14,0.63,0.26,0.13,0.44,1.43,1.15,0.33,0.77,1.55,2.35,3.04,3.54,4.07,5.22,6.22,0.53
77.00,0.13,0.48,0.23,0.12,0.54,1.48,1.32,0.39,0.63,1.51,2.36,3.01,3.63,3.96,5.28,5.97,1.40
78.00,0.14,0.58,0.26,0.14,0.49,1.48,1.28,0.17,0.77,1.57,2.27,3.01,3.54,4.01,5.28,6.26,0.45
79.00,0.14,0.58,0.25,0.14,0.51,1.40,1.28,0.17,0.76,1.56,2.35,2.96,3.57,3.95,5.24,6.27,0.52
80.00,0.14,0.68,0.26,0.13,0.43,1.42,1.08,0.31,0.72,1.35,2.36,3.04,3.58,4.00,5.28,5.76,1.36
81.00,0.14,0.56,0.26,0.13,0.50,1.41,1.09,0.24,0.78,1.56,2.34,3.01,3.58,3.94,5.28,5.77,0.52
82.00,0.13,0.53,0.24,0.10,0.50,1.44,1.26,0.33,0.76,1.57,2.35,3.01,3.61,4.01,5.25,5.98,1.92
83.00,0.13,0.58,0.26,0.13,0.69,1.42,1.10,0.17,0.78,1.51,2.35,2.96,3.79,4.02,5.24,6.27,1.33
84.00,0.13,0.54,0.27,0.11,0.50,1.49,1.33,0.38,0.68,1.26,2.35,2.94,3.53,3.97,5.30,6.28,0.60
