# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,1.433528425336593193e-01,6.683728410003182685e-02,5.031329341317365006e-02,1.433528425336593193e-01,6.683728410003182685e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.999664435077856572e-02,2.886872923863060825e-01,1.342404326817339122e-01,5.030434701831434235e-02,1.474088990818901157e-01,6.872319969447840404e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.968382744347494412e-02,4.359788618525809456e-01,2.021978577337883998e-01,5.027139069520356052e-02,1.623751848096249839e-01,7.567954994622673459e-02
5.235987755982988295e-02,9.863636363636362603e+01,4.937501065164180691e-02,5.852251601306258655e-01,2.706994725721967865e-01,5.021616554049223441e-02,1.875421044772153933e-01,8.736864026253633730e-02
6.981317007977318190e-02,9.818181818181817277e+01,4.907037146937243133e-02,7.364089808994264130e-01,3.397339142017664071e-01,5.014041265083117593e-02,2.222443212647596533e-01,1.034691176777489952e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.877008659419793807e-02,8.894454332167566202e-01,4.092846601813197038e-01,5.004587312287121781e-02,2.658492441837461695e-01,1.236717842749813084e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.847432824058162115e-02,1.044333852442933530e+00,4.793380222127732737e-01,4.993428805326320663e-02,3.177467746474105237e-01,1.476758110036552607e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.818326413991894791e-02,1.201106127352136621e+00,5.498834192639879825e-01,4.980739853865797512e-02,3.773400425745277453e-01,1.751852197505356090e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.789705754053755898e-02,1.359745949592982228e+00,6.209096222805010612e-01,4.966694567570639068e-02,4.440369044246104679e-01,2.059055369048919948e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.761586720769726833e-02,1.520225803419203103e+00,6.924045886009048134e-01,4.951467056105929299e-02,5.172422933277777135e-01,2.395408863573414426e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.733984795838799831e-02,1.682515227022358228e+00,7.643557033285000024e-01,4.935231429136749393e-02,5.963508974357700776e-01,2.757916798376806589e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.706916092205285646e-02,1.846580211206281241e+00,8.367498887454342116e-01,4.918161796328189561e-02,6.807342835328555886e-01,3.143509246998505424e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.680398278180854937e-02,2.012399465179033786e+00,9.095740633022936228e-01,4.900432267345327525e-02,7.697207924647468946e-01,3.549007260713750722e-01
2.268928027592628516e-01,9.409090909090909349e+01,4.654450290225171927e-02,2.179971153249782301e+00,9.828152827537869340e-01,4.882216951853253495e-02,8.626059793670590725e-01,3.971104800420013903e-01
2.443460952792061436e-01,9.363636363636364024e+01,4.629091052507482151e-02,2.349282734175408560e+00,1.056460740197251447e+00,4.863689959517046579e-02,9.586654789332699211e-01,4.406348340922012774e-01
2.617993877991494078e-01,9.318181818181817277e+01,4.604338761099054794e-02,2.520317512355762624e+00,1.130497766072652732e+00,4.845025400001798377e-02,1.057133076369768165e+00,4.851111014815749356e-01
2.792526803190927276e-01,9.272727272727271952e+01,4.580209325397845838e-02,2.693059085239195127e+00,1.204913828162584633e+00,4.826397382972585914e-02,1.157185902944129374e+00,5.301561665498886189e-01
2.967059728390360474e-01,9.227272727272726627e+01,4.556707849761843648e-02,2.867487007551698941e+00,1.279696425067793131e+00,4.807980018094494545e-02,1.257926335657131522e+00,5.753638247752788093e-01
3.141592653589793116e-01,9.181818181818181301e+01,4.533819700183287088e-02,3.043565852215205592e+00,1.354832756723124865e+00,4.789938242959296266e-02,1.358438606300140128e+00,6.203257414688972959e-01
3.316125578789225758e-01,9.136363636363635976e+01,4.511510918229542921e-02,3.221268238727844846e+00,1.430310004328483098e+00,4.772308747985863631e-02,1.458473665970663635e+00,6.649350281411923191e-01
3.490658503988658956e-01,9.090909090909090651e+01,4.489743511282458938e-02,3.400570947133123134e+00,1.506115426962684634e+00,4.755033905577509684e-02,1.558314963496826300e+00,7.093225366261158849e-01
3.665191429188092154e-01,9.045454545454545325e+01,4.468486124161960560e-02,3.581473891304226331e+00,1.582236361583459150e+00,4.738053903395017530e-02,1.658281220100311426e+00,7.536333403335467862e-01
3.839724354387524796e-01,9.000000000000000000e+01,4.447709581388484962e-02,3.764003845218134359e+00,1.658660223027450753e+00,4.721308929099159168e-02,1.758716728151054287e+00,7.980222308292952427e-01
4.014257279586957439e-01,8.954545454545454675e+01,4.427386317856824016e-02,3.948197180399340755e+00,1.735374504010217089e+00,4.704739170350720479e-02,1.859997139375648700e+00,8.426551512138650279e-01
4.188790204786390636e-01,8.909090909090909349e+01,4.407491014270768087e-02,4.134074266493286132e+00,1.812366775126229124e+00,4.688284814810472767e-02,1.962531529989359536e+00,8.877095856155750031e-01
4.363323129985823834e-01,8.863636363636364024e+01,4.388000264161753816e-02,4.321578112678502670e+00,1.889624684848871805e+00,4.671886050139198443e-02,2.066769096787627547e+00,9.333763954335990709e-01
4.537856055185257032e-01,8.818181818181817277e+01,4.368892245661547963e-02,4.510627258484969815e+00,1.967135949077181811e+00,4.655483063997676446e-02,2.173195199903415809e+00,9.798605321585548422e-01
4.712388980384689674e-01,8.772727272727271952e+01,4.350146597679883931e-02,4.701195284233984140e+00,2.044888252028901565e+00,4.639016461617423426e-02,2.282331467693748284e+00,1.027381391239597486e+00
4.886921905584122872e-01,8.727272727272726627e+01,4.331744328752366174e-02,4.893343788295293706e+00,2.122869191549246359e+00,4.622480638343461068e-02,2.394379484205906738e+00,1.076016791301507070e+00
5.061454830783556069e-01,8.681818181818181301e+01,4.313667686291497438e-02,5.087124468292268276e+00,2.201066278537396226e+00,4.605976261207796879e-02,2.508815691644509904e+00,1.125530067408814894e+00
5.235987755982988157e-01,8.636363636363635976e+01,4.295900021532657320e-02,5.282521710288457406e+00,2.279466903171809111e+00,4.589616462674245972e-02,2.624974597124500875e+00,1.175626266843482037e+00
5.410520681182421354e-01,8.590909090909090651e+01,4.278425727702175191e-02,5.479498921374974074e+00,2.358058142892842213e+00,4.573514375206619992e-02,2.742109500836091396e+00,1.225979301763564511e+00
5.585053606381854552e-01,8.545454545454545325e+01,4.261230107450687116e-02,5.678026659048525993e+00,2.436826694635895407e+00,4.557783131268730581e-02,2.859367478758445547e+00,1.276223171695604508e+00
5.759586531581287749e-01,8.500000000000000000e+01,4.244299344424002501e-02,5.877999717989715656e+00,2.515759070507629147e+00,4.542535863324394241e-02,2.975775831472430522e+00,1.325946905903970574e+00
