# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.001265512703143012e-02,1.515227591418492892e-01,6.665969160468741828e-02,5.031329341317365006e-02,-5.944663581100248833e-06,-2.604045440831919395e-06
1.745329251994329547e-02,9.954337899543378398e+01,4.971464325272679369e-02,3.015497387573743415e-01,1.332386891171996601e-01,5.030424979726789980e-02,4.554911152532291514e-03,1.995523937154983739e-03
3.490658503988659095e-02,9.908675799086756797e+01,4.941928450111201382e-02,4.500425383617316366e-01,1.997364035282952199e-01,5.027098456719000102e-02,2.132969022834995884e-02,9.349034914448023370e-03
5.235987755982988295e-02,9.863013698630136616e+01,4.912660607920303624e-02,5.969231247393897988e-01,2.661542942419520830e-01,5.021526277489678225e-02,4.942363464304220383e-02,2.168009223593885676e-02
6.981317007977318190e-02,9.817351598173515015e+01,4.883663749836255480e-02,7.421089871126665960e-01,3.324958690753681001e-01,5.013884947234513445e-02,8.793973027988001567e-02,3.861756078251731700e-02
8.726646259971647390e-02,9.771689497716894834e+01,4.854940944417401871e-02,8.857816476533746375e-01,3.987666842589608907e-01,5.004350971149195554e-02,1.359795548854354219e-01,5.979520811800747432e-02
1.047197551196597659e-01,9.726027397260273233e+01,4.826495326054508483e-02,1.027931289598868592e+00,4.649743444363676481e-01,4.993100854429406016e-02,1.926437436375347256e-01,8.485006760549487770e-02
1.221730476396030718e-01,9.680365296803653052e+01,4.798330094706642485e-02,1.168845709595861315e+00,5.311285026644453344e-01,4.980311102270836704e-02,2.570319443660208925e-01,1.134209173207185034e-01
1.396263401595463638e-01,9.634703196347031451e+01,4.770448515901173220e-02,1.308588377832487382e+00,5.972408604132706245e-01,4.966158219869172552e-02,3.282422361784256837e-01,1.451468422768598665e-01
1.570796326794896558e-01,9.589041095890409849e+01,4.742853911001587014e-02,1.447442225027501195e+00,6.633251675661397950e-01,4.950818712420099882e-02,4.053700943392598566e-01,1.796658598991847378e-01
1.745329251994329478e-01,9.543378995433789669e+01,4.715549608118608377e-02,1.586499199755264211e+00,7.293972224195690579e-01,4.934469085119310566e-02,4.875069707465751190e-01,2.166136134399526680e-01
1.919862177193762398e-01,9.497716894977168067e+01,4.688538891737441261e-02,1.737616731589004759e+00,7.954748716832941158e-01,4.917285843162488151e-02,5.737344180724139875e-01,2.556225320776331911e-01
2.094395102393195318e-01,9.452054794520547887e+01,4.661824992557628972e-02,1.890788331851307236e+00,8.615780104802706063e-01,4.899445491745319653e-02,6.631235292924506641e-01,2.963208917698249012e-01
2.268928027592628516e-01,9.406392694063926285e+01,4.635411087493052779e-02,2.045747201410358596e+00,9.277285130951816727e-01,4.881124536063491393e-02,7.548142785808391597e-01,3.383317409661577568e-01
2.443460952792061436e-01,9.360730593607306105e+01,4.609300299671931223e-02,2.202521790728873885e+00,9.939489904039713331e-01,4.862499481312694549e-02,8.479881975493761548e-01,3.812718497383382199e-01
2.617993877991494078e-01,9.315068493150684503e+01,4.583495698436821503e-02,2.361518044005284533e+00,1.060261715420528938e+00,4.843746832688614751e-02,9.417242577963170769e-01,4.247508844457146271e-01
2.792526803190927276e-01,9.269406392694062902e+01,4.558000299344618089e-02,2.522459183664028881e+00,1.126688587891523374e+00,4.825043095386937625e-02,1.035191585004084924e+00,4.683704412905401182e-01
2.967059728390360474e-01,9.223744292237442721e+01,4.532817064166554111e-02,2.685897444167746340e+00,1.193251134296405169e+00,4.806564774603350881e-02,1.127632098139456751e+00,5.117231564033402069e-01
3.141592653589793116e-01,9.178082191780821120e+01,4.507948904310561666e-02,2.851841040635595625e+00,1.259970507847404608e+00,4.788475030534902754e-02,1.218174280605924142e+00,5.544236309892207615e-01
3.316125578789225758e-01,9.132420091324200939e+01,4.483398768745953944e-02,3.020223814604758417e+00,1.326867494621116528e+00,4.770797476300282780e-02,1.306833764833074119e+00,5.964094066436247399e-01
