# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,3.84,63.47,66.78,14.84,71.58
1.00,4.62,62.10,99.99,18.91,41.07
2.00,5.64,40.18,85.21,24.93,39.96
3.00,4.44,38.81,58.89,24.99,67.33
4.00,3.24,61.19,50.63,12.57,83.16
5.00,6.02,18.26,79.15,-2.57,45.22
6.00,6.35,55.25,97.80,12.66,30.18
7.00,3.49,49.32,50.00,19.66,79.00
8.00,5.88,55.25,53.97,5.28,66.63
9.00,6.02,18.26,79.15,-2.57,45.22
10.00,3.39,54.34,56.58,23.57,81.36
11.00,4.02,63.47,84.62,16.65,55.55
12.00,5.60,56.16,50.55,5.62,71.29
13.00,5.73,57.99,71.85,10.12,56.31
14.00,3.62,56.62,55.37,16.96,78.24
15.00,3.92,62.56,78.53,15.92,59.98
16.00,4.55,45.21,65.80,24.09,63.54
17.00,4.68,60.27,95.21,19.25,44.36
18.00,4.96,49.77,85.88,22.26,46.20
19.00,4.50,43.84,61.40,19.55,62.03
20.00,3.54,50.23,54.52,22.09,77.83
21.00,5.75,51.14,87.03,17.06,41.23
22.00,3.45,60.27,54.86,14.61,80.06
23.00,4.85,54.79,50.78,6.83,70.89
24.00,5.51,51.14,54.73,8.80,65.26
25.00,5.37,42.01,77.32,24.56,49.30
26.00,6.10,46.58,94.22,21.09,33.51
27.00,4.65,60.73,51.85,7.71,76.63
28.00,3.49,59.82,53.17,15.39,82.07
29.00,6.07,46.58,75.44,15.46,46.66
30.00,5.12,48.40,83.87,22.74,47.33
31.00,4.72,57.53,98.74,18.71,37.55
32.00,5.37,53.88,61.60,14.27,66.60
33.00,5.07,48.40,84.90,22.97,46.53
34.00,5.46,49.77,86.38,20.61,44.06
35.00,3.79,58.90,60.83,14.74,72.86
36.00,4.69,48.86,69.82,20.75,59.84
37.00,5.26,58.90,61.89,7.61,64.67
38.00,6.29,51.60,82.08,12.22,41.79
39.00,5.71,44.29,73.81,17.80,48.33
40.00,4.32,48.86,55.94,19.35,72.31
41.00,4.55,46.58,59.99,13.69,60.32
42.00,5.40,42.01,75.85,24.36,50.58
43.00,4.74,47.49,78.71,22.37,51.19
44.00,5.14,44.29,75.61,23.09,51.83
45.00,3.55,53.42,52.02,14.62,76.06
46.00,5.72,41.10,87.67,24.03,37.52
47.00,6.34,55.71,96.46,12.81,32.12
48.00,4.15,59.36,83.53,18.93,54.81
49.00,4.72,57.08,81.79,19.14,54.47
50.00,5.98,53.42,74.92,12.22,50.79
51.00,4.77,57.53,54.58,9.82,72.81
52.00,5.10,47.49,86.79,22.86,43.61
53.00,6.24,41.55,85.96,23.46,39.11
54.00,3.51,53.88,50.82,14.87,77.96
55.00,4.40,38.81,58.25,23.23,66.21
56.00,4.23,62.10,90.70,19.93,51.38
57.00,3.92,55.71,68.62,17.82,64.95
58.00,6.34,45.66,57.13,10.71,59.31
59.00,3.71,53.42,62.60,17.49,68.35
60.00,4.62,52.51,79.85,20.47,53.17
61.00,5.86,46.12,92.60,19.43,33.01
62.00,4.76,61.19,100.37,19.87,41.47
63.00,4.28,61.64,86.99,17.54,52.23
64.00,4.78,49.32,80.96,21.45,49.86
65.00,4.88,54.79,52.10,6.86,69.61
66.00,4.86,43.84,59.55,18.96,63.29
67.00,4.43,39.73,56.78,21.99,65.52
68.00,5.04,43.38,68.47,21.50,56.45
69.00,5.27,54.34,58.97,12.13,67.54
70.00,5.70,43.38,69.36,22.56,56.64
71.00,5.84,46.12,81.14,20.71,45.74
72.00,5.75,56.16,62.15,6.42,60.49
73.00,4.35,38.36,55.23,21.46,67.92
74.00,5.82,44.75,90.61,23.66,37.86
75.00,3.95,56.62,69.55,18.51,65.62
76.00,4.52,52.05,71.07,20.37,61.40
77.00,6.19,57.08,91.69,9.14,34.59
78.00,5.18,59.82,64.32,8.47,64.02
79.00,3.79,52.97,58.61,21.19,75.59
80.00,4.56,51.60,71.97,19.78,59.45
81.00,5.20,50.68,60.37,14.32,64.69
82.00,4.35,50.68,57.77,18.91,71.86
83.00,5.65,57.53,81.45,11.81,47.95
84.00,4.29,44.75,58.01,20.35,67.13
85.00,4.10,55.25,64.48,18.19,69.00
86.00,5.89,45.66,92.27,19.55,33.00
87.00,5.29,54.34,56.78,10.46,68.08
88.00,4.90,49.32,67.61,14.92,56.68
89.00,5.34,52.05,76.37,17.28,53.02
90.00,5.54,59.36,75.09,9.11,53.44
91.00,5.18,47.03,72.83,22.92,57.18
92.00,5.94,47.49,89.19,18.09,36.45
93.00,6.28,47.03,56.95,10.86,61.00
94.00,4.48,45.21,64.20,23.77,64.83
95.00,6.20,42.92,91.66,23.36,34.69
96.00,4.56,59.36,102.10,20.58,42.09
97.00,3.86,62.56,81.36,17.30,58.54
98.00,3.44,52.05,59.13,24.64,77.60
99.00,4.45,60.73,96.30,18.73,43.21
100.00,3.65,59.82,54.41,14.44,79.88
101.00,5.02,42.92,69.82,23.90,57.05
102.00,4.65,47.95,68.97,20.03,59.05
103.00,5.20,54.79,59.40,7.38,62.83
104.00,5.21,56.16,62.77,11.34,64.79
105.00,6.03,41.55,63.27,21.82,60.16
106.00,3.89,60.27,66.67,16.32,69.96
107.00,4.67,59.82,90.81,18.36,47.41
108.00,6.26,56.62,74.35,8.84,51.17
109.00,5.89,57.53,96.93,12.41,33.07
110.00,3.77,51.60,53.18,15.97,74.43
111.00,6.22,42.47,93.31,24.46,33.68
112.00,4.57,49.77,74.06,23.14,58.90
113.00,5.48,59.36,66.89,8.69,61.22
114.00,5.06,47.95,83.56,22.74,47.17
115.00,5.31,56.16,58.06,7.16,65.31
116.00,6.06,40.64,67.12,19.65,53.23
117.00,5.96,39.27,66.06,23.71,58.44
118.00,3.84,52.51,51.41,15.17,76.31
119.00,4.44,58.45,74.53,18.59,62.55
120.00,5.02,58.45,70.16,16.58,64.92
121.00,4.53,39.27,56.25,21.66,66.19
122.00,4.21,62.10,89.44,19.89,52.59
123.00,6.16,51.14,76.59,11.51,46.13
124.00,4.17,52.97,69.89,21.51,64.64
125.00,6.22,42.47,93.34,24.47,33.66
126.00,5.91,56.16,71.32,9.66,54.56
127.00,5.25,56.16,52.91,6.18,69.48
128.00,4.51,61.19,99.30,18.15,40.09
129.00,6.05,57.08,85.07,10.04,42.11
130.00,5.64,52.97,58.30,12.82,67.54
131.00,6.30,55.71,88.66,11.95,39.07
132.00,5.57,57.53,70.38,10.95,58.15
133.00,3.42,59.82,52.29,15.73,83.28
134.00,3.57,53.88,52.56,15.55,76.90
135.00,5.17,61.19,64.73,9.38,65.89
136.00,4.73,57.08,82.49,19.12,53.75
137.00,5.82,58.90,73.02,9.66,55.60
138.00,3.95,50.23,55.94,17.52,71.84
139.00,5.59,56.62,72.45,13.62,57.84
140.00,5.92,57.08,68.88,7.91,56.17
141.00,3.67,53.88,51.32,14.05,76.65
142.00,5.14,55.71,51.58,5.86,70.04
143.00,4.05,52.05,63.19,18.41,67.32
144.00,4.92,47.95,83.10,24.79,49.68
145.00,4.52,45.66,63.93,23.29,65.06
146.00,6.20,57.08,102.77,13.18,33.09
147.00,5.17,62.10,67.97,12.92,67.11
