# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0,4.18,35.91,175.41,23.17,51.21
1,6.34,31.82,176.9,15.05,38.9
2,4.57,37.27,202.2,22.75,29.76
3,4.76,32.27,199.96,24.95,25.26
4,4.7,35.91,175,19.97,48.42
5,5.44,36.36,200,19.43,23.35
6,6.33,31.82,175.63,14.98,40.1
7,5.77,33.18,189.69,17.3,28.34
8,4.31,36.82,179.94,22.11,46.53
9,5.03,34.55,179.87,19.22,41.45
10,4.6,34.09,178.83,21.23,44.04
11,4.91,36.82,183.11,20.58,41.83
12,4.51,37.27,187.39,21.47,38.9
13,4.72,35.45,201.82,24.62,29.44
14,6.04,30.91,177.69,15.86,39.82
15,4.96,35,188.11,19.91,34.36
16,4.26,36.36,184.06,24.62,44.47
17,4.75,35,191.66,20.98,31.87
18,5.91,32.27,192.03,17.02,25.27
19,6.12,31.82,198.97,17.25,19.02
20,4.33,35.91,188.47,23.15,38.14
21,4.99,34.55,197.99,20.72,24.82
22,5.34,31.36,188.48,18.93,31.64
23,4.39,35.45,186.58,23.24,39.65
24,4.95,33.64,200.01,22.72,23.91
25,6.06,31.36,189.27,16.62,28.55
26,5.86,32.27,179.5,16.16,36.94
27,5.05,34.55,180.85,19.26,40.5
28,4.98,35.45,191.77,20.2,31.43
29,5.17,33.64,195.38,20.28,26.09
30,4.24,36.36,180.67,24.13,47.37
31,5.46,31.36,185.28,18.01,33.93
32,6.29,32.27,185.82,15.72,30.19
33,5.11,33.64,197.99,20.8,23.99
34,6.15,30.91,177.22,15.52,39.95
35,4.74,35.45,195.75,23.34,30.59
36,5.41,31.82,193.43,19.55,26.86
37,6.09,32.73,190.23,16.32,26.38
38,6.22,30.91,178.12,15.36,38.89
39,6.32,31.36,176.95,15.01,39.26
40,6.27,31.82,177.58,15.53,38.7
41,6,32.27,201.71,18.1,20.1
42,5.97,31.82,194.03,17.13,23.84
43,4.56,33.18,176.09,21.52,46.16
44,4.44,35.91,196.4,24.49,31.55
45,6.23,31.36,191.99,16.42,25.62
46,5.5,31.82,194.87,18.49,24.36
47,6.17,30.91,181.5,15.68,35.83
48,5.02,32.27,186.06,19.98,34.2
49,5.58,32.27,175.59,16.86,41.55
50,4.38,35.45,189.15,24.42,38.27
51,4.93,35.91,193.21,20.37,30.61
52,4.62,34.09,180.34,21.2,42.5
53,5.5,32.73,185.35,17.93,32.86
54,4.25,36.36,182.46,23.99,45.43
55,6.32,31.82,182.83,15.46,33.38
56,5.84,31.36,199.08,18.21,20.32
57,4.45,37.27,191.47,22.29,35.63
58,4.66,33.64,186.71,21.75,36.22
59,4.27,36.36,183.76,23.77,43.91
60,5.8,31.82,179.33,16.23,37.64
61,6.08,31.82,183.58,16,33.16
62,5.38,32.73,197.74,19.63,22.17
63,5.3,32.27,181.48,18.57,37.37
64,5.79,31.36,175.28,15.95,41.87
65,5.72,32.27,178.32,16.44,38.41
66,4.49,37.27,177.32,20.9,48.39
67,4.54,36.36,198.98,23.07,28
68,6.23,30.91,178.62,15.35,38.38
69,5.13,32.73,192.24,20.42,28.45
70,6.02,31.82,188.82,16.68,28.6
71,5.26,31.82,187.24,19.48,32.97
72,6.19,32.27,199.32,16.93,17.91
73,5.83,31.82,180.18,16.28,36.84
74,4.75,32.73,202.09,23.5,25.86
75,5.29,32.27,185.11,18.89,34.06
76,5.91,33.64,201.37,17.57,20.13
77,5.4,33.64,185.94,18.49,33.74
78,5.73,31.82,180.33,16.74,37.15
79,5.55,32.73,184.55,17.84,33.56
80,5.61,32.27,187.66,17.71,30.34
81,4.89,36.36,195.05,20.72,29.58
82,5.09,32.73,191.13,20.5,29.65
83,4.74,35.91,186.4,21.07,38.13
84,5.71,34.09,193.91,17.86,25.6
85,4.25,36.36,183.36,24.7,45.25
86,4.35,36.36,185.59,22.89,41.21
87,5.33,32.27,191.26,19.3,28.32
88,4.63,34.55,186.36,23.41,39.14
89,5.89,31.82,178.41,16.04,38.37
90,6.05,31.82,182.23,15.94,34.45
91,5.07,37.27,192.49,19.7,32.03
92,4.99,34.55,199.57,21.17,23.69
93,5.28,32.27,184.97,18.85,34.15
94,5.68,34.55,199.35,20.13,22.88
95,4.78,33.18,192.57,21.62,29.78
96,4.37,35.91,191.56,23.65,35.55
97,5.53,33.64,181.82,17.51,36.88
98,4.8,33.64,196.81,21.88,26.25
99,4.36,37.27,183.49,22.44,43.77
100,4.4,36.82,192.19,23.24,35.41
101,5.56,31.82,186.97,18.02,31.79
102,5.77,31.36,198.84,18.39,20.74
103,4.84,32.27,202.44,23.16,25.88
104,5.63,30.91,199.25,18.81,21.2
105,5.26,34.09,192.71,19.37,28.31
106,4.49,37.27,196.62,22.61,30.81
107,4.5,37.27,193.42,21.94,33.34
108,5.32,34.55,197.33,19.34,24.11
109,5,34.55,197.19,20.6,25.5
110,4.22,36.36,178.02,22.84,48.72
111,5.6,32.73,194.62,18.33,23.99
112,5.67,32.27,188.64,17.65,29.29
113,5.75,32.27,186.46,17.26,31.08
114,6.33,31.82,177.85,15.16,38.06
115,4.38,36.82,181.22,21.43,44.57
116,5.94,32.73,190.01,16.75,27.02
117,4.81,33.18,195.95,21.68,26.46
118,4.81,36.82,182,20.07,42.44
119,6.11,31.36,178.56,15.6,38.23
120,4.42,37.27,184.37,22.34,42.78
121,5.81,32.73,193.85,17.45,23.89
122,4.32,36.36,182.07,23.17,45.01
123,5.21,33.64,196.09,20.73,25.82
124,5.36,31.82,195.87,19.92,24.78
125,4.45,37.27,189.84,22.06,37.04
126,4.86,37.27,188.2,20.54,37.16
127,4.87,34.09,195.3,21.45,27.79
128,4.57,33.18,176.32,21.51,45.92
129,4.92,35.45,187.15,20.55,36.41
130,4.28,35.91,184.55,23.73,42.63
131,4.64,33.18,175.97,21.19,45.95
132,5.16,34.55,178.78,18.43,41.75
133,4.72,35.45,193.71,23.02,32.31
134,5.94,31.82,184.92,16.49,32.31
135,6.02,31.82,194.32,17.11,23.53
136,4.74,32.27,197.03,24.53,27.77
137,5.87,31.36,199.83,18.14,19.5
138,5.26,31.82,194.17,19.85,26.41
139,5.52,31.82,196.5,18.96,23.19
140,4.49,37.27,196,22.52,31.34
141,5.84,31.82,176.24,16.2,40.7
142,4.35,35.91,190.92,23.88,36.42
143,4.83,34.09,194.95,21.28,27.97
144,4.72,32.27,197.08,24.8,27.99
145,4.63,34.55,188.01,23.61,37.7
146,5.69,32.27,193.28,18.3,25.3
147,4.2,35.91,176.64,23.75,50.56
148,5.55,31.82,175.01,16.93,42.65
149,4.26,36.36,184.24,24.79,44.45
150,6.26,31.36,194.46,16.49,23.23
151,5.1,35.45,186.5,19.51,36.02
152,5.59,33.18,196.9,18.67,22.5
153,4.78,36.82,181.24,20.02,43.14
154,5.08,37.27,192.83,19.79,31.78
155,5.53,33.64,181.66,17.47,37
156,5.96,32.27,190.42,16.79,26.66
157,4.47,36.82,197.1,23.44,30.7
158,5.93,32.27,194.36,17.16,23.08
159,5.2,34.55,188.93,19.19,32.36
160,5.65,33.64,190.37,17.62,28.43
161,5.21,35.91,185.76,18.37,36.07
162,5.31,32.27,181.57,18.61,37.32
163,6.11,31.82,196.51,16.98,21.21
164,4.29,36.36,187.81,24.73,40.83
165,4.3,36.36,187.8,24.27,40.38
166,4.8,32.27,198.85,24.33,25.75
167,6.14,32.27,178.88,15.56,36.97
168,5.22,34.09,194.73,19.39,26.3
169,5.37,34.55,193.71,19.03,27.42
170,5.9,30.45,187.49,17.05,31.66
171,4.47,37.27,193.88,22.96,33.9
172,5.64,33.64,191.67,17.8,27.32
173,4.94,33.64,201.62,22.77,25.57
174,6.34,31.82,179,15.23,36.98
175,5.94,31.82,192.37,17.06,25.43
176,5.63,30.91,198.42,18.71,21.94
177,4.35,35.45,188.93,24.19,38.26
178,6.32,31.36,179.14,15.19,37.25
179,4.25,36.82,182.59,23.87,45.64
180,6.34,31.36,178.98,15.09,37.31
181,4.3,36.82,178.44,21.99,47.91
