# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,1.10,1.13,0.47,0.16,0.46,1.48,0.08,0.05,0.00,1.56,2.01,2.37,3.43,3.93,5.36,5.63,0.50
1.00,1.21,1.14,0.43,0.15,0.48,1.50,0.08,0.06,0.00,1.45,2.01,2.39,3.39,3.93,5.40,5.56,1.02
2.00,1.21,1.02,0.48,0.15,0.37,1.42,0.08,0.07,0.04,1.52,1.79,2.39,3.40,3.96,5.41,5.62,1.04
3.00,1.20,1.13,0.42,0.15,0.38,1.48,0.07,0.08,0.00,1.45,1.91,2.37,3.40,3.93,5.42,5.59,0.29
4.00,1.15,1.21,0.42,0.15,0.34,1.50,0.08,0.08,0.00,1.50,1.85,2.37,3.45,3.95,5.47,5.62,0.67
5.00,0.91,1.14,0.43,0.14,0.35,1.48,0.08,0.07,0.00,1.46,1.91,2.41,3.40,3.94,5.42,5.67,1.06
6.00,1.22,1.13,0.42,0.15,0.38,1.48,0.08,0.08,0.00,1.47,1.89,2.38,3.40,3.93,5.37,5.62,0.75
7.00,1.21,1.13,0.43,0.15,0.37,1.48,0.10,0.06,0.00,1.46,2.04,2.37,3.40,3.93,5.40,5.59,1.00
8.00,1.08,1.14,0.43,0.16,0.34,1.47,0.08,0.08,0.00,1.42,1.84,2.36,3.40,3.93,5.45,5.60,0.75
9.00,1.16,1.14,0.42,0.16,0.37,1.48,0.07,0.06,0.00,1.51,1.90,2.39,3.40,3.94,5.34,5.59,1.09
10.00,1.13,1.14,0.43,0.15,0.35,1.42,0.08,0.07,0.00,1.42,1.91,2.38,3.42,3.96,5.38,5.61,1.03
11.00,1.15,1.14,0.42,0.14,0.37,1.49,0.08,0.08,0.00,1.47,1.84,2.36,3.44,3.94,5.48,5.61,0.65
12.00,1.15,1.22,0.43,0.14,0.34,1.49,0.08,0.08,0.01,1.39,1.83,2.37,3.39,3.94,5.48,5.58,0.65
13.00,1.21,1.13,0.43,0.16,0.34,1.50,0.07,0.08,0.00,1.51,1.84,2.40,3.40,3.93,5.39,5.62,0.83
14.00,1.07,1.14,0.43,0.15,0.35,1.49,0.08,0.08,0.00,1.46,1.91,2.38,3.40,3.94,5.38,5.61,1.03
15.00,1.08,1.13,0.43,0.16,0.34,1.47,0.08,0.08,0.00,1.42,1.84,2.36,3.40,3.93,5.45,5.58,0.75
16.00,1.21,1.13,0.44,0.15,0.34,1.48,0.07,0.08,0.00,1.47,1.84,2.40,3.40,3.93,5.42,5.59,0.83
17.00,1.09,1.14,0.43,0.15,0.37,1.50,0.07,0.08,0.00,1.39,1.91,2.37,3.40,3.93,5.41,5.59,0.30
18.00,1.25,1.14,0.43,0.14,0.38,1.50,0.08,0.06,0.00,1.48,1.89,2.36,3.40,3.93,5.37,5.58,0.29
19.00,1.20,1.25,0.43,0.14,0.34,1.48,0.08,0.08,0.00,1.39,1.83,2.37,3.39,3.94,5.47,5.56,0.63
20.00,1.29,1.24,0.35,0.14,0.38,1.47,0.08,0.06,0.00,1.45,1.99,2.38,3.40,3.93,5.36,5.59,0.25
21.00,1.28,1.14,0.43,0.15,0.37,1.46,0.07,0.07,0.00,1.48,1.98,2.36,3.40,3.93,5.40,5.58,0.70
22.00,1.29,1.14,0.43,0.15,0.34,1.49,0.07,0.07,0.07,1.47,1.90,2.37,3.43,3.95,5.40,5.62,0.31
23.00,1.15,1.14,0.42,0.17,0.29,1.47,0.08,0.08,0.00,1.46,1.83,2.40,3.39,3.97,5.47,5.62,0.66
24.00,1.10,1.13,0.49,0.15,0.45,1.50,0.08,0.05,0.00,1.56,2.01,2.37,3.40,3.93,5.36,5.63,0.49
25.00,1.17,1.13,0.42,0.15,0.38,1.50,0.08,0.06,0.00,1.51,2.04,2.39,3.39,3.93,5.40,5.56,1.02
26.00,1.28,1.24,0.43,0.15,0.35,1.50,0.07,0.07,0.07,1.46,1.90,2.36,3.40,3.95,5.40,5.63,0.33
27.00,1.16,1.13,0.42,0.15,0.38,1.50,0.08,0.07,0.00,1.45,1.96,2.38,3.40,3.93,5.40,5.58,0.34
