# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,1.48,0.17,0.21,0.17,0.30,1.48,0.93,0.35,0.67,0.90,1.71,2.73,3.17,3.93,5.42,5.65,1.29
1.00,1.38,1.42,0.28,0.09,0.27,1.49,1.43,1.46,0.74,0.90,1.74,2.88,3.15,3.96,5.37,5.90,1.46
2.00,1.39,1.22,0.27,0.10,0.32,1.49,1.43,1.49,0.76,0.82,1.74,2.80,3.14,3.93,5.42,5.91,1.20
3.00,1.48,1.14,0.18,0.11,0.32,1.50,1.31,0.59,0.74,0.84,1.68,2.53,3.20,3.93,5.37,5.74,1.26
4.00,1.36,0.25,0.33,0.10,0.37,1.48,1.25,1.02,0.65,0.86,1.74,2.85,3.18,3.93,5.41,5.73,1.27
5.00,1.43,0.16,0.20,0.15,0.27,1.47,0.99,0.38,0.76,0.90,1.71,2.54,3.22,3.93,5.38,5.90,1.21
6.00,1.39,0.22,0.28,0.15,0.27,1.50,1.43,1.45,0.70,0.90,1.74,2.88,3.16,3.93,5.27,5.70,1.29
7.00,1.49,0.24,0.21,0.15,0.24,1.50,0.90,0.26,0.77,0.90,1.75,2.55,3.16,3.93,5.41,5.87,1.26
8.00,1.48,0.20,0.21,0.15,0.27,1.49,1.29,0.27,0.78,0.85,1.71,2.63,3.20,3.93,5.42,5.88,1.20
9.00,1.48,0.17,0.20,0.15,0.30,1.50,1.38,0.79,0.73,0.90,1.68,2.54,3.19,3.93,5.39,5.75,1.26
10.00,1.43,0.16,0.20,0.14,0.28,1.47,0.86,0.38,0.74,0.87,1.74,2.58,3.20,3.93,5.42,5.90,1.21
11.00,1.37,1.08,0.21,0.15,0.32,1.49,1.40,0.30,0.74,0.83,1.58,2.77,3.19,3.93,5.26,5.87,0.46
12.00,1.48,0.19,0.32,0.14,0.27,1.49,0.97,0.54,0.75,0.90,1.65,2.92,3.20,3.93,5.42,5.83,1.20
13.00,1.49,0.19,0.21,0.14,0.31,1.50,0.96,0.71,0.71,0.90,1.77,2.78,3.16,3.93,5.41,5.62,1.25
14.00,1.50,0.14,0.21,0.16,0.35,1.50,0.71,0.29,0.76,0.84,1.57,2.72,3.20,3.93,5.39,5.70,1.17
15.00,1.43,0.16,0.21,0.15,0.27,1.50,0.90,0.38,0.76,0.88,1.71,2.54,3.16,3.93,5.38,5.90,1.25
16.00,1.43,1.24,0.14,0.10,0.28,1.50,0.94,0.34,0.77,0.82,2.24,2.86,3.22,3.93,5.28,5.90,1.37
17.00,1.39,1.22,0.27,0.10,0.32,1.48,1.43,1.49,0.75,0.82,1.74,2.84,3.14,3.93,5.42,5.91,1.27
18.00,1.49,0.91,0.21,0.09,0.40,1.49,1.40,1.46,0.74,0.90,1.69,2.58,3.19,3.93,5.42,5.72,1.26
19.00,1.49,0.96,0.21,0.09,0.40,1.49,0.90,1.46,0.67,0.90,1.69,2.58,3.15,3.93,5.46,5.72,1.26
20.00,1.49,0.96,0.21,0.15,0.35,1.50,1.43,0.34,0.70,0.90,1.74,2.82,3.19,3.93,5.36,5.85,1.33
21.00,1.43,0.20,0.20,0.14,0.28,1.47,0.99,0.38,0.74,0.82,1.71,2.57,3.20,3.93,5.42,5.90,1.14
22.00,1.50,0.19,0.14,0.12,0.28,1.49,0.97,0.58,0.73,0.82,2.25,2.84,3.15,3.93,5.40,5.87,1.18
23.00,1.47,0.95,0.32,0.10,0.31,1.50,0.92,0.28,0.75,0.82,1.71,2.85,3.20,3.93,5.30,5.72,1.26
24.00,1.43,0.16,0.21,0.14,0.31,1.47,0.86,0.32,0.76,0.90,1.74,2.62,3.22,3.99,5.42,5.90,1.21
25.00,1.48,1.28,0.31,0.09,0.30,1.50,1.48,1.50,0.74,0.81,1.71,2.85,3.15,3.94,5.41,5.89,1.64
26.00,1.49,0.14,0.19,0.15,0.34,1.47,0.94,0.37,0.77,0.84,1.69,2.58,3.20,3.93,5.38,5.89,1.08
27.00,1.40,1.11,0.14,0.10,0.39,1.49,1.35,0.51,0.74,0.86,2.23,2.50,3.31,3.95,5.43,5.88,1.09
28.00,1.49,0.17,0.20,0.15,0.30,1.48,0.78,0.53,0.67,0.90,1.71,2.58,3.20,3.93,5.39,5.70,1.20
29.00,1.49,1.09,0.21,0.15,0.35,1.50,0.90,0.34,0.71,0.90,1.75,2.87,3.19,3.93,5.41,5.85,0.71
30.00,1.49,0.28,0.20,0.14,0.32,1.50,0.91,0.60,0.68,0.84,1.68,2.77,3.20,3.93,5.41,5.65,1.27
31.00,1.48,1.14,0.28,0.10,0.33,1.49,0.79,0.40,0.74,0.81,1.68,2.85,3.14,3.93,5.26,5.71,1.13
32.00,1.39,1.48,0.33,0.09,0.27,1.49,0.86,0.35,0.70,0.90,1.74,2.88,3.14,3.93,5.28,5.91,1.29
33.00,1.48,0.15,0.12,0.12,0.24,1.49,1.43,1.33,0.75,0.82,2.33,2.67,3.20,3.93,5.40,5.64,1.18
34.00,1.49,0.17,0.20,0.15,0.27,1.50,1.00,0.27,0.77,0.90,1.71,2.54,3.21,3.93,5.38,5.90,1.21
35.00,1.48,0.17,0.20,0.15,0.30,1.50,1.38,0.40,0.73,0.90,1.68,2.54,3.19,3.93,5.41,5.76,1.26
36.00,1.49,1.22,0.13,0.10,0.26,1.45,0.95,0.49,0.78,0.82,2.25,2.85,3.15,3.93,5.43,5.72,1.27
37.00,1.48,1.14,0.28,0.10,0.32,1.49,1.33,1.39,0.75,0.81,1.68,2.85,3.14,3.93,5.26,5.88,1.13
38.00,1.48,0.20,0.21,0.14,0.30,1.50,1.35,0.67,0.77,0.90,1.69,2.78,3.17,3.93,5.39,5.63,1.26
39.00,1.50,1.22,0.14,0.10,0.28,1.50,0.94,0.34,0.77,0.82,2.24,2.85,3.17,3.93,5.30,5.88,1.37
40.00,1.48,1.14,0.18,0.11,0.32,1.50,1.31,0.59,0.74,0.84,1.68,2.53,3.20,3.93,5.37,5.89,1.14
41.00,1.49,1.24,0.13,0.12,0.28,1.50,0.86,0.34,0.72,0.82,2.24,2.82,3.21,3.93,5.30,5.88,1.37
42.00,1.41,1.14,0.14,0.11,0.30,1.50,0.89,0.40,0.76,0.82,2.29,2.82,3.17,3.93,5.39,5.74,1.26
43.00,1.36,1.24,0.20,0.09,0.30,1.50,0.92,0.67,0.78,0.81,1.71,2.55,3.15,3.93,5.49,5.64,1.20
44.00,1.48,1.22,0.14,0.10,0.30,1.50,0.93,0.34,0.78,0.82,2.20,2.85,3.20,3.93,5.30,5.88,1.25
45.00,1.45,0.96,0.21,0.14,0.27,1.49,1.29,0.28,0.77,0.88,1.71,2.88,3.20,3.95,5.37,5.88,1.20
46.00,1.49,0.21,0.30,0.14,0.30,1.49,0.86,0.37,0.77,0.90,1.68,2.85,3.14,3.93,5.29,5.74,1.19
47.00,1.35,0.15,0.29,0.15,0.27,1.47,1.43,0.49,0.72,0.80,1.70,2.58,3.22,3.93,5.37,5.79,1.33
48.00,1.48,1.28,0.32,0.10,0.30,1.50,0.88,0.48,0.75,0.82,1.68,2.85,3.20,3.93,5.31,5.88,1.26
49.00,1.50,1.17,0.31,0.10,0.33,1.50,1.42,1.42,0.68,0.90,1.74,2.84,3.18,3.93,5.31,5.61,1.19
50.00,1.50,1.22,0.13,0.12,0.28,1.50,0.86,0.52,0.72,0.82,2.22,2.82,3.21,3.93,5.30,5.88,1.37
51.00,1.50,1.24,0.32,0.10,0.27,1.50,0.92,0.53,0.77,0.87,1.71,2.83,3.15,3.93,5.34,5.82,1.26
52.00,1.49,1.22,0.32,0.10,0.28,1.50,0.93,0.30,0.76,0.90,1.68,2.83,3.17,3.93,5.43,5.90,1.32
53.00,1.50,0.19,0.12,0.12,0.32,1.49,1.41,1.31,0.70,0.82,2.31,2.68,3.19,3.93,5.40,5.87,1.18
