# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,5.58,34.55,87.53,7.83,22.40
1.00,5.59,36.82,89.07,7.92,23.22
2.00,6.14,34.09,89.10,7.36,19.90
3.00,4.22,33.64,89.55,10.07,21.69
4.00,6.08,32.27,100.00,9.22,9.51
5.00,6.30,31.36,100.09,8.47,9.76
6.00,4.42,32.73,99.43,11.60,12.44
7.00,5.47,35.45,95.36,8.43,16.07
8.00,4.36,33.18,96.56,11.43,15.59
9.00,5.54,35.00,88.53,7.93,21.96
10.00,5.42,35.91,97.09,8.62,15.00
11.00,4.34,31.82,90.48,10.05,20.30
12.00,5.54,32.73,95.08,8.49,13.69
13.00,4.75,36.36,91.66,8.86,21.11
14.00,6.15,34.09,89.37,7.38,19.67
15.00,4.30,30.91,90.09,10.31,21.85
16.00,5.18,31.36,97.21,8.98,12.95
17.00,4.59,34.55,90.62,8.70,20.17
18.00,4.91,36.36,88.21,8.38,24.07
19.00,6.10,35.00,94.39,7.81,15.98
20.00,4.85,35.91,99.21,9.08,13.33
21.00,5.30,35.45,91.22,8.32,20.11
22.00,4.75,36.82,95.42,9.05,18.00
23.00,4.56,32.27,98.72,10.80,12.35
24.00,4.41,32.27,102.29,11.03,13.59
25.00,4.53,32.73,99.37,11.33,12.23
26.00,4.44,32.27,101.16,11.15,12.58
27.00,4.43,34.09,99.42,10.63,12.85
28.00,4.24,30.91,87.74,9.82,23.72
29.00,4.27,32.73,88.75,10.36,21.89
30.00,6.21,31.82,92.30,7.46,15.91
31.00,4.52,33.18,98.68,10.91,12.96
32.00,4.43,32.27,100.05,11.57,11.90
33.00,5.03,32.73,93.92,9.09,15.45
34.00,5.73,33.64,95.64,8.32,13.86
35.00,4.83,32.27,97.32,9.57,12.53
36.00,4.43,34.09,89.80,9.16,20.99
37.00,4.86,33.18,87.63,8.26,21.36
38.00,5.51,33.18,90.87,7.94,17.81
39.00,4.95,36.36,89.40,8.40,22.91
40.00,4.39,32.27,92.80,9.80,17.27
41.00,5.56,31.36,96.06,8.49,13.63
42.00,4.71,33.18,90.54,9.19,19.38
43.00,5.85,31.82,96.84,8.32,12.23
44.00,5.67,32.73,89.38,7.98,18.88
45.00,5.16,34.55,90.36,8.17,19.90
46.00,5.95,35.45,91.33,7.61,19.29
47.00,5.71,32.27,94.89,8.46,13.85
48.00,5.25,32.73,87.87,8.13,20.54
49.00,4.44,35.45,97.13,10.24,16.12
50.00,6.13,34.55,97.76,8.01,12.36
51.00,6.27,31.82,100.45,8.44,9.64
52.00,6.16,34.55,98.64,8.07,11.54
53.00,5.11,31.82,90.79,8.36,18.30
54.00,6.29,32.27,100.89,7.74,8.92
55.00,4.32,34.09,93.64,10.32,18.32
56.00,4.53,34.55,100.01,11.13,13.24
57.00,4.75,32.27,92.02,9.44,17.69
58.00,4.90,33.64,93.60,9.25,16.83
59.00,6.14,32.73,88.11,7.53,19.71
60.00,5.97,35.00,93.55,7.73,16.74
61.00,4.60,31.36,97.88,9.87,13.17
62.00,5.06,32.73,87.60,8.53,21.21
63.00,5.07,34.55,93.36,8.92,17.66
64.00,5.64,34.09,89.21,7.94,20.37
65.00,4.28,31.82,89.00,10.61,22.33
66.00,5.75,33.18,92.61,7.70,15.83
67.00,5.62,32.73,92.53,8.11,15.86
68.00,4.83,34.55,97.59,9.03,13.53
69.00,4.97,34.55,92.86,8.61,17.85
70.00,6.03,35.00,95.92,7.85,14.49
