# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,7.683737195922611951e-01,9.586128528826677597e-02,5.031329341317365006e-02,7.683737195922611951e-01,9.586128528826677597e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.962744929760975338e-02,1.543241136994910390e+00,1.917968306489573616e-01,5.030434701831434235e-02,7.784251287527738095e-01,9.711029078760001487e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.894389962208737371e-02,2.324042289624464352e+00,2.878073934940740264e-01,5.027139069520356052e-02,8.154649722453679583e-01,1.017118543971487071e-01
5.235987755982988295e-02,9.863636363636362603e+01,4.826286258071513929e-02,3.110115080746013394e+00,3.838932139476494698e-01,5.021616554049223441e-02,8.775784243826549869e-01,1.094246198456217262e-01
6.981317007977318190e-02,9.818181818181817277e+01,4.758456684346369647e-02,3.900698868624995264e+00,4.800540148457470013e-01,5.014041265083117593e-02,9.628726267707329312e-01,1.200081790795988201e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.690925460973818101e-02,4.695009490497320748e+00,5.762890017364604711e-01,5.004587312287121781e-02,1.069469526969064388e+00,1.332228161094112240e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.623714685230774502e-02,5.492283519267854075e+00,6.725968628799144922e-01,4.993428805326320663e-02,1.195499257495179934e+00,1.488292738365699086e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.556848450156517072e-02,6.291751186054125533e+00,7.689757692482640516e-01,4.980739853865797512e-02,1.339094080884502658e+00,1.665885378856767074e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.490353735537978841e-02,7.092607326722923489e+00,8.654233745256945110e-01,4.966694567570639068e-02,1.498382926157961315e+00,1.862616331884576482e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.424255682947021012e-02,7.894013490309696124e+00,9.619368151084224383e-01,4.951467056105929299e-02,1.671486542957602461e+00,2.076094306311209725e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.358576719155488055e-02,8.695102520053151096e+00,1.058512710104694277e+00,4.935231429136749393e-02,1.856513300100731012e+00,2.303924624806313604e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.293338836473876985e-02,9.494936458887272224e+00,1.155147161334787453e+00,4.918161796328189561e-02,2.051555654190768241e+00,2.543707465522894173e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.228564849470318326e-02,1.029252389755797026e+01,1.251835753331009826e+00,4.900432267345327525e-02,2.254687310451463311e+00,2.793036201710623612e-01
2.268928027592628516e-01,9.409090909090909349e+01,4.164278408091898892e-02,1.108699052984897904e+01,1.348573553337699904e+00,4.882216951853253495e-02,2.463961097806363743e+00,3.049495877913881436e-01
2.443460952792061436e-01,9.363636363636364024e+01,4.100503997664661088e-02,1.187809400943469207e+01,1.445355111311226626e+00,4.863689959517046579e-02,2.677407607327196626e+00,3.310662020183585685e-01
2.617993877991494078e-01,9.318181818181817277e+01,4.037266730490290251e-02,1.266592009158025611e+01,1.542174459919989804e+00,4.845025400001798377e-02,2.893034422869013689e+00,3.574099351897060961e-01
