# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.02,45.00,95.18,4.96,14.84
1.00,5.95,45.00,91.40,4.80,18.46
2.00,6.34,43.64,99.52,5.87,10.05
3.00,6.09,44.55,100.00,7.66,12.27
4.00,5.65,44.09,87.50,5.36,22.00
5.00,5.53,44.55,87.58,6.29,23.31
6.00,6.24,43.64,97.22,5.27,11.74
7.00,5.55,44.55,88.46,5.92,22.07
8.00,6.09,44.09,97.29,5.28,12.14
9.00,5.96,44.09,100.01,7.15,11.31
10.00,6.06,44.55,100.00,7.01,11.62
11.00,5.89,43.64,99.88,6.62,10.43
12.00,6.29,44.09,99.96,5.53,9.72
13.00,5.57,44.55,88.62,6.39,22.38
14.00,6.12,44.55,100.01,6.24,10.85
15.00,5.86,43.64,99.28,6.49,10.91
16.00,5.85,44.55,94.09,5.11,15.63
17.00,5.72,44.09,94.32,5.79,15.62
18.00,5.92,44.55,93.42,5.06,16.25
19.00,5.79,44.55,99.52,6.50,11.59
20.00,5.78,45.00,87.56,4.88,22.37
21.00,5.73,44.55,89.13,4.98,20.45
22.00,5.60,44.55,91.86,5.96,18.70
23.00,6.22,44.55,99.99,5.50,10.12
24.00,5.88,44.55,94.82,5.19,14.98
25.00,5.89,43.64,99.88,6.62,10.43
26.00,6.19,44.55,99.94,5.57,10.24
27.00,5.80,45.00,87.97,4.97,22.06
28.00,6.06,44.09,101.94,5.32,11.41
29.00,6.13,43.64,96.83,5.14,12.01
30.00,5.99,44.09,96.91,5.61,12.85
31.00,6.24,44.09,100.09,5.44,9.68
32.00,5.57,44.55,88.57,6.35,22.38
33.00,5.97,43.64,90.70,5.36,18.36
34.00,5.66,44.55,95.11,5.93,15.41
35.00,5.67,44.09,90.12,5.31,19.34
36.00,5.54,44.09,88.34,5.54,21.34
37.00,5.53,44.55,88.05,5.80,22.36
38.00,6.17,44.09,97.43,5.05,11.77
39.00,5.71,44.09,93.83,5.93,16.25
40.00,5.67,44.55,88.97,5.10,20.73
41.00,5.85,44.09,89.89,5.19,19.45
42.00,5.75,44.55,97.81,5.85,12.64
43.00,5.81,44.55,90.67,5.18,19.12
44.00,6.10,44.09,100.99,5.19,10.33
45.00,5.64,44.55,94.62,5.67,15.65
46.00,6.07,44.09,101.12,5.47,10.75
47.00,5.76,44.55,96.39,5.37,13.58
48.00,6.14,44.09,99.92,5.56,9.79
49.00,5.58,44.55,90.43,5.97,20.15
50.00,5.64,44.55,93.09,6.37,17.88
51.00,5.59,44.09,89.60,5.85,20.40
52.00,5.84,44.55,89.46,4.97,20.11
53.00,5.74,44.09,93.24,5.62,16.53
54.00,5.62,44.55,92.08,5.93,18.45
55.00,6.20,44.55,100.08,5.41,10.10
56.00,5.73,44.55,97.58,6.07,13.09
57.00,5.95,44.55,98.59,5.29,11.30
58.00,5.59,44.09,89.75,5.84,20.23
59.00,5.98,45.00,98.73,5.63,11.95
60.00,5.96,44.55,93.35,5.01,16.26
61.00,6.08,44.09,95.87,5.04,13.33
62.00,6.03,44.55,100.63,5.26,10.49
63.00,5.54,44.55,88.19,5.78,22.19
64.00,5.84,44.09,91.10,5.24,18.29
65.00,5.79,44.55,90.27,5.04,19.37
66.00,6.00,44.55,98.91,5.65,11.34
67.00,5.93,44.55,97.87,5.27,12.01
68.00,5.81,44.09,99.11,5.76,10.80
69.00,5.67,44.09,90.98,5.20,18.37
70.00,6.03,44.09,98.42,5.60,11.33
71.00,5.81,44.09,94.78,5.47,14.84
72.00,5.70,44.55,95.98,5.95,14.57
73.00,5.93,44.55,95.38,5.06,14.29
74.00,5.87,43.64,97.83,5.94,11.81
75.00,5.86,44.55,92.32,5.05,17.34
76.00,5.68,44.09,91.95,6.16,18.36
77.00,5.74,44.55,97.94,5.95,12.61
78.00,6.16,45.00,97.36,4.93,12.63
79.00,5.72,44.55,96.09,5.54,14.05
80.00,5.60,44.55,91.62,5.79,18.77
81.00,6.21,44.09,99.90,5.52,9.77
82.00,5.56,44.55,88.46,5.84,21.98
83.00,6.05,44.09,95.66,4.99,13.48
84.00,5.83,44.55,100.75,5.71,11.07
85.00,6.09,44.09,97.82,5.30,11.63
86.00,5.89,45.00,92.61,4.93,17.38
87.00,6.08,45.00,95.42,4.91,14.55
88.00,5.64,44.55,92.20,5.69,18.09
89.00,6.01,44.09,97.07,5.64,12.72
90.00,5.58,44.55,89.49,5.64,20.75
91.00,5.79,44.09,98.81,5.71,11.05
92.00,5.79,44.09,96.27,5.53,13.40
93.00,6.04,44.09,92.81,4.98,16.32
94.00,5.67,44.09,91.55,6.05,18.65
95.00,5.59,44.55,90.52,5.97,20.06
96.00,5.84,44.55,99.57,6.08,11.11
97.00,5.73,44.55,93.83,5.32,16.09
98.00,5.82,44.55,97.05,5.29,12.84
99.00,5.73,44.55,96.20,5.52,13.92
100.00,5.90,44.55,97.19,5.27,12.68
101.00,5.74,44.55,98.17,6.12,12.55
102.00,5.74,44.09,95.34,5.85,14.65
103.00,5.55,44.55,88.49,5.91,22.02
104.00,6.15,44.55,99.91,5.38,10.07
105.00,5.69,44.55,95.52,5.75,14.84
106.00,5.80,44.55,100.06,6.21,10.87
107.00,6.15,44.09,99.73,5.08,9.50
108.00,5.91,44.55,91.33,4.96,18.24
109.00,6.16,44.55,100.08,5.39,10.08
110.00,5.77,44.55,98.45,5.83,11.98
111.00,5.77,43.64,91.35,5.45,17.80
112.00,5.64,44.55,92.74,5.99,17.85
113.00,5.67,45.00,88.20,5.03,21.89
114.00,5.81,44.55,96.71,5.54,13.43
115.00,5.89,45.00,92.65,4.94,17.35
116.00,5.70,44.09,92.38,6.19,17.96
117.00,6.04,44.55,98.36,5.10,11.34
118.00,5.67,44.55,89.01,5.12,20.71
119.00,5.66,44.09,91.25,6.12,19.01
120.00,5.72,44.55,97.31,6.07,13.36
121.00,5.98,45.00,100.90,5.63,11.59
122.00,5.68,44.09,91.78,6.15,18.52
123.00,6.13,44.09,99.37,5.55,10.33
124.00,6.02,44.09,96.57,5.09,12.68
125.00,6.15,44.55,100.16,5.42,10.20
126.00,5.80,44.55,99.36,6.02,11.26
127.00,5.78,44.09,97.49,5.98,12.63
128.00,5.82,44.55,98.14,5.41,11.88
129.00,5.68,44.09,91.74,6.13,18.54
130.00,5.70,44.09,92.45,6.20,17.89
131.00,6.10,44.55,99.79,5.43,10.24
132.00,5.84,44.55,90.83,5.09,18.87
133.00,5.69,44.09,92.33,6.18,18.00
134.00,5.84,44.09,96.87,5.68,12.96
135.00,5.95,44.09,95.12,5.34,14.37
136.00,5.91,44.55,91.12,4.96,18.44
137.00,5.65,44.09,91.19,6.10,19.05
138.00,6.02,44.09,96.52,5.09,12.72
139.00,5.63,44.55,92.94,6.38,18.04
140.00,5.92,45.00,93.00,5.06,17.12
141.00,6.05,44.09,96.81,5.07,12.42
142.00,5.82,44.09,95.14,5.40,14.41
143.00,5.71,44.09,92.03,5.73,17.85
144.00,5.83,44.55,97.17,5.29,12.72
145.00,5.98,44.55,96.78,5.11,12.93
146.00,5.59,44.55,90.85,6.00,19.75
147.00,5.73,43.64,89.85,6.11,19.96
148.00,5.73,44.55,97.55,6.07,13.13
149.00,6.05,44.09,95.54,4.97,13.58
150.00,5.66,44.09,91.31,6.16,18.99
151.00,6.01,44.55,99.70,5.61,10.51
152.00,5.80,44.55,92.05,5.26,17.82
153.00,6.05,44.55,95.72,5.04,13.93
154.00,5.57,44.55,90.51,6.38,20.47
155.00,5.76,44.09,94.66,5.32,14.81
156.00,5.94,44.55,100.22,5.72,10.54
157.00,6.19,44.55,100.03,5.60,10.24
158.00,5.63,44.55,93.04,6.38,17.94
159.00,6.05,44.55,100.35,5.19,10.14
160.00,6.02,44.09,98.30,5.53,11.38
161.00,6.08,45.00,95.40,4.91,14.57
162.00,5.64,44.09,90.91,6.05,19.28
163.00,5.70,44.09,92.58,6.13,17.69
164.00,5.70,44.09,91.39,5.99,18.75
165.00,5.65,44.09,91.17,6.04,19.02
166.00,5.57,44.55,88.59,6.36,22.37
167.00,5.63,44.55,92.10,5.84,18.34
168.00,5.94,45.00,100.03,6.06,11.14
169.00,5.88,44.55,100.29,5.80,10.70
170.00,5.84,44.55,99.65,5.91,10.86
171.00,5.76,44.09,96.62,5.92,13.45
172.00,5.83,44.09,99.43,5.86,10.58
173.00,6.00,44.55,98.91,5.65,11.34
174.00,5.63,44.55,92.12,5.84,18.31
175.00,5.78,44.09,97.19,5.87,12.83
176.00,5.77,44.09,95.24,5.75,14.65
177.00,5.77,44.09,99.50,6.10,10.75
178.00,5.69,44.09,91.71,6.10,18.54
179.00,5.91,45.00,92.94,5.02,17.14
180.00,5.84,44.09,99.84,5.88,10.19
181.00,5.65,44.55,92.03,5.66,18.24
182.00,5.67,44.09,91.03,5.76,18.87
183.00,5.76,44.09,96.82,5.89,13.22
184.00,5.91,44.09,100.02,6.11,10.28
185.00,5.65,44.55,94.68,5.66,15.59
