# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,2.989489798216450889e-01,8.709795953429762261e-02,5.031329341317365006e-02,2.989489798216450889e-01,8.709795953429762261e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.992021521319481986e-02,6.069451349513355076e-01,1.751397285645754365e-01,5.030434701831434235e-02,3.057781531285634902e-01,8.906780463997941710e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.953714426772951041e-02,9.236473523414799880e-01,2.640919464007976392e-01,5.027139069520356052e-02,3.310060528243580769e-01,9.633743561598334670e-02
5.235987755982988295e-02,9.863636363636362603e+01,4.916444866231148986e-02,1.248917635674937410e+00,3.539333142409570865e-01,5.021616554049223441e-02,3.735322832647168245e-01,1.085662087294460565e-01
6.981317007977318190e-02,9.818181818181817277e+01,4.880235133526424768e-02,1.582528063392508288e+00,4.446403823150242851e-01,5.014041265083117593e-02,4.323843851196253474e-01,1.254377857575211253e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.845082002848086211e-02,1.924262246833644330e+00,5.361897360348186758e-01,5.004587312287121781e-02,5.066862469057396012e-01,1.466546385523345986e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.810957497409645844e-02,2.274032502917471277e+00,6.285627285270576348e-01,4.993428805326320663e-02,5.956303930988379181e-01,1.719331388068400801e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.777822653425700672e-02,2.631661711822149030e+00,7.217401110576679990e-01,4.980739853865797512e-02,6.984532572586202859e-01,2.009989368867225179e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.745612698949003977e-02,2.996597699352026023e+00,8.156919043662851365e-01,4.966694567570639068e-02,8.144126789529683164e-01,2.335824115631479903e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.714268097024586907e-02,3.368995736495267401e+00,9.104005698687189785e-01,4.951467056105929299e-02,9.427669284155387741e-01,2.694140429933343794e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.683734510096013853e-02,3.748622796947752356e+00,1.005846738880303848e+00,4.935231429136749393e-02,1.082750639254263403e+00,3.082200588587991064e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.653962187887417806e-02,4.135098786100054546e+00,1.102006872787236746e+00,4.918161796328189561e-02,1.233540288839576782e+00,3.497184024859411600e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.624905458374844319e-02,4.528109360139827899e+00,1.198856197276096935e+00,4.900432267345327525e-02,1.394228120713880026e+00,3.936124869051551012e-01
2.268928027592628516e-01,9.409090909090909349e+01,4.596522286829948789e-02,4.927703551152459838e+00,1.296375907760490609e+00,4.882216951853253495e-02,1.563797940727079450e+00,4.395837689613802945e-01
2.443460952792061436e-01,9.363636363636364024e+01,4.568773892597937508e-02,5.333706186946513661e+00,1.394547372048603018e+00,4.863689959517046579e-02,1.741100887391806573e+00,4.872866331523786898e-01
2.617993877991494078e-01,9.318181818181817277e+01,4.541624414694247353e-02,5.745633416970440166e+00,1.493347062101320510e+00,4.845025400001798377e-02,1.924827359935092019e+00,5.363400408883578496e-01
2.792526803190927276e-01,9.272727272727271952e+01,4.515040618904080094e-02,6.163222337431224496e+00,1.592751356089725734e+00,4.826397382972585914e-02,2.113495267218778118e+00,5.863267627270806193e-01
2.967059728390360474e-01,9.227272727272726627e+01,4.488991640574280934e-02,6.586272614309933715e+00,1.692737496674383557e+00,4.807980018094494545e-02,2.305435599571119543e+00,6.367933628354723874e-01
3.141592653589793116e-01,9.181818181818181301e+01,4.463448757956772067e-02,7.014589597636893714e+00,1.793283591005342181e+00,4.789938242959296266e-02,2.498820136257242641e+00,6.872657213299897538e-01
3.316125578789225758e-01,9.136363636363635976e+01,4.438385191100520377e-02,7.447950680740651919e+00,1.894368175061731163e+00,4.772308747985863631e-02,2.692907819563256755e+00,7.375850842525129014e-01
3.490658503988658956e-01,9.090909090909090651e+01,4.413775924517154142e-02,7.886022749876815396e+00,1.995968812045571195e+00,4.755033905577509684e-02,2.888042612381977126e+00,7.878621523107526281e-01
3.665191429188092154e-01,9.045454545454545325e+01,4.389597548189958648e-02,8.328538296431757360e+00,2.098063020863017769e+00,4.738053903395017530e-02,3.084813462787911575e+00,8.382316622983290166e-01
3.839724354387524796e-01,9.000000000000000000e+01,4.365828116909676454e-02,8.775263718932404089e+00,2.200628617159773093e+00,4.721308929099159168e-02,3.283828592621525821e+00,8.888403608167729786e-01
