# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.34,41.36,92.10,17.34,34.17
1.00,6.31,45.00,100.01,20.68,33.26
2.00,5.49,45.00,85.16,18.69,46.08
3.00,6.26,38.64,84.80,24.09,45.49
4.00,5.12,45.00,75.09,17.40,54.86
5.00,5.78,44.55,75.77,12.59,48.92
6.00,5.09,45.00,75.13,20.16,57.58
7.00,6.07,43.64,98.86,24.99,37.33
8.00,6.16,40.45,87.42,18.99,39.58
9.00,6.08,43.64,98.48,24.22,36.93
10.00,6.01,42.27,81.21,16.58,45.20
11.00,5.86,42.73,84.07,22.36,48.58
12.00,6.18,39.55,89.75,24.64,42.00
13.00,6.31,40.00,93.12,23.68,38.12
14.00,6.32,39.55,91.65,22.47,37.93
15.00,5.73,43.18,85.88,22.55,47.41
16.00,6.28,44.09,93.25,17.43,35.84
17.00,5.29,44.55,79.71,22.04,54.43
18.00,6.17,40.45,87.62,19.15,39.54
19.00,6.21,43.18,94.70,23.10,39.14
20.00,6.10,40.00,86.13,21.72,43.15
21.00,6.07,39.09,82.72,20.85,44.78
22.00,6.20,41.36,91.56,21.25,38.62
23.00,5.92,41.82,83.49,23.39,49.27
24.00,6.26,38.64,85.25,24.57,45.52
25.00,6.29,40.91,89.13,17.93,37.27
26.00,5.71,42.73,83.49,23.03,49.83
27.00,5.73,41.82,79.85,22.63,52.16
28.00,5.85,42.27,83.26,22.31,48.88
29.00,5.65,44.09,89.29,23.71,46.08
30.00,6.20,40.91,90.44,20.11,38.14
31.00,6.06,39.09,84.64,24.55,46.56
32.00,5.26,45.00,79.15,20.86,54.26
33.00,5.53,44.55,80.29,16.25,48.06
34.00,5.76,44.09,91.02,23.48,44.11
35.00,5.82,45.00,76.42,13.06,49.20
36.00,5.50,45.00,82.97,18.38,47.97
37.00,5.35,44.09,79.79,21.69,53.54
38.00,5.52,45.00,79.18,15.08,48.46
39.00,6.10,44.55,82.46,13.48,43.13
40.00,5.85,44.09,76.68,12.72,47.68
41.00,5.20,45.00,76.28,18.74,55.01
42.00,6.31,40.91,92.15,20.51,36.83
43.00,5.83,41.36,80.05,16.48,45.35
44.00,5.29,45.00,77.33,16.58,51.81
45.00,5.27,45.00,77.08,18.89,54.36
46.00,5.45,45.00,77.77,14.52,49.30
47.00,5.13,45.00,75.84,18.75,55.46
48.00,5.24,45.00,75.93,18.05,54.68
49.00,5.90,44.09,77.89,13.23,46.99
50.00,6.10,44.09,94.55,19.39,36.49
51.00,6.04,44.55,97.53,20.21,34.79
52.00,5.46,44.55,79.24,16.36,49.23
53.00,5.58,45.00,88.00,18.57,43.13
54.00,6.15,45.00,100.16,21.07,33.79
55.00,6.12,43.18,97.33,24.20,37.61
56.00,5.93,44.55,79.14,13.18,46.14
57.00,6.05,44.55,80.06,13.78,45.83
58.00,5.30,45.00,78.79,20.21,53.98
59.00,5.84,45.00,84.07,14.92,43.41
60.00,6.18,44.09,93.46,17.59,35.78
61.00,5.10,45.00,75.14,19.31,56.73
62.00,5.56,44.09,88.35,22.80,46.10
63.00,6.22,40.91,85.56,16.93,39.84
64.00,5.34,45.00,77.01,15.32,50.87
65.00,6.03,45.00,83.35,14.40,43.61
66.00,5.31,45.00,82.51,20.09,50.13
67.00,5.91,44.55,95.68,21.45,37.87
68.00,5.62,43.64,84.71,22.80,49.28
69.00,6.09,44.55,82.30,13.96,43.77
70.00,5.42,44.55,79.33,18.04,50.81
71.00,6.08,40.00,87.72,24.74,44.59
72.00,5.15,45.00,76.82,19.95,55.68
73.00,5.70,45.00,82.84,15.44,45.16
74.00,6.12,44.09,99.58,22.22,34.29
75.00,5.78,45.00,94.93,23.33,40.95
76.00,5.32,44.55,76.43,17.11,52.77
77.00,5.92,45.00,92.34,18.19,38.41
78.00,5.36,44.55,77.16,16.09,51.03
79.00,5.39,44.09,75.57,16.29,52.36
80.00,5.16,45.00,75.52,18.34,55.37
81.00,6.34,39.09,89.42,23.27,40.50
82.00,6.21,45.00,97.90,19.06,33.72
83.00,5.80,43.18,89.03,23.97,45.68
84.00,6.14,44.55,87.87,15.22,39.46
85.00,6.16,45.00,86.70,14.66,40.53
86.00,6.02,45.00,96.71,19.90,35.75
87.00,6.24,39.55,90.55,23.12,39.68
88.00,5.64,45.00,81.24,15.55,46.86
89.00,5.92,44.55,97.00,22.65,37.76
90.00,5.25,45.00,75.32,17.00,54.23
91.00,6.26,39.55,88.17,22.22,41.16
92.00,6.23,39.09,84.26,22.57,44.97
93.00,5.99,45.00,96.90,21.01,36.67
94.00,6.29,41.36,95.39,21.89,35.43
95.00,5.41,43.64,78.92,19.57,51.84
96.00,6.21,45.00,100.89,20.41,33.87
97.00,5.75,44.09,92.74,24.01,42.92
98.00,5.88,42.73,85.50,23.01,47.80
99.00,6.14,41.36,80.68,15.95,44.20
100.00,5.89,41.82,84.55,23.61,48.44
101.00,6.33,39.09,86.31,21.74,42.09
102.00,6.02,43.18,93.71,24.28,41.31
103.00,5.74,42.27,77.63,20.06,52.26
104.00,5.93,44.55,92.96,20.75,39.89
105.00,6.09,44.55,82.48,13.62,43.24
106.00,5.41,44.55,80.58,18.04,49.56
107.00,5.14,45.00,79.01,22.38,55.93
108.00,5.10,45.00,76.12,20.33,56.76
109.00,5.44,44.55,81.50,20.67,51.27
110.00,5.67,44.09,75.58,14.84,50.91
111.00,5.48,45.00,80.97,16.69,48.28
112.00,5.92,44.09,95.16,23.00,39.49
113.00,6.28,44.09,91.14,17.38,37.89
114.00,5.74,43.64,90.03,23.21,44.37
115.00,6.27,40.00,91.83,24.38,40.12
116.00,5.54,44.55,87.24,24.30,49.17
117.00,6.02,43.64,95.65,23.34,38.88
118.00,5.33,45.00,78.65,15.69,49.59
119.00,5.81,45.00,81.88,15.29,45.97
120.00,5.95,40.91,76.07,15.84,48.24
121.00,5.43,44.09,79.43,17.55,49.77
122.00,6.05,39.09,84.37,24.60,46.88
123.00,5.69,44.55,86.38,19.08,44.80
124.00,5.28,43.64,76.50,19.09,53.78
125.00,5.59,45.00,85.98,17.04,43.61
126.00,5.18,45.00,75.64,17.93,54.85
127.00,5.77,44.55,81.82,15.67,45.95
128.00,5.95,45.00,81.60,14.14,45.10
129.00,5.66,45.00,81.23,15.08,46.40
130.00,6.28,45.00,98.04,18.46,32.98
131.00,6.13,43.64,99.13,24.53,36.60
132.00,5.88,45.00,77.62,12.90,47.84
133.00,5.33,44.55,76.78,19.17,54.48
134.00,5.98,45.00,96.16,21.34,37.74
135.00,5.14,45.00,76.34,19.82,56.03
136.00,5.64,45.00,92.46,20.97,41.06
137.00,5.43,45.00,77.74,15.63,50.44
138.00,6.24,40.45,86.99,18.66,39.69
139.00,5.63,44.55,84.24,19.28,47.14
140.00,5.67,44.09,89.75,23.15,45.06
141.00,5.63,43.64,80.82,17.34,47.71
142.00,6.07,45.00,83.56,13.89,42.89
143.00,5.17,45.00,76.92,19.54,55.17
144.00,5.23,44.55,79.56,21.86,54.40
145.00,5.22,44.55,77.20,19.64,54.53
146.00,6.33,40.00,90.40,19.47,36.63
147.00,5.90,43.64,93.82,24.36,41.74
148.00,5.44,44.55,78.25,15.81,49.66
149.00,5.95,44.09,86.89,16.04,40.81
150.00,5.46,44.09,83.05,20.11,48.70
151.00,5.57,44.55,86.78,22.71,48.03
152.00,6.06,44.09,98.61,24.85,37.89
153.00,5.55,44.09,82.02,19.82,49.44
154.00,5.69,44.55,89.38,22.91,45.64
155.00,5.96,45.00,94.10,18.23,36.68
156.00,6.00,43.64,88.59,18.62,41.23
157.00,5.81,44.55,93.03,23.73,42.80
158.00,5.78,44.55,76.11,12.86,48.85
159.00,5.60,45.00,77.99,14.29,48.85
160.00,5.90,44.09,90.31,19.71,41.04
161.00,6.00,45.00,94.30,18.49,36.75
162.00,5.09,45.00,76.00,20.26,56.82
163.00,5.43,45.00,77.53,15.19,50.21
164.00,6.18,44.09,93.41,17.68,35.92
165.00,6.08,44.55,99.39,22.30,35.01
166.00,5.12,45.00,77.96,21.91,56.50
167.00,5.99,45.00,85.81,14.68,41.43
168.00,6.19,40.00,85.66,20.19,42.09
169.00,6.12,41.36,87.13,16.76,38.56
170.00,5.87,44.55,96.02,22.10,38.18
171.00,5.67,44.09,88.78,23.69,46.55
172.00,6.10,39.55,85.01,19.71,41.81
173.00,5.56,44.09,79.93,17.51,49.22
174.00,6.34,44.55,83.85,14.06,42.32
175.00,5.89,45.00,88.66,18.41,42.31
176.00,6.06,44.09,98.74,24.90,37.82
177.00,5.54,44.09,78.24,15.16,48.57
178.00,5.26,44.55,78.45,19.53,53.18
179.00,5.47,45.00,85.18,22.28,49.66
180.00,6.13,44.55,94.23,17.27,35.15
181.00,5.64,44.09,87.27,21.86,46.23
182.00,6.11,44.55,99.50,23.85,36.46
183.00,5.18,45.00,75.48,17.91,54.98
184.00,5.91,44.55,91.47,17.77,38.40
185.00,5.91,43.64,94.73,23.90,40.37
186.00,5.80,44.09,84.56,17.82,44.91
187.00,5.36,44.55,79.91,21.43,53.63
188.00,5.98,45.00,96.49,20.29,36.36
189.00,5.37,44.55,83.16,23.14,52.08
190.00,6.21,45.00,98.11,19.09,33.54
191.00,5.68,44.09,88.52,22.99,46.11
192.00,5.70,43.18,78.53,21.97,54.18
193.00,6.30,44.55,98.88,19.05,32.28
194.00,5.55,44.09,85.16,20.82,47.31
195.00,5.93,43.64,96.02,24.42,39.59
196.00,5.85,44.55,91.38,18.44,39.17
197.00,6.29,45.00,95.82,17.25,34.00
198.00,6.08,43.18,78.51,14.76,46.99
199.00,5.84,43.64,81.42,17.22,47.00
