# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,5.594165349167183887e-01,8.382247978232543195e-02,5.031329341317365006e-02,5.594165349167183887e-01,8.382247978232543195e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.981391814979074795e-02,1.133190462164554990e+00,1.680628941413409572e-01,5.030434701831434235e-02,5.695896092944897626e-01,8.533088837590487030e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.931262252796218132e-02,1.721084817112034537e+00,2.527134431448332386e-01,5.027139069520356052e-02,6.070984274045293505e-01,9.088774173934281719e-02
5.235987755982988295e-02,9.863636363636362603e+01,4.880944109903094519e-02,2.322849362764622949e+00,3.377661225336724415e-01,5.021616554049223441e-02,6.700708872368085212e-01,1.002002683185996140e-01
6.981317007977318190e-02,9.818181818181817277e+01,4.830440921538649984e-02,2.938221589175157522e+00,4.232127237218122340e-01,5.014041265083117593e-02,7.566918442175071258e-01,1.129761101290236158e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.779756295730229476e-02,3.566927743790714977e+00,5.090448337962897307e-01,5.004587312287121781e-02,8.651841231544878941e-01,1.289231817866574037e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.728893900598298700e-02,4.208683887508520627e+00,5.952538355172256601e-01,4.993428805326320663e-02,9.937910229092546954e-01,1.477495409038438179e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.677857656605978465e-02,4.863196971295161042e+00,6.818309073178241420e-01,4.980739853865797512e-02,1.140760464076518543e+00,1.691632714982432562e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.626654451709373561e-02,5.530165928352086091e+00,7.687670233043728540e-01,4.966694567570639068e-02,1.304330886277218937e+00,1.928723814732634378e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.575299852093332731e-02,6.209282515303270245e+00,8.560529532562430877e-01,4.951467056105929299e-02,1.482718962007343766e+00,2.185847146789433870e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.523812157798844796e-02,6.900211502268707164e+00,9.436792626258895256e-01,4.935231429136749393e-02,1.674109158355880478e+00,2.460078775818701491e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.472209211367032117e-02,7.602565321277638510e+00,1.031636312538850131e+00,4.918161796328189561e-02,1.876645139670496620e+00,2.748491788411767667e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.420507738599642467e-02,8.315924114166255876e+00,1.119914259793746814e+00,4.900432267345327525e-02,2.088422946288116755e+00,3.048155730655395801e-01
