# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,1.42,0.12,0.13,0.12,0.22,1.34,0.28,0.54,0.33,0.90,2.35,2.68,3.18,3.96,5.49,6.17,1.34
1.00,0.15,0.12,0.13,1.38,1.11,1.46,0.25,0.22,0.18,0.89,2.17,3.04,3.17,4.47,5.49,6.01,1.40
2.00,0.23,0.26,0.09,0.84,1.40,1.34,0.64,0.98,0.36,0.83,2.33,3.13,3.21,4.70,5.42,6.20,0.75
3.00,1.41,0.27,0.09,0.83,1.41,1.43,1.30,0.51,0.19,0.99,2.28,3.06,3.15,4.71,5.45,5.86,1.50
4.00,0.10,0.13,0.13,1.48,1.00,1.49,0.22,0.11,0.18,0.85,2.30,2.94,3.18,4.48,5.45,6.07,1.30
5.00,1.41,0.15,0.14,0.15,0.21,1.34,0.37,0.51,0.77,0.90,2.35,3.08,3.18,3.95,5.48,6.18,1.28
6.00,1.43,0.13,0.10,0.12,0.30,1.43,1.32,0.24,0.76,0.82,2.11,2.71,3.18,3.93,5.49,6.19,0.27
7.00,1.42,0.12,0.21,0.12,0.16,1.41,0.32,0.28,0.38,0.86,2.32,2.91,3.15,4.50,5.48,6.24,1.26
8.00,1.49,0.11,0.17,0.09,0.32,1.47,0.44,0.93,0.77,0.89,2.31,3.06,3.17,3.93,5.49,5.96,1.50
9.00,0.11,0.13,0.13,1.00,1.50,1.48,0.36,0.25,0.48,0.97,2.23,3.10,3.18,4.58,5.49,5.83,1.41
10.00,1.42,0.12,0.13,0.12,0.25,1.40,0.32,0.19,0.74,0.85,2.30,2.67,3.23,4.60,5.49,6.07,1.14
11.00,1.42,0.12,0.16,0.10,0.22,1.48,0.32,0.22,0.78,0.83,2.32,2.91,3.18,3.95,5.47,6.08,1.45
12.00,0.16,0.15,0.14,1.02,1.50,1.47,0.37,0.94,0.48,0.89,2.31,3.09,3.17,4.69,5.49,5.96,1.28
13.00,0.12,0.15,0.14,1.02,1.40,1.47,0.26,0.94,0.74,0.90,2.34,3.10,3.15,4.67,5.49,5.84,1.28
14.00,1.43,0.11,0.10,0.12,0.30,1.43,1.30,0.23,0.76,0.83,2.11,2.76,3.18,3.93,5.45,6.19,0.27
15.00,1.38,0.12,0.21,0.12,0.15,1.37,0.32,0.51,0.39,0.86,2.32,2.91,3.15,4.38,5.48,6.24,1.20
