# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,4.55,53.64,75.19,20.96,66.95
1.00,6.24,45.45,100.00,9.30,22.32
2.00,6.26,48.64,99.63,5.34,21.91
3.00,5.50,51.36,75.40,4.24,47.76
4.00,5.95,44.09,95.98,8.65,24.32
5.00,4.92,50.45,75.02,16.15,59.13
6.00,5.19,57.27,91.47,12.89,46.24
7.00,4.86,50.91,80.50,24.95,62.90
8.00,5.20,49.09,81.71,18.95,53.88
9.00,6.03,44.55,98.92,6.41,19.60
10.00,4.97,54.55,91.94,22.26,52.42
11.00,5.21,51.82,82.92,14.90,51.35
12.00,5.68,46.36,90.65,5.20,28.47
13.00,6.16,45.91,93.45,5.60,25.62
14.00,5.24,56.82,97.33,13.24,40.28
15.00,4.71,49.55,76.82,23.30,63.57
16.00,5.04,52.73,82.07,12.31,50.52
17.00,5.84,45.45,98.22,6.30,21.10
18.00,5.15,50.00,83.22,17.29,51.63
19.00,5.43,48.18,90.07,5.60,31.26
20.00,5.08,52.27,90.88,17.63,46.57
21.00,5.55,47.73,96.75,5.59,24.12
22.00,5.76,45.00,95.50,8.94,26.00
23.00,4.75,50.00,78.98,24.74,63.31
24.00,4.77,51.82,83.05,18.82,55.13
25.00,5.78,47.27,96.20,5.46,24.09
26.00,5.11,57.27,97.94,14.28,41.16
27.00,4.78,49.55,78.59,23.51,62.01
28.00,5.43,50.91,92.14,20.01,46.33
29.00,5.26,46.82,85.90,4.72,33.19
30.00,4.69,53.64,81.89,24.23,63.53
31.00,5.08,55.00,88.15,12.76,47.15
32.00,5.72,44.55,89.39,5.43,28.14
33.00,5.71,44.09,97.15,9.09,23.59
34.00,5.01,56.36,98.55,15.36,40.72
35.00,5.57,47.73,95.75,5.35,24.89
36.00,5.28,50.91,91.91,22.72,49.27
37.00,4.94,55.45,89.86,18.70,51.84
38.00,5.17,52.73,92.24,18.39,46.43
39.00,5.05,50.45,84.12,22.92,56.80
40.00,5.42,45.00,79.53,14.04,47.07
41.00,4.66,52.27,80.54,16.63,55.90
42.00,4.69,53.64,82.34,14.56,53.40
43.00,5.38,55.91,99.95,20.40,43.91
44.00,4.63,54.09,77.18,19.70,64.16
45.00,5.22,56.82,93.79,12.86,43.43
46.00,4.93,54.55,83.44,12.77,51.42
47.00,6.09,48.64,92.62,5.02,28.60
48.00,5.34,53.18,99.76,23.43,44.41
49.00,5.26,53.18,95.89,18.56,43.41
50.00,6.20,48.64,96.98,5.28,24.50
51.00,5.48,45.91,79.17,4.68,38.98
52.00,5.55,46.36,94.23,5.25,24.94
53.00,5.03,56.36,99.68,15.73,39.96
54.00,4.94,54.09,86.11,16.90,52.44
55.00,5.11,50.91,87.12,17.48,48.82
56.00,5.10,55.00,83.56,11.17,50.16
57.00,5.08,55.91,88.86,12.52,47.12
58.00,5.72,48.18,100.09,5.94,21.78
59.00,5.06,51.36,79.10,14.16,53.97
60.00,5.02,55.45,95.97,15.47,42.50
61.00,5.62,45.00,94.69,10.02,27.88
62.00,5.40,45.45,83.79,10.72,39.94
63.00,5.52,44.55,86.88,7.43,32.65
64.00,5.74,46.82,95.21,7.12,26.29
65.00,5.16,55.00,99.77,15.13,37.91
66.00,4.79,52.73,84.65,15.81,51.43
67.00,5.60,45.00,86.66,6.88,32.77
68.00,6.09,48.64,92.57,5.02,28.64
69.00,5.82,47.27,101.44,5.62,21.89
70.00,4.56,53.18,76.11,20.79,65.41
71.00,4.81,53.18,87.69,18.85,51.89
72.00,5.70,44.09,88.05,9.87,33.46
73.00,5.60,45.00,93.14,7.96,27.37
74.00,5.81,44.55,98.84,9.51,22.78
75.00,5.46,45.45,84.56,11.52,39.96
76.00,5.13,48.64,75.90,10.65,50.93
77.00,5.74,46.82,95.16,7.12,26.34
78.00,5.97,44.09,97.56,8.62,22.71
79.00,5.37,45.45,85.78,15.99,43.22
80.00,5.58,45.45,91.21,8.40,30.20
81.00,5.33,50.00,87.44,22.88,52.99
82.00,5.31,54.09,95.23,12.56,38.98
83.00,4.91,54.55,89.26,21.28,54.11
84.00,6.02,44.55,98.64,6.41,19.88
85.00,6.10,46.36,94.75,5.55,24.72
86.00,4.58,53.18,78.08,21.90,64.55
87.00,5.86,46.36,100.12,8.71,22.76
88.00,5.88,44.55,99.85,10.42,22.68
89.00,5.55,45.91,93.44,6.58,26.60
90.00,5.53,45.45,89.44,8.26,31.84
91.00,5.62,51.36,102.20,24.94,46.07
92.00,4.85,50.91,80.16,24.67,62.97
93.00,6.13,45.45,99.94,7.64,20.72
94.00,4.91,51.36,84.93,22.79,56.76
95.00,5.32,54.09,88.34,11.32,44.63
96.00,5.88,44.55,92.70,6.15,25.56
97.00,4.64,53.64,78.51,21.09,63.77
98.00,4.94,50.00,75.75,17.86,59.66
99.00,5.91,45.45,99.59,5.98,19.41
100.00,4.82,54.55,85.49,14.81,51.41
101.00,5.18,55.00,92.92,13.68,43.32
102.00,5.49,50.91,94.58,17.78,41.66
103.00,4.66,53.18,76.96,20.56,64.33
104.00,4.76,51.36,81.82,19.14,56.24
105.00,4.78,55.00,84.23,21.53,59.85
106.00,5.20,49.55,81.60,21.62,57.12
107.00,5.64,45.91,94.01,8.11,27.57
108.00,4.63,53.64,77.40,20.74,64.53
109.00,5.36,44.55,79.64,15.61,48.07
110.00,4.71,49.55,77.56,23.94,63.47
111.00,4.81,48.64,76.65,23.05,62.58
112.00,5.51,45.00,86.36,9.20,35.39
113.00,4.99,50.91,83.84,16.93,51.55
114.00,4.62,53.64,76.44,18.47,63.21
115.00,4.72,50.00,78.21,24.37,63.71
116.00,5.01,54.09,88.47,18.17,51.34
117.00,6.00,44.55,98.35,5.71,19.47
118.00,4.57,53.64,75.20,19.52,65.50
119.00,4.88,48.64,78.39,23.63,61.43
120.00,5.36,51.36,90.47,18.74,47.18
121.00,5.64,48.64,99.11,6.04,23.12
122.00,5.80,44.55,98.45,9.36,23.02
123.00,4.69,53.64,78.02,11.64,54.80
124.00,4.97,52.27,87.98,17.26,49.10
125.00,4.66,53.64,78.78,11.83,54.23
126.00,6.11,48.64,92.88,5.11,28.42
127.00,5.66,44.55,96.81,11.97,27.26
128.00,5.93,44.55,95.64,5.87,22.33
129.00,5.58,45.91,91.60,5.34,27.20
130.00,4.99,50.91,83.36,16.45,51.55
131.00,5.39,48.64,86.75,8.96,38.39
132.00,4.64,54.09,77.76,19.90,63.78
133.00,4.90,52.27,86.20,17.09,50.72
134.00,5.16,54.09,96.32,23.85,49.17
135.00,4.68,53.64,78.96,14.03,56.26
136.00,5.75,44.09,98.10,9.19,22.74
137.00,5.22,54.55,96.41,14.88,40.57
138.00,4.93,53.18,89.61,18.90,50.02
139.00,5.77,44.55,89.83,5.48,27.76
140.00,6.21,44.55,102.33,5.42,19.86
141.00,4.87,54.55,88.16,21.96,55.89
142.00,4.89,51.36,83.41,22.09,57.59
143.00,5.18,52.27,88.91,13.53,44.45
144.00,4.86,52.27,85.40,16.72,51.14
145.00,4.59,53.64,75.68,19.39,64.89
146.00,4.96,50.45,79.37,19.35,57.98
147.00,5.24,54.09,88.77,12.19,45.06
148.00,5.22,46.36,80.82,4.76,37.86
149.00,4.94,53.18,85.24,13.89,49.39
150.00,4.91,55.00,91.35,23.17,54.37
151.00,4.96,55.91,96.01,15.24,42.69
152.00,5.53,44.55,89.08,9.06,32.08
153.00,5.99,44.55,96.28,6.22,22.05
154.00,4.70,49.55,76.35,22.97,63.72
155.00,5.33,51.36,86.03,15.03,47.92
156.00,5.48,45.45,81.12,6.93,38.82
157.00,5.26,52.73,90.93,12.83,42.17
158.00,5.67,54.55,100.07,12.05,34.23
159.00,5.20,54.09,93.55,13.83,41.92
160.00,5.82,45.00,100.55,7.19,20.29
161.00,5.15,52.73,91.52,18.34,47.10
162.00,5.32,45.91,81.49,10.45,42.42
163.00,5.81,45.00,100.37,7.24,20.17
164.00,5.30,52.73,92.42,16.61,44.47
165.00,4.82,53.64,82.02,12.41,51.57
166.00,5.07,55.00,88.59,13.10,47.07
167.00,4.60,53.64,77.22,20.98,64.94
168.00,5.87,44.55,92.07,5.93,25.97
169.00,5.03,50.45,77.89,15.15,55.26
170.00,4.73,51.36,80.60,18.59,56.90
171.00,4.84,50.91,79.92,24.24,62.78
172.00,4.88,54.09,83.75,13.38,51.27
173.00,5.05,51.36,79.95,14.50,53.47
174.00,5.84,51.82,97.50,4.68,26.55
175.00,5.03,53.64,93.84,19.80,47.14
176.00,5.06,54.09,98.35,23.98,47.28
177.00,5.45,50.91,95.97,19.59,42.09
178.00,5.65,51.36,84.29,4.49,39.12
179.00,6.22,45.00,100.26,5.96,18.78
180.00,5.92,45.91,92.48,5.16,26.14
181.00,5.09,56.36,98.95,15.40,40.37
182.00,5.38,55.00,100.94,13.32,36.82
183.00,5.18,52.73,98.49,20.19,41.98
184.00,4.73,54.09,84.12,20.61,58.12
185.00,5.10,51.36,79.77,14.19,53.34
186.00,5.07,54.09,91.18,15.48,45.94
187.00,4.60,54.09,75.54,18.19,64.29
188.00,4.96,55.45,93.28,15.23,44.96
189.00,5.47,44.55,86.19,9.87,35.78
190.00,5.42,45.91,88.43,4.86,29.89
191.00,6.14,45.45,100.04,7.76,20.81
192.00,4.90,52.27,86.41,18.19,51.60
193.00,5.66,51.36,84.34,4.63,39.22
194.00,5.56,53.18,99.27,20.14,41.60
195.00,4.84,51.82,80.95,16.17,54.59
196.00,4.91,53.64,94.07,24.57,51.68
197.00,5.03,55.91,94.47,14.39,43.37
198.00,5.34,51.82,92.36,14.53,41.54
199.00,5.74,51.82,95.84,4.41,27.94
