# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,0.16,1.48,0.48,0.11,0.97,1.40,1.12,0.17,0.48,1.33,1.58,2.40,3.91,4.09,5.12,5.51,0.99
1.00,0.17,1.41,0.42,0.11,0.51,1.40,0.85,0.19,0.60,1.24,1.58,2.39,3.80,4.10,5.40,5.54,1.10
2.00,0.16,1.49,0.11,0.11,0.53,1.39,0.71,0.14,0.58,1.25,1.60,2.47,3.90,4.11,5.02,5.56,0.95
3.00,0.18,1.42,0.18,0.17,0.41,1.26,0.57,0.27,0.59,1.39,2.21,2.61,3.79,4.13,5.12,5.57,1.10
4.00,0.18,1.49,0.52,0.17,0.53,1.40,1.09,0.17,0.68,1.32,1.58,2.39,3.77,4.09,5.12,5.54,0.87
5.00,0.16,1.44,0.17,0.16,0.63,1.41,1.14,0.21,0.62,1.37,2.24,2.37,3.78,4.12,5.09,5.66,0.96
6.00,1.27,0.47,0.08,0.16,1.42,1.41,0.54,0.27,0.30,0.86,1.67,2.51,3.32,4.31,5.15,6.05,1.08
7.00,0.18,1.36,0.18,0.17,0.41,1.26,1.29,0.28,0.59,1.39,2.21,2.77,3.79,4.17,5.27,5.55,1.36
8.00,1.48,0.14,0.07,0.26,1.36,1.47,0.46,0.30,0.31,1.33,1.84,2.42,3.14,4.52,5.14,5.64,1.16
9.00,0.16,1.44,0.17,0.16,0.63,1.41,1.14,0.21,0.62,1.37,2.24,2.37,3.78,4.12,5.09,5.66,0.96
10.00,0.16,1.47,0.18,0.16,0.42,1.26,1.45,0.21,0.62,1.42,2.24,2.98,3.79,4.38,5.27,5.81,1.36
11.00,0.16,1.49,0.48,0.11,0.53,1.46,0.71,0.17,0.68,1.32,1.58,2.47,3.77,4.09,5.11,5.54,0.87
12.00,1.48,0.14,0.07,0.26,1.37,1.47,0.46,0.19,0.31,1.18,1.84,2.36,3.14,4.52,5.12,6.21,0.94
13.00,1.25,0.47,0.09,0.21,0.96,1.40,0.65,0.22,0.55,0.85,1.61,2.53,3.28,4.61,5.06,5.61,1.41
14.00,0.17,1.49,0.17,0.16,0.63,1.21,1.48,0.21,0.46,1.22,2.25,2.37,3.78,4.14,5.45,5.54,1.08
15.00,0.12,1.49,0.60,0.12,0.54,1.38,1.47,0.12,0.53,1.37,1.59,2.40,3.77,4.10,5.09,5.57,0.97
16.00,0.27,1.36,0.18,0.16,0.41,1.26,1.29,0.28,0.48,1.39,2.29,2.80,3.76,4.17,5.27,5.56,0.83
17.00,0.12,1.47,0.58,0.12,0.53,1.38,1.49,0.28,0.53,1.31,1.59,2.40,3.77,4.09,5.05,5.54,0.76
18.00,1.37,1.49,0.11,0.11,0.60,1.40,0.59,0.14,0.58,1.20,1.60,2.47,3.92,4.11,5.02,5.56,0.95
19.00,0.16,1.41,0.17,0.16,0.51,1.41,1.14,0.20,0.47,1.38,1.82,2.37,3.78,4.12,5.14,5.66,0.96
20.00,0.16,1.38,0.17,0.16,0.42,1.26,1.45,0.21,0.62,1.42,2.24,2.63,3.79,4.38,5.27,5.86,1.35
21.00,0.24,1.35,0.09,0.11,1.02,1.41,0.37,0.34,0.46,0.87,1.65,2.43,3.92,3.98,5.04,6.19,0.89
