# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.009853075486454116e-02,2.476570814307408053e-01,7.921930297889263894e-02,5.031329341317365006e-02,5.328529381026027265e-06,1.693089458723557588e-06
1.745329251994329547e-02,9.954337899543378398e+01,4.988885140582916683e-02,4.913613759363820166e-01,1.582771422905727976e-01,5.030424979726789980e-02,1.038958455144751297e-02,3.302093070918091147e-03
3.490658503988659095e-02,9.908675799086756797e+01,4.968395932094224476e-02,7.309982213125946204e-01,2.371981648481833738e-01,5.027098456719000102e-02,4.862089150472655164e-02,1.546867372854850674e-02
5.235987755982988295e-02,9.863013698630136616e+01,4.948358110673121979e-02,9.664452928421641831e-01,3.160068077847174028e-01,5.021526277489678225e-02,1.127813171354793559e-01,3.594288108526133563e-02
6.981317007977318190e-02,9.817351598173515015e+01,4.928746371473653048e-02,1.197609440928319779e+00,3.947273356300457503e-01,5.013884947234513445e-02,2.010025563125296955e-01,6.421270572415956057e-02
8.726646259971647390e-02,9.771689497716894834e+01,4.909537241977997984e-02,1.424395076239757474e+00,4.733838779909318450e-01,5.004350971149195554e-02,3.114367570438378863e-01,9.979924058985635560e-02
1.047197551196597659e-01,9.726027397260273233e+01,4.890708904391898038e-02,1.646711998720520320e+00,5.520004667255030695e-01,4.993100854429406016e-02,4.422274192026100503e-01,1.422445094501555429e-01
1.221730476396030718e-01,9.680365296803653052e+01,4.872241038762159526e-02,1.864475216567926363e+00,6.306010727526749626e-01,4.980311102270836704e-02,5.914815682160519117e-01,1.911004209064354475e-01
1.396263401595463638e-01,9.634703196347031451e+01,4.854114684008078995e-02,2.084116742251060916e+00,7.092096426345544380e-01,4.966158219869172552e-02,7.572442637839146284e-01,2.459187253248574234e-01
1.570796326794896558e-01,9.589041095890409849e+01,4.836312114485905728e-02,2.302570961709835107e+00,7.878501350682375337e-01,4.950818712420099882e-02,9.374853655613749615e-01,3.062415979404241040e-01
