# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.003360774814689937e-02,2.337424597886244015e-01,7.538846811501953571e-02,5.031329341317365006e-02,1.763470076487977302e-05,5.716974239579907453e-06
1.745329251994329547e-02,9.954337899543378398e+01,4.975357848720771137e-02,4.723117422258554243e-01,1.514746337370569407e-01,5.030424979726789980e-02,7.507446222897153076e-03,2.433451514940322691e-03
3.490658503988659095e-02,9.908675799086756797e+01,4.947319726579152421e-02,7.159481768987090433e-01,2.282470055891377414e-01,5.027098456719000102e-02,3.509511485903189787e-02,1.136908207706289857e-02
5.235987755982988989e-02,9.863013698630136616e+01,4.919246123750188604e-02,9.647146400756154705e-01,3.056887611254351933e-01,5.021526277489678225e-02,8.144149064785233261e-02,2.635683318545838441e-02
6.981317007977318190e-02,9.817351598173515015e+01,4.891137451692909033e-02,1.218767292360031007e+00,3.837889403461216542e-01,5.013884947234513445e-02,1.452781884928894540e-01,4.695030060052153564e-02
8.726646259971647390e-02,9.771689497716894834e+01,4.862996026534112393e-02,1.478453079925568403e+00,4.625363912650261033e-01,5.004350971149195554e-02,2.253917635445270573e-01,7.270908625528328673e-02
1.047197551196597798e-01,9.726027397260273233e+01,4.834829017925332262e-02,1.743765352362227183e+00,5.419169530428449288e-01,4.993100854429406016e-02,3.206072580383241832e-01,1.031956908890223762e-01
1.221730476396030718e-01,9.680365296803653052e+01,4.806646568565858119e-02,2.014898340704353696e+00,6.219164613914817119e-01,4.980311102270836704e-02,4.297695179435423452e-01,1.379727208804316652e-01
1.396263401595463638e-01,9.634703196347031451e+01,4.778459062473764535e-02,2.287854489680667402e+00,7.025252252436916534e-01,4.966158219869172552e-02,5.517216957624926366e-01,1.766004489524229393e-01
1.570796326794896558e-01,9.589041095890409849e+01,4.750276680831384823e-02,2.560129941658620290e+00,7.837323110794799375e-01,4.950818712420099882e-02,6.852813663120750354e-01,2.186347531091535623e-01
