# Index,Gear Ratio 1,Gear Ratio 2,Gear Ratio 3,Gear Ratio 4,Gear Ratio 5,Gear Ratio 6,Gear Ratio 7,Gear Ratio 8,Percentage 1,Percentage 2,Percentage 3,Percentage 4,Percentage 5,Percentage 6,Percentage 7,Percentage 8,Initial Gear Ratio
0.00,0.33,1.37,0.06,0.38,0.98,1.46,1.42,0.65,0.58,1.32,2.16,2.93,3.91,4.16,5.06,6.22,0.98
1.00,0.13,1.45,0.28,0.13,0.58,1.29,0.56,0.48,0.76,1.29,1.79,2.84,3.90,4.11,5.08,6.25,1.89
2.00,0.13,1.49,0.42,0.12,0.51,1.29,0.93,0.27,0.59,1.27,1.58,2.37,3.91,4.11,5.10,5.51,1.85
3.00,0.31,1.32,0.27,0.15,0.51,1.30,0.81,0.30,0.73,1.36,1.77,2.42,3.92,4.20,5.17,5.56,0.92
4.00,1.39,0.94,0.07,0.19,0.54,1.37,1.28,0.25,0.73,0.81,1.60,2.55,3.33,4.19,5.08,6.10,1.08
5.00,0.17,1.50,0.42,0.18,0.54,1.28,0.94,0.55,0.26,1.48,1.83,2.42,3.92,4.18,5.23,5.57,1.85
6.00,1.39,0.38,0.07,0.28,1.39,1.46,0.71,0.71,0.59,1.15,1.61,2.55,3.30,4.39,5.21,5.75,1.14
7.00,1.37,0.91,0.09,0.22,1.27,1.43,0.84,0.30,0.43,0.81,2.13,2.48,3.32,4.42,5.10,6.12,1.14
8.00,1.38,0.94,0.07,0.19,1.21,1.37,1.28,0.25,0.73,0.81,1.60,2.54,3.33,4.19,5.08,6.10,1.08
9.00,0.27,1.42,0.43,0.17,0.52,1.30,1.27,0.70,0.71,1.30,1.84,2.37,3.92,4.20,5.24,5.64,1.85
10.00,1.44,0.91,0.07,0.28,1.49,1.27,0.68,0.27,0.72,0.91,1.60,2.54,3.32,4.39,5.12,6.24,1.12
11.00,0.31,1.45,0.07,0.28,1.02,1.44,1.19,0.39,0.43,1.16,2.20,2.90,3.88,4.00,5.10,5.65,0.25
12.00,0.18,1.49,0.45,0.18,0.55,1.42,0.85,0.54,0.71,1.47,1.82,2.36,3.92,4.15,5.17,5.58,1.87
13.00,0.16,1.50,0.39,0.14,0.58,1.26,0.98,0.29,0.30,1.37,2.16,2.38,3.92,4.20,5.06,5.52,0.95
