# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.35,45.66,60.53,12.37,57.57
1.00,4.62,53.42,84.62,25.00,53.85
2.00,4.52,60.73,100.02,19.56,40.36
3.00,5.08,40.18,67.40,23.37,56.21
4.00,6.15,63.47,103.36,18.08,44.98
5.00,3.18,54.79,50.14,15.63,80.32
6.00,5.98,56.62,51.49,6.20,71.39
7.00,5.53,56.62,50.00,6.93,73.60
8.00,5.42,61.19,78.42,11.39,54.21
9.00,3.72,53.88,56.89,16.79,73.81
10.00,5.51,57.99,66.16,7.92,59.80
11.00,6.11,40.64,58.19,12.74,55.25
12.00,3.25,55.71,50.46,13.56,78.84
13.00,5.30,42.01,76.62,24.66,50.10
14.00,6.15,55.71,70.91,10.08,54.94
15.00,5.92,57.08,81.55,9.02,44.62
16.00,5.80,61.64,90.33,14.06,45.44
17.00,5.82,52.97,75.37,14.75,52.41
18.00,5.64,47.95,55.31,13.50,66.19
19.00,3.39,56.62,56.16,15.72,76.22
20.00,4.06,57.53,73.93,17.45,61.10
21.00,6.28,58.90,95.15,13.22,37.03
22.00,5.94,50.23,83.64,21.54,48.19
23.00,5.59,52.05,95.69,23.00,39.42
24.00,4.28,61.64,94.46,18.54,45.77
25.00,4.23,60.27,89.38,19.00,49.93
26.00,6.03,44.75,105.30,23.93,34.04
27.00,4.12,62.10,90.51,17.70,49.33
28.00,4.76,43.38,65.76,20.58,58.25
29.00,3.32,55.71,50.64,13.30,78.41
30.00,4.65,51.14,82.11,22.28,51.36
31.00,6.25,57.53,91.59,11.12,37.13
32.00,4.33,62.10,96.32,17.56,43.38
33.00,4.44,59.82,99.21,18.84,39.49
34.00,5.13,41.55,73.06,22.26,50.80
35.00,3.63,50.68,50.99,15.86,75.59
36.00,5.05,44.29,74.05,20.99,51.29
37.00,4.86,55.25,93.37,20.22,42.15
38.00,5.85,59.82,86.81,12.55,45.62
39.00,4.10,63.01,87.18,16.02,51.89
40.00,6.34,48.86,64.15,11.71,56.48
41.00,4.59,50.68,78.00,22.16,54.89
42.00,4.20,62.56,92.85,17.07,46.83
43.00,5.14,46.58,86.88,23.05,42.80
44.00,4.74,51.60,85.62,22.90,48.93
