# Index,Max Radius,Max Force Percentage,Max Force,Sitting Force,Total Error
0.00,0.06,35.45,125.53,23.08,75.57
1.00,0.06,33.18,143.54,27.46,59.67
2.00,0.06,33.18,141.15,27.22,61.81
3.00,0.06,35.91,125.04,22.48,75.91
4.00,0.06,36.36,125.82,21.86,74.96
5.00,0.06,36.36,128.42,22.20,72.71
6.00,0.06,35.00,132.30,24.51,69.77
7.00,0.06,34.09,138.30,26.23,64.58
8.00,0.06,33.64,137.71,25.98,64.47
9.00,0.06,34.09,142.03,26.94,61.57
10.00,0.06,33.64,141.33,26.72,61.59
11.00,0.06,35.00,137.90,25.33,64.99
12.00,0.06,35.45,138.89,24.02,63.15
13.00,0.06,36.36,131.46,22.85,70.32
14.00,0.06,34.55,136.96,25.70,65.85
15.00,0.06,33.18,139.00,26.77,63.52
16.00,0.06,34.55,130.28,23.87,70.69
17.00,0.06,35.91,125.04,22.48,75.91
18.00,0.06,35.91,135.84,23.73,66.37
19.00,0.06,33.64,142.64,26.88,60.44
20.00,0.06,35.91,126.18,22.91,75.19
21.00,0.06,34.09,140.24,25.90,62.32
22.00,0.06,33.18,141.95,27.26,61.06
23.00,0.06,35.91,128.19,22.29,72.57
24.00,0.06,35.00,131.55,24.21,70.22
25.00,0.06,34.09,142.46,27.01,61.21
26.00,0.06,35.91,129.06,23.24,72.65
27.00,0.06,33.64,139.75,26.18,62.62
28.00,0.06,35.91,125.88,22.87,75.46
29.00,0.06,33.64,140.35,26.36,62.20
30.00,0.06,33.18,140.91,27.18,62.01
31.00,0.06,35.45,131.04,23.70,70.68
32.00,0.06,35.45,137.50,24.35,64.86
33.00,0.06,35.91,138.38,24.08,64.17
34.00,0.06,33.64,138.68,25.76,63.29
35.00,0.06,35.45,137.98,24.84,64.88
36.00,0.06,34.55,139.04,26.51,64.57
37.00,0.06,35.00,128.80,23.64,72.40
38.00,0.06,33.64,133.78,25.38,67.79
39.00,0.06,35.91,126.33,22.72,74.86
40.00,0.06,33.64,142.29,26.86,60.77
41.00,0.06,35.45,130.16,23.63,71.48
42.00,0.06,34.55,133.28,25.61,69.43
43.00,0.06,33.18,140.91,27.14,61.97
44.00,0.06,35.45,126.76,22.99,74.25
45.00,0.06,33.18,136.84,26.41,65.32
46.00,0.06,35.00,127.62,23.48,73.43
47.00,0.06,35.00,129.52,23.78,71.82
48.00,0.06,34.55,133.41,25.66,69.36
49.00,0.06,33.64,133.65,25.44,67.98
50.00,0.06,35.91,131.86,22.67,69.28
51.00,0.06,35.45,125.67,22.63,74.97
